Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																		
Дата голосования: 18.09.2016																																																		
																																																		
Наименование Избирательной комиссии:    Ишимская городская																																																		
																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																		
																																																		
		Сумма	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	48731	1913	1022	1156	1361	1412	1103	1316	945	1167	1079	1152	904	1349	1334	879	962	954	995	999	1196	1258	2113	1122	1201	1341	1445	840	1172	1163	1916	1465	1312	1024	793	1594	886	1763	1755	1370									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	48887	1913	1043	1142	1375	1416	1106	1332	941	1151	1082	1157	922	1358	1335	883	943	962	995	1016	1211	1255	2154	1141	1210	1330	1443	839	1175	1164	1933	1440	1303	1041	791	1600	881	1776	1736	1392									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	39103	1654	877	920	1192	1328	940	1087	692	1041	914	1007	785	983	992	676	824	833	823	662	784	1006	1627	902	971	998	1114	730	850	793	1781	1168	1130	712	569	1291	634	1521	1066	1226									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3689	197	63	18	110	46	124	57	127	22	30	42	80	208	158	39	76	110	92	26	22	26	134	77	37	25	194	43	188	146	27	96	28	62	119	15	208	191	342	84									
6	Число погашенных избирательных бюллетеней	6095	62	103	204	73	42	42	188	122	88	138	108	57	167	185	168	43	19	80	328	405	223	393	162	202	307	135	66	137	225	125	176	145	267	103	294	39	64	328	82									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	3689	197	63	18	110	46	124	57	127	22	30	42	80	208	158	39	76	110	92	26	22	26	134	77	37	25	194	43	188	146	27	96	28	62	119	15	208	191	342	84									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	39100	1654	877	920	1192	1328	940	1087	692	1041	914	1007	785	983	992	676	824	833	823	662	784	1006	1627	902	971	998	1114	730	850	793	1781	1168	1130	712	569	1291	634	1521	1063	1226									
9	Число недействительных избирательных бюллетеней	427	0	15	11	5	28	9	7	11	13	28	13	0	24	4	5	28	0	8	23	9	0	13	6	8	30	14	12	0	5	4	6	9	6	20	29	0	15	9	0									
10	Число действительных избирательных бюллетеней	42362	1851	925	927	1297	1346	1055	1137	808	1050	916	1036	865	1167	1146	710	872	943	907	665	797	1032	1748	973	1000	993	1294	761	1038	934	1804	1258	1149	768	668	1277	842	1697	1396	1310									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1742	62	40	45	45	45	45	45	40	45	45	45	40	45	45	40	40	40	40	45	45	45	55	45	45	45	45	40	45	45	55	45	45	45	40	45	40	45	45	45									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	349	10	15	16	5	6	9	9	8	5	4	11	11	6	11	13	7	3	6	11	10	8	23	12	14	5	8	4	5	11	6	1	11	11	1	13	8	4	17	11									
