Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва														
Дата голосования: 07.12.2003 0:00:00														
														
Наименование Избирательной комиссии:    Электрогорская городская														
														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)														
														
		Сумма	УИК №3179	УИК №3180	УИК №3181	УИК №3182	УИК №3183	УИК №3184	УИК №3185					
1	"Число избирателей, внесенных в списки"	16514	2341	2249	2344	2360	2316	2397	2507					
2	"Число бюллетеней, полученных участковыми комиссиями"	16957	2405	2353	2381	2479	2382	2460	2497					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	8602	1158	1105	1114	1238	1328	1281	1378					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	226	48	25	60	31	25	21	16					
6	Число погашенных бюллетеней	8129	1199	1223	1207	1210	1029	1158	1103					
7	Число бюллетеней в переносных ящиках для голосования	226	48	25	60	31	25	21	16					
8	Число бюллетеней в стационарных ящиках для голосования	8595	1158	1105	1114	1238	1328	1274	1378					
9	Число недействительных бюллетеней	149	32	17	29	22	17	14	18					
10	Число действительных бюллетеней	8672	1174	1113	1145	1247	1336	1281	1376					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	767	100	150	80	167	120	80	70					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	551	68	110	57	131	69	60	56					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	51	6	2	13	15	12	0	3					
14	Число погашенных открепительных удостоверений	216	32	40	23	36	51	20	14					
15	Число открепительных удостоверений выданных ТИК	1	0	0	0	0	1	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0					
														
18	"1. ""ЕДИНЕНИЕ"""	98	17	15	12	16	11	11	16					
		1.11%	1.40%	1.32%	1.02%	1.26%	0.81%	0.84%	1.14%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	261	36	23	25	54	46	32	45					
		2.95%	2.98%	2.03%	2.12%	4.25%	3.39%	2.47%	3.22%					
