Выборы Президента Российской Федерации																													
																													
Наименование Избирательной комиссии:    Кимрская городская																													
																													
Итоги голосования 																													
																													
		Сумма	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508					
1	"Число избирателей, внесенных в список"	46320	25	2022	2022	1973	1955	1904	2041	2128	2371	2322	2282	2462	2067	2241	2137	2115	2422	2302	2323	2400	2360	2446					
2	Число полученных избирательных бюллетеней	46830	30	2070	2060	2020	1950	1930	2080	2190	2380	2330	2300	2470	2120	2300	2150	2140	2440	2320	2350	2400	2360	2440					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	21175	25	996	991	973	777	843	822	795	950	865	1013	1032	863	1060	867	994	1238	1269	1223	1113	1164	1302					
5	"Число избирательных бюллетеней, выданных вне помещения"	774	0	25	26	36	51	40	58	48	17	57	82	28	9	27	50	31	18	44	58	28	17	24					
6	Число погашенных избирательных бюллетеней	24881	5	1049	1043	1011	1122	1047	1200	1347	1413	1408	1205	1410	1248	1213	1233	1115	1184	1007	1069	1259	1179	1114					
7	Число избирательных бюллетеней в переносных ящиках	774	0	25	26	36	51	40	58	48	17	57	82	28	9	27	50	31	18	44	58	28	17	24					
8	Число бюллетеней в стационарных ящиках для голосования	21170	25	995	991	973	776	843	822	795	950	865	1013	1032	863	1060	867	994	1237	1269	1223	1113	1164	1300					
9	Число недействительных избирательных бюллетеней	129	0	8	5	6	2	6	7	8	4	4	7	8	9	10	4	5	2	5	6	7	8	8					
10	Число действительных избирательных бюллетеней	21815	25	1012	1012	1003	825	877	873	835	963	918	1088	1052	863	1077	913	1020	1253	1308	1275	1134	1173	1316					
11	Число полученных открепительных  удостоверений	525	0	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25					
12	Число выданных открепительных удостоверений	227	0	7	17	7	8	10	12	12	8	6	5	10	4	9	3	11	15	19	19	13	15	17					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	149	15	5	8	0	9	9	18	5	3	1	5	0	7	2	5	6	13	10	4	1	9	14					
14	Число неиспользованных открепительных удостоверений	298	0	18	8	18	17	15	13	13	17	19	20	15	21	16	22	14	10	6	6	12	10	8					
15	"Число открепительных удостоверений, выданных в ТИК"	60	0	0	0	0	7	2	8	1	3	2	2	5	5	2	6	2	1	3	3	6	1	1					
