Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																												
Дата голосования: 18.09.2016																																												
																																												
"Наименование Избирательной комиссии:    Орск, Ленинская"																																												
																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																												
																																												
		Сумма	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239	УИК №1240	УИК №1241	УИК №1242									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	52674	2315	2008	1852	1009	1689	1299	1008	1392	1107	1098	1296	1663	1593	1417	1700	2192	2178	2223	2363	1940	1195	1730	1473	1608	1102	1680	1513	1592	1785	1775	1438	2066	375									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	55200	2500	2200	1900	1100	1700	1300	1000	1400	1200	1100	1300	1700	1600	1300	1800	2200	2200	2200	2500	2000	1300	1800	1600	1600	1300	2000	1700	1700	1800	1900	1600	2200	500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	18075	929	611	519	409	526	459	396	469	350	459	465	588	494	502	628	793	817	756	963	669	463	586	606	560	394	662	523	407	445	474	406	558	189									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1692	41	53	68	20	24	51	22	48	32	37	77	34	23	26	33	48	65	39	24	51	54	64	22	34	85	36	20	141	100	76	137	43	64									
6	Число погашенных избирательных бюллетеней	35433	1530	1536	1313	671	1150	790	582	883	818	604	758	1078	1083	772	1139	1359	1318	1405	1513	1280	783	1150	972	1006	821	1302	1157	1152	1255	1350	1057	1599	247									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1692	41	53	68	20	24	51	22	48	32	37	77	34	23	26	33	48	65	39	24	51	54	64	22	34	85	36	20	141	100	76	137	43	64									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	18046	929	611	519	409	526	459	396	468	350	459	465	588	494	502	628	793	817	756	963	669	463	584	606	560	394	636	523	407	445	474	406	558	189									
9	Число недействительных избирательных бюллетеней	597	44	15	13	17	16	23	15	15	8	19	21	15	26	22	16	35	18	16	23	34	13	29	13	24	14	16	13	15	15	13	7	10	4									
10	Число действительных избирательных бюллетеней	19141	926	649	574	412	534	487	403	501	374	477	521	607	491	506	645	806	864	779	964	686	504	619	615	570	465	656	530	533	530	537	536	591	249									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	470	20	20	20	20	20	10	10	10	15	10	10	20	10	20	10	10	20	20	20	20	10	20	10	15	10	10	20	10	10	10	10	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	327	20	12	14	12	15	9	4	10	10	9	7	14	5	13	7	7	18	11	17	12	5	15	5	11	5	8	12	9	6	10	10	3	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	274	7	10	13	7	16	13	10	10	8	6	14	5	5	8	10	9	10	4	5	6	6	18	14	6	12	9	3	4	6	6	3	5	6									
14	Число погашенных неиспользованных открепительных удостоверений	143	0	8	6	8	5	1	6	0	5	1	3	6	5	7	3	3	2	9	3	8	5	5	5	4	5	2	8	1	4	0	0	7	8									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	51	1	5	0	0	3	1	1	1	2	0	1	0	4	1	1	2	2	4	6	5	0	0	1	0	2	5	1	1	1	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	273	18	16	11	9	11	3	3	4	5	6	10	7	10	8	8	6	8	14	12	10	11	10	10	10	7	7	7	6	3	9	6	5	3									
		1.38%	1.86%	2.41%	1.87%	2.10%	2.00%	0.59%	0.72%	0.78%	1.31%	1.21%	1.85%	1.13%	1.93%	1.52%	1.21%	0.71%	0.91%	1.76%	1.22%	1.39%	2.13%	1.54%	1.59%	1.68%	1.46%	1.04%	1.29%	1.09%	0.55%	1.64%	1.10%	0.83%	1.19%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	639	32	20	16	11	15	10	12	9	18	14	20	18	9	24	22	27	26	28	29	29	11	32	30	25	17	25	15	29	12	14	13	18	9									
		3.24%	3.30%	3.01%	2.73%	2.56%	2.73%	1.96%	2.87%	1.74%	4.71%	2.82%	3.69%	2.89%	1.74%	4.55%	3.33%	3.21%	2.95%	3.52%	2.94%	4.03%	2.13%	4.94%	4.78%	4.21%	3.55%	3.72%	2.76%	5.29%	2.20%	2.55%	2.39%	2.99%	3.56%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	485	19	17	10	12	18	12	12	10	12	9	14	16	12	13	18	19	28	20	17	30	14	28	21	16	12	18	8	12	6	6	10	14	2									
		2.46%	1.96%	2.56%	1.70%	2.80%	3.27%	2.35%	2.87%	1.94%	3.14%	1.81%	2.58%	2.57%	2.32%	2.46%	2.72%	2.26%	3.17%	2.52%	1.72%	4.17%	2.71%	4.32%	3.34%	2.69%	2.51%	2.68%	1.47%	2.19%	1.10%	1.09%	1.84%	2.33%	0.79%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	7072	313	231	236	139	201	200	133	197	130	171	203	206	174	169	206	292	309	295	356	237	190	229	198	208	174	232	178	168	244	236	275	217	125									
		35.83%	32.27%	34.79%	40.20%	32.40%	36.55%	39.22%	31.82%	38.18%	34.03%	34.48%	37.45%	33.12%	33.66%	32.01%	31.16%	34.72%	35.03%	37.11%	36.07%	32.92%	36.75%	35.34%	31.53%	35.02%	36.33%	34.52%	32.78%	30.66%	44.77%	42.91%	50.64%	36.11%	49.41%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	139	6	4	4	6	4	4	3	3	3	7	6	4	6	7	5	3	5	2	6	7	3	4	5	10	2	6	2	1	3	4	1	3	0									
		0.70%	0.62%	0.60%	0.68%	1.40%	0.73%	0.78%	0.72%	0.58%	0.79%	1.41%	1.11%	0.64%	1.16%	1.33%	0.76%	0.36%	0.57%	0.25%	0.61%	0.97%	0.58%	0.62%	0.80%	1.68%	0.42%	0.89%	0.37%	0.18%	0.55%	0.73%	0.18%	0.50%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	45	2	0	1	0	3	1	1	0	0	1	3	1	2	0	5	1	2	0	0	1	1	3	0	1	4	0	3	1	0	1	3	2	2									
		0.23%	0.21%	0.00%	0.17%	0.00%	0.55%	0.20%	0.24%	0.00%	0.00%	0.20%	0.55%	0.16%	0.39%	0.00%	0.76%	0.12%	0.23%	0.00%	0.00%	0.14%	0.19%	0.46%	0.00%	0.17%	0.84%	0.00%	0.55%	0.18%	0.00%	0.18%	0.55%	0.33%	0.79%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	3511	210	126	90	76	102	61	64	91	67	107	85	100	75	80	117	129	172	117	184	132	77	98	126	101	92	115	112	85	125	106	97	151	41									
		17.79%	21.65%	18.98%	15.33%	17.72%	18.55%	11.96%	15.31%	17.64%	17.54%	21.57%	15.68%	16.08%	14.51%	15.15%	17.70%	15.34%	19.50%	14.72%	18.64%	18.33%	14.89%	15.12%	20.06%	17.00%	19.21%	17.11%	20.63%	15.51%	22.94%	19.27%	17.86%	25.12%	16.21%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	191	18	6	4	4	4	11	4	2	5	5	4	9	7	2	7	9	7	3	13	4	10	5	4	4	5	14	2	6	3	3	1	4	2									
		0.97%	1.86%	0.90%	0.68%	0.93%	0.73%	2.16%	0.96%	0.39%	1.31%	1.01%	0.74%	1.45%	1.35%	0.38%	1.06%	1.07%	0.79%	0.38%	1.32%	0.56%	1.93%	0.77%	0.64%	0.67%	1.04%	2.08%	0.37%	1.09%	0.55%	0.55%	0.18%	0.67%	0.79%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	254	9	3	6	5	20	8	9	9	4	7	8	16	9	6	12	16	5	8	10	4	5	6	6	6	9	5	15	5	3	5	4	8	3									
		1.29%	0.93%	0.45%	1.02%	1.17%	3.64%	1.57%	2.15%	1.74%	1.05%	1.41%	1.48%	2.57%	1.74%	1.14%	1.82%	1.90%	0.57%	1.01%	1.01%	0.56%	0.97%	0.93%	0.96%	1.01%	1.88%	0.74%	2.76%	0.91%	0.55%	0.91%	0.74%	1.33%	1.19%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	24	3	0	0	4	0	0	1	2	0	0	1	3	1	0	1	0	1	1	1	0	1	0	1	0	0	0	1	1	1	0	0	0	0									
		0.12%	0.31%	0.00%	0.00%	0.93%	0.00%	0.00%	0.24%	0.39%	0.00%	0.00%	0.18%	0.48%	0.19%	0.00%	0.15%	0.00%	0.11%	0.13%	0.10%	0.00%	0.19%	0.00%	0.16%	0.00%	0.00%	0.00%	0.18%	0.18%	0.18%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	403	19	15	8	7	15	20	22	9	8	8	16	16	8	10	21	14	17	14	21	15	9	15	16	5	7	16	6	6	18	5	5	9	3									
		2.04%	1.96%	2.26%	1.36%	1.63%	2.73%	3.92%	5.26%	1.74%	2.09%	1.61%	2.95%	2.57%	1.55%	1.89%	3.18%	1.66%	1.93%	1.76%	2.13%	2.08%	1.74%	2.31%	2.55%	0.84%	1.46%	2.38%	1.10%	1.09%	3.30%	0.91%	0.92%	1.50%	1.19%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	4337	203	139	144	109	93	117	93	112	92	96	121	141	128	139	143	186	212	186	203	153	117	129	130	140	109	160	141	170	80	101	92	116	42									
		21.97%	20.93%	20.93%	24.53%	25.41%	16.91%	22.94%	22.25%	21.71%	24.08%	19.35%	22.32%	22.67%	24.76%	26.33%	21.63%	22.12%	24.04%	23.40%	20.57%	21.25%	22.63%	19.91%	20.70%	23.57%	22.76%	23.81%	25.97%	31.02%	14.68%	18.36%	16.94%	19.30%	16.60%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	330	9	12	7	11	15	8	12	7	0	7	3	10	6	10	14	11	6	10	22	11	8	11	11	10	6	13	19	16	8	15	8	10	4									
		1.67%	0.93%	1.81%	1.19%	2.56%	2.73%	1.57%	2.87%	1.36%	0.00%	1.41%	0.55%	1.61%	1.16%	1.89%	2.12%	1.31%	0.68%	1.26%	2.23%	1.53%	1.55%	1.70%	1.75%	1.68%	1.25%	1.93%	3.50%	2.92%	1.47%	2.73%	1.47%	1.66%	1.58%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1438	65	60	37	19	33	32	34	46	30	39	27	60	44	38	66	93	66	81	90	53	47	49	57	34	21	45	21	27	24	32	21	34	13									
		7.29%	6.70%	9.04%	6.30%	4.43%	6.00%	6.27%	8.13%	8.91%	7.85%	7.86%	4.98%	9.65%	8.51%	7.20%	9.98%	11.06%	7.48%	10.19%	9.12%	7.36%	9.09%	7.56%	9.08%	5.72%	4.38%	6.70%	3.87%	4.93%	4.40%	5.82%	3.87%	5.66%	5.14%									
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
