Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																														
Дата голосования: 18.09.2016																														
																														
Наименование Избирательной комиссии:    Новоторъяльская																														
																														
Сводная таблица итогов голосования по федеральному избирательному округу																														
																														
		Сумма	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	12742	631	1516	1253	1198	713	514	358	313	609	223	893	407	867	718	365	858	252	510	544									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12650	600	1500	1250	1200	750	500	350	300	600	200	900	400	900	700	350	850	250	500	550									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5992	368	788	622	630	412	203	133	169	195	125	420	139	364	279	159	355	138	230	263									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1081	11	41	101	21	20	58	6	14	78	24	92	78	139	113	33	96	19	60	77									
6	Число погашенных избирательных бюллетеней	5577	221	671	527	549	318	239	211	117	327	51	388	183	397	308	158	399	93	210	210									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1081	11	41	101	21	20	58	6	14	78	24	92	78	139	113	33	96	19	60	77									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5992	368	788	622	630	412	203	133	169	195	125	420	139	364	279	159	355	138	230	263									
9	Число недействительных избирательных бюллетеней	120	11	19	10	14	10	4	2	2	10	1	10	3	1	8	2	6	1	4	2									
10	Число действительных избирательных бюллетеней	6953	368	810	713	637	422	257	137	181	263	148	502	214	502	384	190	445	156	286	338									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	742	35	55	55	50	45	35	25	37	25	30	50	40	60	40	30	40	30	25	35									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	597	19	26	21	20	40	29	25	37	25	30	49	40	60	40	30	23	23	25	35									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	256	21	15	14	16	14	15	9	18	9	21	15	17	10	14	8	10	12	13	5									
14	Число погашенных неиспользованных открепительных удостоверений	145	16	29	34	30	5	6	0	0	0	0	1	0	0	0	0	17	7	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	158	14	23	24	15	14	4	2	1	2	3	8	10	5	4	5	7	3	4	10									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	46	4	5	7	5	1	2	0	0	3	0	2	0	6	4	1	2	0	0	4									
		0.65%	1.06%	0.60%	0.97%	0.77%	0.23%	0.77%	0.00%	0.00%	1.10%	0.00%	0.39%	0.00%	1.19%	1.02%	0.52%	0.44%	0.00%	0.00%	1.18%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	225	13	33	29	31	15	5	4	3	14	2	14	7	18	6	8	11	3	8	1									
		3.18%	3.43%	3.98%	4.01%	4.76%	3.47%	1.92%	2.88%	1.64%	5.13%	1.34%	2.73%	3.23%	3.58%	1.53%	4.17%	2.44%	1.91%	2.76%	0.29%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	63	6	5	9	11	6	2	0	2	2	1	6	0	3	2	2	5	0	0	1									
		0.89%	1.58%	0.60%	1.24%	1.69%	1.39%	0.77%	0.00%	1.09%	0.73%	0.67%	1.17%	0.00%	0.60%	0.51%	1.04%	1.11%	0.00%	0.00%	0.29%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3746	118	351	329	277	173	152	85	118	159	100	330	125	313	249	113	266	105	166	217									
		52.96%	31.13%	42.34%	45.50%	42.55%	40.05%	58.24%	61.15%	64.48%	58.24%	67.11%	64.45%	57.60%	62.23%	63.52%	58.85%	58.98%	66.88%	57.24%	63.82%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	25	5	1	0	3	1	2	0	0	2	0	0	1	0	3	1	5	0	0	1									
		0.35%	1.32%	0.12%	0.00%	0.46%	0.23%	0.77%	0.00%	0.00%	0.73%	0.00%	0.00%	0.46%	0.00%	0.77%	0.52%	1.11%	0.00%	0.00%	0.29%									
24	"6. Политическая партия ""Гражданская Платформа"""	22	1	2	6	2	0	1	0	2	2	0	0	1	0	0	0	1	1	2	1									
		0.31%	0.26%	0.24%	0.83%	0.31%	0.00%	0.38%	0.00%	1.09%	0.73%	0.00%	0.00%	0.46%	0.00%	0.00%	0.00%	0.22%	0.64%	0.69%	0.29%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	793	56	117	98	81	65	24	9	23	31	12	40	34	33	25	14	39	16	31	45									
		11.21%	14.78%	14.11%	13.55%	12.44%	15.05%	9.20%	6.47%	12.57%	11.36%	8.05%	7.81%	15.67%	6.56%	6.38%	7.29%	8.65%	10.19%	10.69%	13.24%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	9	0	2	1	1	0	0	0	0	2	0	0	0	0	2	0	0	0	0	1									
		0.13%	0.00%	0.24%	0.14%	0.15%	0.00%	0.00%	0.00%	0.00%	0.73%	0.00%	0.00%	0.00%	0.00%	0.51%	0.00%	0.00%	0.00%	0.00%	0.29%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	26	3	1	3	4	3	0	1	0	0	1	4	1	0	0	2	1	0	0	2									
		0.37%	0.79%	0.12%	0.41%	0.61%	0.69%	0.00%	0.72%	0.00%	0.00%	0.67%	0.78%	0.46%	0.00%	0.00%	1.04%	0.22%	0.00%	0.00%	0.59%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	10	0	2	0	1	0	0	1	0	1	0	1	2	0	0	0	0	1	0	1									
		0.14%	0.00%	0.24%	0.00%	0.15%	0.00%	0.00%	0.72%	0.00%	0.37%	0.00%	0.20%	0.92%	0.00%	0.00%	0.00%	0.00%	0.64%	0.00%	0.29%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	21	2	4	3	2	1	2	0	1	1	0	0	1	0	1	1	1	0	1	0									
		0.30%	0.53%	0.48%	0.41%	0.31%	0.23%	0.77%	0.00%	0.55%	0.37%	0.00%	0.00%	0.46%	0.00%	0.26%	0.52%	0.22%	0.00%	0.34%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1778	147	255	205	196	136	65	32	29	40	29	94	42	122	78	40	106	28	71	63									
		25.14%	38.79%	30.76%	28.35%	30.11%	31.48%	24.90%	23.02%	15.85%	14.65%	19.46%	18.36%	19.35%	24.25%	19.90%	20.83%	23.50%	17.83%	24.48%	18.53%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	20	1	3	2	0	2	1	0	0	2	0	1	0	0	2	2	2	1	1	0									
		0.28%	0.26%	0.36%	0.28%	0.00%	0.46%	0.38%	0.00%	0.00%	0.73%	0.00%	0.20%	0.00%	0.00%	0.51%	1.04%	0.44%	0.64%	0.34%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	169	12	29	21	23	19	1	5	3	4	3	10	0	7	12	6	6	1	6	1									
		2.39%	3.17%	3.50%	2.90%	3.53%	4.40%	0.38%	3.60%	1.64%	1.47%	2.01%	1.95%	0.00%	1.39%	3.06%	3.13%	1.33%	0.64%	2.07%	0.29%									
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
