Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																						
Дата голосования: 18.09.2016																						
																						
Наименование Избирательной комиссии:    Палехская																						
																						
Сводная таблица итогов голосования по федеральному избирательному округу																						
																						
		Сумма	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	8876	328	603	478	436	265	253	344	421	1224	2289	2235									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	7250	275	500	400	350	225	200	300	350	1000	1850	1800									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2866	91	154	116	149	58	74	83	84	407	853	797									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1033	62	141	102	101	61	51	109	128	152	78	48									
6	Число погашенных избирательных бюллетеней	3351	122	205	182	100	106	75	108	138	441	919	955									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1033	62	141	102	101	61	51	109	128	152	78	48									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2866	91	154	116	149	58	74	83	84	407	853	797									
9	Число недействительных избирательных бюллетеней	62	0	1	2	1	0	0	3	0	10	23	22									
10	Число действительных избирательных бюллетеней	3837	153	294	216	249	119	125	189	212	549	908	823									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	185	10	15	10	10	10	10	30	10	20	30	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	179	10	15	10	10	10	10	30	10	20	24	30									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	44	3	2	1	2	3	1	3	7	10	5	7									
14	Число погашенных неиспользованных открепительных удостоверений	6	0	0	0	0	0	0	0	0	0	6	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	15	0	0	0	1	0	0	0	0	2	5	7									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0									
																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	56	1	2	1	2	2	0	2	2	14	14	16									
		1.44%	0.65%	0.68%	0.46%	0.80%	1.68%	0.00%	1.04%	0.94%	2.50%	1.50%	1.89%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	155	2	12	10	7	5	9	5	8	23	36	38									
		3.98%	1.31%	4.07%	4.59%	2.80%	4.20%	7.20%	2.60%	3.77%	4.11%	3.87%	4.50%									
