Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																								
Дата голосования: 07.12.2003 0:00:00																																								
																																								
Наименование Избирательной комиссии:    Похвистневская																																								
																																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																								
																																								
		Сумма	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401					
1	"Число избирателей, внесенных в списки"	23329	1166	544	222	1362	165	387	1471	392	897	194	319	166	463	867	783	136	1331	1013	266	556	2743	404	928	1862	163	1476	110	86	670	958	195	574	460					
2	"Число бюллетеней, полученных участковыми комиссиями"	23368	1180	538	230	1315	165	390	1460	380	880	186	320	168	560	880	780	139	1330	1020	255	550	2740	410	920	1830	165	1520	110	87	675	960	195	580	450					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	15384	622	301	126	692	145	243	832	312	598	86	227	119	448	707	472	91	1192	871	161	416	1307	265	649	1203	110	1002	83	50	566	558	139	425	366					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1065	48	24	32	42	0	24	82	39	11	43	16	14	15	8	50	11	0	43	21	8	88	29	64	131	14	38	14	9	11	51	30	45	10					
6	Число погашенных бюллетеней	6919	510	213	72	581	20	123	546	29	271	57	77	35	97	165	258	37	138	106	73	126	1345	116	207	496	41	480	13	28	98	351	26	110	74					
7	Число бюллетеней в переносных ящиках для голосования	1065	48	24	32	42	0	24	82	39	11	43	16	14	15	8	50	11	0	43	21	8	88	29	64	131	14	38	14	9	11	51	30	45	10					
8	Число бюллетеней в стационарных ящиках для голосования	15381	622	301	126	692	145	243	832	312	598	86	227	119	448	707	471	91	1192	871	161	416	1307	265	649	1201	110	1002	83	50	566	558	139	425	366					
9	Число недействительных бюллетеней	352	21	10	8	15	0	18	26	2	19	14	2	0	4	27	22	5	2	47	0	3	13	4	4	37	1	10	1	0	7	18	0	8	4					
10	Число действительных бюллетеней	16094	649	315	150	719	145	249	888	349	590	115	241	133	459	688	499	97	1190	867	182	421	1382	290	709	1295	123	1030	96	59	570	591	169	462	372					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	245	15	5	2	10	2	4	15	4	9	2	5	2	11	10	10	2	13	10	3	6	25	4	9	18	2	14	2	2	7	9	2	6	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	55	1	0	2	1	0	2	3	0	4	0	0	1	5	0	4	0	1	1	1	3	10	2	1	5	0	5	0	0	0	3	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	95	4	1	2	2	1	1	8	6	5	5	0	0	4	2	1	1	6	4	3	3	7	0	7	3	1	6	1	1	1	4	0	2	3					
14	Число погашенных открепительных удостоверений	190	14	5	0	9	2	2	12	4	5	2	5	1	6	10	6	2	12	9	2	3	15	2	8	13	2	9	2	2	7	6	2	6	5					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																								
