Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																															
Дата голосования: 07.12.2003 0:00:00																																																															
																																																															
Наименование Избирательной комиссии:    Конаковская																																																															
																																																															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																															
																																																															
		Сумма	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565					
1	"Число избирателей, внесенных в списки"	76805	1469	1726	2344	2098	1625	1189	581	2384	2095	2528	1669	2812	2562	2174	2515	2499	2616	1729	49	2497	1953	1305	516	2197	1666	1436	266	1581	2034	1110	1302	1413	1029	1576	1952	1735	1327	744	1647	1217	676	396	555	819	192	1286	184	234	108	2038	1066	1177	230	284	329	64					
2	"Число бюллетеней, полученных участковыми комиссиями"	73786	1400	1700	2300	2000	1600	1100	550	2300	2000	2500	1600	2700	2500	2200	2500	2500	2500	1700	60	2400	1900	1200	500	2100	1600	1400	250	1500	2000	1000	1200	1300	1000	1500	1600	1700	1250	750	1600	1200	650	350	450	800	180	1200	180	230	100	2000	1000	1100	220	280	320	66					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	39737	632	850	1122	933	698	518	272	1331	1199	1546	958	1618	1433	1343	1189	1372	1422	1024	49	1318	988	562	193	1155	852	842	151	906	912	574	690	599	536	840	1226	897	470	330	691	532	318	210	323	368	87	560	105	77	54	1159	570	696	123	137	137	40					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2087	41	25	24	29	30	38	30	23	34	19	13	24	40	32	23	13	13	12	0	10	15	17	9	35	25	33	12	0	21	22	21	49	12	3	18	31	202	122	211	73	91	18	29	71	20	66	21	56	29	46	52	50	23	27	75	9					
6	Число погашенных бюллетеней	31962	727	825	1154	1038	872	544	248	946	767	935	629	1058	1027	825	1288	1115	1065	664	11	1072	897	621	298	910	723	525	87	594	1067	404	489	652	452	657	356	772	578	298	698	595	241	122	98	361	73	574	54	97	17	795	378	354	74	116	108	17					
7	Число бюллетеней в переносных ящиках для голосования	2087	41	25	24	29	30	38	30	23	34	19	13	24	40	32	23	13	13	12	0	10	15	17	9	35	25	33	12	0	21	22	21	49	12	3	18	31	202	122	211	73	91	18	29	71	20	66	21	56	29	46	52	50	23	27	75	9					
8	Число бюллетеней в стационарных ящиках для голосования	39683	632	850	1122	933	698	518	272	1331	1199	1534	958	1614	1433	1341	1178	1372	1418	1023	49	1306	988	562	193	1155	852	842	151	906	910	574	690	599	536	837	1226	897	470	330	691	532	318	210	323	368	87	560	105	77	54	1156	570	696	123	137	137	40					
9	Число недействительных бюллетеней	779	17	13	13	29	3	6	7	17	11	27	12	17	22	32	12	10	13	16	0	20	8	4	3	5	8	6	0	18	31	6	28	19	8	24	18	28	105	11	20	22	10	0	4	4	5	11	3	7	0	14	15	34	1	0	1	1					
10	Число действительных бюллетеней	40991	656	862	1133	933	725	550	295	1337	1222	1526	959	1621	1451	1341	1189	1375	1418	1019	49	1296	995	575	199	1185	869	869	163	888	900	590	683	629	540	816	1226	900	567	441	882	583	399	228	348	435	102	615	123	126	83	1188	607	712	145	164	211	48					
