Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																			
Дата голосования: 04.12.2011																			
																			
Наименование Избирательной комиссии:    Тернейская																			
																			
Сводная таблица результатов выборов																			
																			
		Сумма	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914					
1	"Число избирателей, внесенных в список избирателей"	10166	2154	2157	1003	1978	616	680	200	180	681	233	136	148					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10460	2200	2200	1000	2060	600	700	200	200	700	300	150	150					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	4571	902	796	534	1006	284	312	116	95	290	100	73	63					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	219	51	49	12	45	4	21	6	6	12	6	7	0					
6	Число погашенных избирательных бюллетеней	5670	1247	1355	454	1009	312	367	78	99	398	194	70	87					
7	Число избирательных бюллетеней в переносных ящиках для голосования	219	51	49	12	45	4	21	6	6	12	6	7	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4565	897	796	533	1006	284	312	116	95	290	100	73	63					
9	Число недействительных избирательных бюллетеней	109	13	15	15	39	4	6	1	3	13	0	0	0					
10	Число действительных избирательных бюллетеней	4675	935	830	530	1012	284	327	121	98	289	106	80	63					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	194	20	20	27	27	15	15	10	10	20	10	10	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	61	11	10	9	23	1	1	0	3	3	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	42	9	2	17	1	0	2	0	0	10	1	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	133	9	10	18	4	14	14	10	7	17	10	10	10					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	6	0	0	3	3	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0					
																			
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	906	164	168	111	194	50	62	23	34	47	23	16	14					
		18.94%	17.30%	19.88%	20.37%	18.46%	17.36%	18.62%	18.85%	33.66%	15.56%	21.70%	20.00%	22.22%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	739	145	121	84	136	77	71	11	8	49	17	10	10					
		15.45%	15.30%	14.32%	15.41%	12.94%	26.74%	21.32%	9.02%	7.92%	16.23%	16.04%	12.50%	15.87%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	52	13	12	6	11	3	1	0	0	2	3	1	0					
		1.09%	1.37%	1.42%	1.10%	1.05%	1.04%	0.30%	0.00%	0.00%	0.66%	2.83%	1.25%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1104	197	172	132	296	50	102	62	12	61	9	6	5					
		23.08%	20.78%	20.36%	24.22%	28.16%	17.36%	30.63%	50.82%	11.88%	20.20%	8.49%	7.50%	7.94%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	81	16	16	12	21	5	5	0	1	3	1	1	0					
		1.69%	1.69%	1.89%	2.20%	1.99%	1.74%	1.50%	0.00%	0.99%	0.99%	0.94%	1.25%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1771	397	336	184	347	97	85	25	43	125	53	45	34					
		37.02%	41.88%	39.76%	33.76%	33.02%	33.68%	25.53%	20.49%	42.57%	41.39%	50.00%	56.25%	53.97%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	22	3	5	1	7	2	1	0	0	2	0	1	0					
		0.46%	0.32%	0.59%	0.18%	0.67%	0.69%	0.30%	0.00%	0.00%	0.66%	0.00%	1.25%	0.00%					
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
