Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																												
Дата голосования: 02.12.2007																												
																												
Наименование Избирательной комиссии:    Табунская																												
																												
Сводная таблица результатов выборов																												
																												
		Сумма	УИК №1480	УИК №1481	УИК №1482	УИК №1483	УИК №1484	УИК №1485	УИК №1486	УИК №1487	УИК №1488	УИК №1489	УИК №1490	УИК №1491	УИК №1492	УИК №1493	УИК №1494	УИК №1495	УИК №1496	УИК №1497	УИК №1498	УИК №1499	УИК №1500					
1	"Число избирателей, внесенных в списки избирателей"	8069	2968	220	145	177	1129	127	202	248	126	795	102	155	148	155	622	108	413	124	26	46	33					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	7970	2900	230	143	172	1100	126	202	252	128	787	100	154	152	153	620	107	410	126	28	45	35					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	5347	1835	166	116	114	716	80	144	180	80	525	78	122	107	83	476	62	283	97	26	39	18					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	201	109	2	0	0	28	2	7	5	4	0	2	0	0	5	27	4	6	0	0	0	0					
6	Число погашенных избирательных бюллетеней	2422	956	62	27	58	356	44	51	67	44	262	20	32	45	65	117	41	121	29	2	6	17					
7	Число избирательных бюллетеней в переносных ящиках для голосования	201	109	2	0	0	28	2	7	5	4	0	2	0	0	5	27	4	6	0	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5346	1835	166	116	114	715	80	144	180	80	525	78	122	107	83	476	62	283	97	26	39	18					
9	Число недействительных избирательных бюллетеней	44	13	2	0	0	6	1	2	5	3	0	0	3	0	4	0	0	4	0	0	1	0					
10	Число действительных избирательных бюллетеней	5503	1931	166	116	114	737	81	149	180	81	525	80	119	107	84	503	66	285	97	26	38	18					
