Выборы Президента Российской Федерации																																																																									
Дата голосования: 02.03.2008																																																																									
																																																																									
"Наименование Избирательной комиссии:    Улан-Удэ, Октябрьская"																																																																									
																																																																									
Сводная таблица результатов выборов																																																																									
																																																																									
	Число участковых избирательных комиссий	66																																																																							
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	66																																																																							
																																																																									
		Сумма	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752					
1	"Число избирателей, включенных в списки избирателей"	118397	1827	1894	2053	2113	2138	800	1501	1509	1477	1855	1568	1941	1986	1175	2456	2853	2205	1270	108	84	568	1759	2276	1462	1990	1293	1902	1683	1430	2464	128	1710	425	2494	1814	2060	2266	2536	2672	2807	388	2300	1989	1526	1010	2201	2071	2115	2107	1905	2572	1963	1011	1872	2220	1617	2365	1850	2805	2546	1965	1262	2449	2436	1566	1734					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	104512	1650	1650	1850	2194	1900	850	1350	1300	1200	1600	1300	1750	1650	1000	1950	2350	1800	1100	113	85	580	1450	1950	1300	1700	1250	1600	1450	1500	2300	140	1500	425	2050	1900	1750	1900	2150	2200	2300	450	2000	1650	1400	850	1850	1950	1850	1750	1600	2150	1750	950	1550	1850	1350	1950	1900	2200	2150	1650	1100	2750	2484	1591	1750					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	75782	1156	1149	1259	1393	1560	568	846	815	989	1210	994	1409	1067	810	1501	1640	1467	601	108	60	553	1184	1543	1057	1468	982	1240	960	886	1765	115	1101	212	1453	1074	1236	1257	1590	1784	1715	260	1379	1100	1024	547	1397	1409	1153	1403	1129	1362	1264	591	1296	1434	1042	1170	1255	1432	1865	1040	986	2089	1720	1179	1479					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	4412	126	43	79	23	21	19	29	77	62	101	55	37	36	80	132	100	83	40	0	24	0	48	65	34	26	15	51	58	38	43	13	49	199	98	76	63	96	59	81	43	128	47	106	43	39	32	55	71	75	39	82	153	109	56	77	42	79	68	67	37	368	74	210	4	10	19					
6	Число погашенных избирательных бюллетеней	24318	368	458	512	778	319	263	475	408	149	289	251	304	547	110	317	610	250	459	5	1	27	218	342	209	206	253	309	432	576	492	12	350	14	499	750	451	547	501	335	542	62	574	444	333	264	421	486	626	272	432	706	333	250	198	339	266	701	577	701	248	242	40	451	760	402	252					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4412	126	43	79	23	21	19	29	77	62	101	55	37	36	80	132	100	83	40	0	24	0	48	65	34	26	15	51	58	38	43	13	49	199	98	76	63	96	59	81	43	128	47	106	43	39	32	55	71	75	39	82	153	109	56	77	42	79	68	67	37	368	74	210	4	10	19					
8	Число бюллетеней в стационарных ящиках для голосования	75752	1156	1149	1259	1393	1560	568	846	814	989	1210	993	1409	1067	806	1501	1640	1467	601	108	60	553	1184	1543	1057	1465	982	1240	960	886	1765	115	1101	212	1453	1074	1236	1254	1590	1784	1713	260	1379	1100	1024	547	1397	1409	1150	1403	1129	1361	1262	591	1296	1433	1042	1170	1255	1432	1865	1040	986	2083	1720	1176	1479					
9	Число недействительных избирательных бюллетеней	1274	20	10	15	24	229	7	4	13	15	27	13	21	15	13	27	27	13	10	0	0	6	15	17	21	18	2	25	25	9	13	0	0	0	17	16	15	13	0	35	14	5	26	17	4	9	26	26	13	27	13	31	26	10	14	14	22	11	18	48	33	30	11	22	13	16	25					
10	Число действительных избирательных бюллетеней	78890	1262	1182	1323	1392	1352	580	871	878	1036	1284	1035	1425	1088	873	1606	1713	1537	631	108	84	547	1217	1591	1070	1473	995	1266	993	915	1795	128	1150	411	1534	1134	1284	1337	1649	1830	1742	383	1400	1189	1063	577	1403	1438	1208	1451	1155	1412	1389	690	1338	1496	1062	1238	1305	1451	1869	1378	1049	2271	1711	1170	1473					
11	Число полученных открепительных  удостоверений	3401	50	50	50	50	50	30	30	40	40	50	40	20	50	50	70	70	70	30	0	0	0	40	70	50	70	111	30	50	50	70	0	40	10	50	50	70	70	70	70	70	0	70	70	70	70	70	50	70	50	70	70	50	50	50	70	50	70	30	40	80	20	50	90	80	50	80					
