Выборы Президента Российской Федерации																																																																																								
																																																																																								
Наименование Избирательной комиссии:    Воскресенская																																																																																								
																																																																																								
Итоги голосования 																																																																																								
																																																																																								
		Сумма	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194					
1	"Число избирателей, внесенных в список"	119352	2868	2819	2804	2534	2278	2640	2208	1583	1728	2324	1636	358	1125	796	2344	1302	1220	2506	720	1720	513	2276	2583	1448	2171	2150	1811	1224	1865	2457	121	1578	2088	2351	2754	2611	2193	1692	2113	2818	2793	2662	2701	1765	1629	1039	2034	1979	1434	249	233	490	1447	262	1089	1228	600	245	1093	473	670	1793	2123	124	402	1992	853	611	449	697	846	262	245	1487	1182	1096	181	513	285	1449	317					
2	Число полученных избирательных бюллетеней	110591	2700	2600	2600	2300	2100	2400	2000	1500	1600	2100	1500	600	1000	800	2100	1200	1150	2300	650	1500	500	2100	2300	1300	2000	2000	1700	1150	1700	2200	200	1450	1900	2200	2600	2400	2000	1600	2000	2600	2600	2500	2600	1650	1500	1000	1900	1700	1300	220	210	450	1400	230	1050	1100	550	230	1050	450	600	1600	2000	136	360	1850	800	550	420	630	800	240	220	1400	1100	1000	175	500	270	1350	300					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	61697	1444	1405	1448	1331	1177	1344	1255	750	920	1228	864	358	533	385	1228	775	548	1150	294	807	284	1140	1386	844	1006	1024	856	614	881	1163	121	753	1044	1185	1576	1368	1079	961	1220	1401	1505	1320	1359	971	949	502	963	931	751	186	154	208	842	142	702	640	296	125	708	311	491	877	1070	57	211	965	375	183	149	411	320	157	145	870	662	563	72	284	188	760	172					
5	"Число избирательных бюллетеней, выданных вне помещения"	5008	12	45	26	34	42	36	40	81	70	48	81	0	41	23	67	14	82	131	131	69	125	14	189	35	60	53	52	31	52	79	0	43	51	15	50	24	53	28	19	72	23	40	81	38	47	102	130	43	50	24	41	88	18	45	60	122	97	58	0	0	14	62	75	34	112	225	124	226	165	60	186	23	37	40	41	116	60	100	0	62	21					
6	Число погашенных избирательных бюллетеней	43886	1244	1150	1126	935	881	1020	705	669	610	824	555	242	426	392	805	411	520	1019	225	624	91	946	725	421	934	923	792	505	767	958	79	654	805	1000	974	1008	868	611	761	1127	1072	1140	1160	641	504	396	807	726	499	10	15	154	540	43	288	338	157	47	342	139	95	661	855	45	37	660	301	141	106	159	294	60	38	490	397	321	43	116	82	528	107					
7	Число избирательных бюллетеней в переносных ящиках	5008	12	45	26	34	42	36	40	81	70	48	81	0	41	23	67	14	82	131	131	69	125	14	189	35	60	53	52	31	52	79	0	43	51	15	50	24	53	28	19	72	23	40	81	38	47	102	130	43	50	24	41	88	18	45	60	122	97	58	0	0	14	62	75	34	112	225	124	226	165	60	186	23	37	40	41	116	60	100	0	62	21					
8	Число бюллетеней в стационарных ящиках для голосования	61664	1444	1405	1446	1331	1177	1344	1255	749	920	1228	864	358	513	385	1228	775	548	1146	294	807	284	1138	1386	844	1006	1024	856	614	881	1163	121	753	1044	1185	1576	1368	1079	961	1216	1401	1505	1320	1359	971	949	502	963	931	751	186	154	208	842	142	702	640	296	125	708	311	491	877	1070	57	211	965	375	183	149	411	320	157	145	870	662	563	72	284	188	760	172					
9	Число недействительных избирательных бюллетеней	714	18	10	12	11	16	11	6	2	9	11	10	4	4	2	6	6	2	22	4	13	2	16	100	16	12	14	15	12	7	9	0	14	9	4	11	8	7	12	22	4	16	18	13	0	9	4	8	17	13	0	1	3	13	2	6	12	1	1	0	4	9	6	19	0	0	10	4	7	1	1	2	1	3	9	0	8	0	2	1	17	0					
10	Число действительных избирательных бюллетеней	65958	1438	1440	1460	1354	1203	1369	1289	828	981	1265	935	354	550	406	1289	783	628	1255	421	863	407	1136	1475	863	1054	1063	893	633	926	1233	121	782	1086	1196	1615	1384	1125	977	1213	1469	1512	1342	1427	1009	987	600	1085	957	788	210	194	293	847	185	756	750	392	182	708	307	496	933	1126	91	323	1180	495	402	313	470	504	179	179	901	703	671	132	382	187	805	193					
11	Число полученных открепительных  удостоверений	3212	60	60	60	50	50	60	50	40	40	50	40	0	40	40	50	40	40	50	30	40	30	50	60	40	50	50	50	40	50	60	0	50	50	60	60	60	50	50	50	60	60	60	60	50	50	50	50	50	40	20	20	20	40	20	40	40	20	20	40	20	20	40	50	10	10	50	40	30	20	30	30	20	20	40	40	40	12	20	10	40	10					
12	Число выданных открепительных удостоверений	1932	39	40	49	32	50	43	35	19	28	34	32	0	17	14	36	18	30	31	9	15	14	32	41	17	45	28	25	16	19	34	0	19	27	31	54	40	21	23	39	42	46	44	41	44	30	12	21	12	9	1	9	7	40	1	38	40	20	14	13	20	11	21	43	10	10	23	11	7	18	6	30	0	0	32	19	19	10	14	10	33	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1186	8	7	9	7	6	11	9	11	20	29	16	358	10	1	17	11	12	13	5	22	8	4	10	2	10	0	5	6	4	11	121	6	11	4	9	7	8	1	18	18	8	10	3	5	5	7	19	20	14	9	11	9	6	7	8	8	12	12	2	2	40	9	2	1	10	11	8	3	8	8	10	5	1	6	5	13	7	4	4	5	4					
14	Число неиспользованных открепительных удостоверений	1280	21	20	11	18	0	17	15	21	12	16	8	0	23	26	14	22	10	19	21	25	16	18	19	23	5	22	25	24	31	26	0	31	23	29	6	20	29	27	11	18	14	16	19	6	20	38	29	38	31	19	11	13	0	19	2	0	0	6	27	0	9	19	7	0	0	27	29	23	2	24	0	20	20	8	21	21	2	6	0	7	5					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																								
18	. Глазьев Сергей Юрьевич	2949	75	66	76	56	69	68	48	43	54	80	42	8	25	23	96	46	14	47	20	37	22	50	44	61	30	45	49	21	45	46	5	32	51	55	84	74	64	57	64	79	77	65	73	40	45	33	20	15	26	6	4	7	34	14	33	20	9	6	46	5	24	38	36	1	12	51	29	17	10	9	22	9	8	20	26	33	5	21	3	18	8					
