Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																										
Дата голосования: 04.12.2011																																																																																										
																																																																																										
Наименование Избирательной комиссии:    Туймазинская																																																																																										
																																																																																										
Сводная таблица результатов выборов																																																																																										
																																																																																										
		Сумма	УИК №3015	УИК №3016	УИК №3017	УИК №3018	УИК №3019	УИК №3020	УИК №3021	УИК №3022	УИК №3023	УИК №3024	УИК №3025	УИК №3026	УИК №3027	УИК №3028	УИК №3029	УИК №3030	УИК №3031	УИК №3032	УИК №3033	УИК №3034	УИК №3035	УИК №3036	УИК №3037	УИК №3038	УИК №3039	УИК №3040	УИК №3041	УИК №3042	УИК №3043	УИК №3044	УИК №3045	УИК №3046	УИК №3047	УИК №3048	УИК №3049	УИК №3050	УИК №3051	УИК №3052	УИК №3053	УИК №3054	УИК №3055	УИК №3056	УИК №3057	УИК №3058	УИК №3059	УИК №3060	УИК №3061	УИК №3062	УИК №3063	УИК №3064	УИК №3065	УИК №3066	УИК №3067	УИК №3068	УИК №3069	УИК №3070	УИК №3071	УИК №3072	УИК №3073	УИК №3074	УИК №3075	УИК №3076	УИК №3077	УИК №3078	УИК №3079	УИК №3080	УИК №3081	УИК №3082	УИК №3083	УИК №3084	УИК №3085	УИК №3086	УИК №3087	УИК №3088	УИК №3089	УИК №3090	УИК №3091	УИК №3092	УИК №3093	УИК №3094	УИК №3095	УИК №3096	УИК №3097					
1	"Число избирателей, внесенных в список избирателей"	94474	2544	2593	3233	2227	2337	2036	2137	2549	1139	1677	1997	1579	1505	1244	1044	1500	1563	1900	1359	2189	2350	2602	1908	1015	1746	270	456	658	277	634	309	696	635	194	1029	1394	405	819	515	779	441	1888	2324	2201	1888	234	526	514	790	680	225	305	308	382	246	344	401	1486	1459	640	466	349	631	352	2826	2193	2407	1300	2061	1652	1685	477	182	262	130	263	142	795	501	224	706	302	243					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	93561	2540	2450	2660	2118	2640	2000	2100	2530	1060	1610	1980	1480	1545	1245	1010	1390	1620	1790	1260	2060	2250	2420	2110	950	1600	270	509	686	284	616	308	703	655	210	1024	1409	413	912	512	876	434	1932	2395	2225	1874	233	527	611	779	766	225	307	305	389	239	335	392	1465	1442	732	466	420	723	352	2844	2160	2438	1284	1978	1628	1678	466	176	260	132	266	135	797	498	220	691	300	237					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	78892	2311	2291	2527	1974	2192	1415	1446	2201	783	1420	1911	1368	1391	1104	928	1058	1412	1674	1206	1781	1856	1966	1864	853	1410	5	282	551	238	575	243	579	477	134	907	1341	362	650	434	681	367	1501	2054	1920	1251	188	417	381	660	572	194	256	246	293	182	317	301	1370	1328	436	389	284	461	301	2284	1844	1852	1178	1798	1490	1424	425	154	217	108	222	98	718	423	179	605	213	190					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	4073	4	44	44	41	47	7	55	167	29	44	18	12	20	17	55	22	30	31	19	31	48	25	44	87	36	262	72	52	28	30	59	82	55	55	101	38	36	108	67	72	48	30	55	30	57	24	40	77	33	40	31	34	50	55	26	9	64	88	106	105	51	65	72	14	16	18	28	101	44	34	166	16	14	40	20	20	18	17	40	33	29	76	45					
6	Число погашенных избирательных бюллетеней	10595	225	115	89	103	401	578	599	162	248	146	51	100	134	124	27	309	178	85	35	248	346	429	202	10	154	3	155	83	18	11	6	42	123	21	16	30	15	154	11	123	19	401	286	275	566	21	70	153	86	154	0	17	9	41	31	9	27	7	8	191	26	71	190	37	544	298	558	5	136	104	88	25	8	3	4	24	19	62	35	8	57	11	2					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4073	4	44	44	41	47	7	55	167	29	44	18	12	20	17	55	22	30	31	19	31	48	25	44	87	36	262	72	52	28	30	59	82	55	55	101	38	36	108	67	72	48	30	55	30	57	24	40	77	33	40	31	34	50	55	26	9	64	88	106	105	51	65	72	14	16	18	28	101	44	34	166	16	14	40	20	20	18	17	40	33	29	76	45					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	78884	2311	2291	2527	1974	2192	1415	1446	2201	783	1420	1911	1368	1391	1104	928	1058	1412	1674	1206	1778	1856	1966	1864	853	1410	5	282	551	238	575	243	579	477	134	902	1341	362	650	434	681	367	1501	2054	1920	1251	188	417	381	660	572	194	256	246	293	182	317	301	1370	1328	436	389	284	461	301	2284	1844	1852	1178	1798	1490	1424	425	154	217	108	222	98	718	423	179	605	213	190					
9	Число недействительных избирательных бюллетеней	1093	10	22	2	24	17	12	12	15	8	0	10	15	0	4	4	0	8	15	19	22	14	11	5	0	15	2	5	0	2	0	1	5	0	4	0	2	0	167	0	13	2	2	0	10	17	0	54	6	9	4	0	14	1	4	0	3	1	0	0	7	2	3	3	0	20	9	367	5	5	5	5	1	4	2	1	3	1	0	0	0	43	14	1					
10	Число действительных избирательных бюллетеней	81864	2305	2313	2569	1991	2222	1410	1489	2353	804	1464	1919	1365	1411	1117	979	1080	1434	1690	1206	1787	1890	1980	1903	940	1431	265	349	603	264	605	301	656	532	185	1003	1377	398	591	501	740	413	1529	2109	1940	1291	212	403	452	684	608	225	276	295	344	208	323	364	1458	1434	534	438	346	530	315	2280	1853	1513	1274	1837	1519	1585	440	164	255	127	239	115	735	463	212	591	275	234					
