Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																										
Дата голосования: 02.12.2007																																																																																										
																																																																																										
Наименование Избирательной комиссии:    Туймазинская																																																																																										
																																																																																										
Сводная таблица результатов выборов																																																																																										
																																																																																										
		Сумма	УИК №3030	УИК №3031	УИК №3032	УИК №3033	УИК №3034	УИК №3035	УИК №3036	УИК №3037	УИК №3038	УИК №3039	УИК №3040	УИК №3041	УИК №3042	УИК №3043	УИК №3044	УИК №3045	УИК №3046	УИК №3047	УИК №3048	УИК №3049	УИК №3050	УИК №3051	УИК №3052	УИК №3053	УИК №3054	УИК №3055	УИК №3056	УИК №3057	УИК №3058	УИК №3059	УИК №3060	УИК №3061	УИК №3062	УИК №3063	УИК №3064	УИК №3065	УИК №3066	УИК №3067	УИК №3068	УИК №3069	УИК №3070	УИК №3071	УИК №3072	УИК №3073	УИК №3074	УИК №3075	УИК №3076	УИК №3077	УИК №3078	УИК №3079	УИК №3080	УИК №3081	УИК №3082	УИК №3083	УИК №3084	УИК №3085	УИК №3086	УИК №3087	УИК №3088	УИК №3089	УИК №3090	УИК №3091	УИК №3092	УИК №3093	УИК №3094	УИК №3095	УИК №3096	УИК №3097	УИК №3098	УИК №3099	УИК №3100	УИК №3101	УИК №3102	УИК №3103	УИК №3104	УИК №3105	УИК №3106	УИК №3107	УИК №3108	УИК №3109	УИК №3110	УИК №3111	УИК №3112					
1	"Число избирателей, внесенных в списки избирателей"	91548	2722	2367	2502	2520	1881	2205	2089	2345	1101	1516	1978	1685	1564	1517	1093	1364	1973	1621	1390	2221	2458	2553	2182	964	1923	261	2353	1654	1990	1978	1938	1470	2629	2493	2273	1380	1339	430	591	279	646	229	570	308	617	811	1351	304	766	450	682	226	269	313	400	244	337	405	732	426	722	470	347	1169	558	297	247	534	558	794	1225	441	158	215	133	283	154	701	351	181	604	286	242					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	88290	2546	2361	2540	2478	1742	2030	1935	2283	959	1288	1834	1496	1502	1441	1027	1283	1651	1494	1283	1991	2309	2358	2004	892	1986	251	2374	1597	2026	2026	1949	1488	2559	2406	2296	1369	1316	434	594	279	643	229	571	310	629	802	1344	302	763	450	688	227	266	312	400	247	338	400	730	418	703	479	346	1181	552	298	239	477	556	743	1212	470	159	215	133	279	153	698	347	179	591	294	240					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	82318	2520	2192	2478	2417	1697	2023	1886	2210	832	1235	1786	1466	1379	1393	946	1258	1587	1470	1253	1877	2250	2270	1673	816	1704	188	2120	1505	1868	1850	1833	1355	2436	2252	2238	1252	1217	361	521	230	578	198	510	223	527	688	1312	237	706	403	642	202	238	268	352	209	320	357	710	379	567	430	297	1033	516	289	204	447	513	715	1073	430	139	174	122	266	123	680	313	139	558	195	192					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3646	11	24	24	48	44	5	41	22	41	45	35	21	39	16	31	25	37	24	27	53	46	74	45	74	44	60	130	85	32	36	39	47	22	50	35	52	56	65	65	46	62	30	55	83	85	101	26	64	53	44	37	24	28	42	48	33	14	43	14	39	127	40	41	125	36	6	34	25	40	28	139	10	11	41	11	11	29	12	33	40	33	88	45					
6	Число погашенных избирательных бюллетеней	2326	15	145	38	13	1	2	8	51	86	8	13	9	84	32	50	0	27	0	3	61	13	14	286	2	238	3	124	7	126	140	77	86	101	104	23	65	43	8	8	3	3	1	6	4	17	13	6	1	4	3	9	1	0	2	0	5	4	0	6	0	9	9	8	23	0	3	1	5	3	0	0	30	9	0	0	2	1	6	1	0	0	11	3					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3646	11	24	24	48	44	5	41	22	41	45	35	21	39	16	31	25	37	24	27	53	46	74	45	74	44	60	130	85	32	36	39	47	22	50	35	52	56	65	65	46	62	30	55	83	85	101	26	64	53	44	37	24	28	42	48	33	14	43	14	39	127	40	41	125	36	6	34	25	40	28	139	10	11	41	11	11	29	12	33	40	33	88	45					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	82318	2520	2192	2478	2417	1697	2023	1886	2210	832	1235	1786	1466	1379	1393	946	1258	1587	1470	1253	1877	2250	2270	1673	816	1704	188	2120	1505	1868	1850	1833	1355	2436	2252	2238	1252	1217	361	521	230	578	198	510	223	527	688	1312	237	706	403	642	202	238	268	352	209	320	357	710	379	567	430	297	1033	516	289	204	447	513	715	1073	430	139	174	122	266	123	680	313	139	558	195	192					
9	Число недействительных избирательных бюллетеней	542	3	0	7	2	0	10	0	5	0	0	1	18	15	0	3	0	0	0	0	27	5	9	10	0	6	1	4	1	5	0	0	2	95	24	65	0	2	0	0	1	2	0	0	0	28	4	0	15	4	0	0	0	0	0	57	0	1	0	0	10	7	1	3	0	0	0	1	26	28	11	6	1	0	1	3	6	0	0	4	0	0	2	0					
10	Число действительных избирательных бюллетеней	85422	2528	2216	2495	2463	1741	2018	1927	2227	873	1280	1820	1469	1403	1409	974	1283	1624	1494	1280	1903	2291	2335	1708	890	1742	247	2246	1589	1895	1886	1872	1400	2363	2278	2208	1304	1271	426	586	275	638	228	565	306	584	785	1338	286	755	447	679	226	266	310	343	242	333	400	724	408	687	469	335	1158	552	295	237	446	525	732	1206	439	150	214	130	271	152	692	342	179	591	281	237					
