Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																													
Дата голосования: 18.09.2016																																													
																																													
Наименование Избирательной комиссии:    Касторенская																																													
																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																													
																																													
		Сумма	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	15547	950	1712	891	644	1107	965	1375	529	214	250	142	113	334	258	223	404	508	218	132	328	348	451	305	293	309	151	372	220	642	168	196	156	174	465									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	13130	750	1400	750	550	900	800	1100	450	200	200	130	100	300	200	200	350	450	200	100	300	300	400	250	250	250	150	350	200	550	150	150	150	150	400									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5273	343	612	296	140	337	254	437	206	62	68	53	45	133	87	80	197	175	83	44	111	97	124	99	76	170	79	118	79	279	66	72	59	65	127									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1541	48	48	34	69	76	56	64	54	20	53	24	6	70	21	25	35	80	48	16	64	89	65	37	62	21	21	33	37	80	36	22	24	40	63									
6	Число погашенных избирательных бюллетеней	6316	359	740	420	341	487	490	599	190	118	79	53	49	97	92	95	118	195	69	40	125	114	211	114	112	59	50	199	84	191	48	56	67	45	210									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1541	48	48	34	69	76	56	64	54	20	53	24	6	70	21	25	35	80	48	16	64	89	65	37	62	21	21	33	37	80	36	22	24	40	63									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5273	343	612	296	140	337	254	437	206	62	68	53	45	133	87	80	197	175	83	44	111	97	124	99	76	170	79	118	79	279	66	72	59	65	127									
9	Число недействительных избирательных бюллетеней	156	9	10	2	5	5	7	11	16	0	5	0	1	3	4	9	6	0	1	0	4	4	6	2	0	6	4	6	4	1	0	7	5	2	11									
10	Число действительных избирательных бюллетеней	6658	382	650	328	204	408	303	490	244	82	116	77	50	200	104	96	226	255	130	60	171	182	183	134	138	185	96	145	112	358	102	87	78	103	179									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	336	15	20	15	13	14	10	14	10	5	10	5	4	14	10	10	12	14	10	5	15	15	10	10	5	10	5	10	5	15	5	3	3	5	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	225	6	17	4	13	8	3	11	7	1	10	0	4	0	10	10	3	14	10	5	15	15	10	10	5	10	5	10	5	0	0	0	1	1	2									
