Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																											
Дата голосования: 18.09.2016																																											
																																											
Наименование Избирательной комиссии:    Вышневолоцкая городская																																											
																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																											
																																											
		Сумма	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №1193									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	39334	1848	1720	1415	1902	1725	1678	997	926	2026	1308	1280	1035	842	1167	420	743	1080	883	2003	717	1666	1102	881	1227	791	787	1215	1753	1682	2002	472	41									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	34311	1550	1550	1150	1650	1550	1550	850	750	1750	1150	1150	850	650	950	350	650	850	750	1850	650	1550	950	750	1050	650	650	1050	1550	1550	1850	470	41									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	14563	630	619	489	597	683	742	349	335	896	451	455	334	408	423	143	230	406	290	659	236	673	485	297	451	273	259	471	629	591	737	303	19									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	471	30	31	11	35	9	11	12	6	15	5	15	15	7	7	4	3	14	5	24	5	26	2	13	18	5	17	8	14	28	19	36	21									
6	Число погашенных избирательных бюллетеней	19277	890	900	650	1018	858	797	489	409	839	694	680	501	235	520	203	417	430	455	1167	409	851	463	440	581	372	374	571	907	931	1094	131	1									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	471	30	31	11	35	9	11	12	6	15	5	15	15	7	7	4	3	14	5	24	5	26	2	13	18	5	17	8	14	28	19	36	21									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	14557	629	618	489	597	681	742	349	335	896	451	455	334	408	423	143	230	406	290	658	236	673	484	297	451	273	259	471	629	591	737	303	19									
9	Число недействительных избирательных бюллетеней	447	25	21	10	27	19	19	8	14	34	10	16	7	10	7	4	8	10	7	13	9	23	12	6	5	3	8	21	28	17	23	23	0									
10	Число действительных избирательных бюллетеней	14581	634	628	490	605	671	734	353	327	877	446	454	342	405	423	143	225	410	288	669	232	676	474	304	464	275	268	458	615	602	733	316	40									
