Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																											
Дата голосования: 07.12.2003 0:00:00																																											
																																											
Наименование Избирательной комиссии:    Яйская																																											
																																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																											
																																											
		Сумма	УИК №1609	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1636	УИК №1637	УИК №1638	УИК №1639	УИК №1640	УИК №1641	УИК №1642	УИК №1643	УИК №1644					
1	"Число избирателей, внесенных в списки"	16397	265	170	349	107	110	256	398	349	231	53	501	317	306	114	668	290	109	436	176	496	275	451	138	631	91	1446	809	842	348	748	480	760	1187	967	1147	376					
2	"Число бюллетеней, полученных участковыми комиссиями"	15945	266	157	325	100	120	245	388	355	228	54	460	317	310	117	675	278	109	410	175	485	270	418	134	625	94	1390	825	815	330	720	470	730	1155	945	1080	370					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	9468	220	97	245	81	104	183	324	278	153	41	342	249	198	84	338	203	79	310	72	344	234	314	112	498	49	720	374	332	169	354	293	368	734	400	421	151					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1879	28	47	15	16	4	32	38	51	48	12	51	42	40	29	159	45	30	42	83	91	22	103	15	56	42	55	49	113	57	50	27	41	35	56	196	59					
6	Число погашенных бюллетеней	4598	18	13	65	3	12	30	26	26	27	1	67	26	72	4	178	30	0	58	20	50	14	1	7	71	3	615	402	370	104	316	150	321	386	489	463	160					
7	Число бюллетеней в переносных ящиках для голосования	1879	28	47	15	16	4	32	38	51	48	12	51	42	40	29	159	45	30	42	83	91	22	103	15	56	42	55	49	113	57	50	27	41	35	56	196	59					
8	Число бюллетеней в стационарных ящиках для голосования	9461	220	97	245	81	104	182	324	278	153	41	342	249	198	84	338	203	79	310	72	344	234	314	112	498	49	719	374	332	169	354	291	367	732	400	421	151					
9	Число недействительных бюллетеней	264	0	6	2	0	1	2	1	3	3	0	18	5	5	0	5	2	0	16	2	17	8	44	5	18	1	12	15	8	4	9	5	10	19	6	11	1					
10	Число действительных бюллетеней	11076	248	138	258	97	107	212	361	326	198	53	375	286	233	113	492	246	109	336	153	418	248	373	122	536	90	762	408	437	222	395	313	398	748	450	606	209					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	242	6	6	6	6	4	6	6	6	6	4	6	4	6	4	6	6	4	6	4	6	4	6	4	6	4	10	10	10	10	10	10	10	10	10	10	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	38	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	2	0	1	0	0	0	6	1	2	1	4	0	6	5	2	3	1					
