Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																			
Дата голосования: 18.09.2016																																																			
																																																			
Наименование Избирательной комиссии:    Геленджикская																																																			
																																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																																			
																																																			
		Сумма	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	79876	2402	2071	2089	2355	2447	2884	2503	2581	2761	3090	2941	2445	3009	1995	2025	2509	2409	1568	2956	1522	2636	3084	1180	424	1400	2903	2223	305	217	1137	1985	984	547	676	2545	2203	486	1338	2060	2981									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	73180	2200	2000	2000	2200	2300	2700	2300	2300	2600	2900	2700	2200	2600	1800	1800	2300	2200	1400	2600	1500	2450	2700	1100	400	1300	2600	1800	280	200	1100	1900	900	450	650	2200	2100	450	1200	1900	2900									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	49175	1407	1416	1829	1205	1554	1417	1008	1717	1314	2136	1924	1675	1585	915	1494	1473	1400	566	1396	962	2281	2402	758	311	744	1560	1163	269	131	887	1398	768	411	437	1381	1403	390	935	1308	1845									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3262	86	18	26	86	73	117	66	118	32	171	47	61	317	57	17	19	318	26	41	155	32	66	70	15	99	185	116	5	9	97	281	40	23	44	44	28	25	46	149	37									
6	Число погашенных избирательных бюллетеней	20743	707	566	145	909	673	1166	1226	465	1254	593	729	464	698	828	289	808	482	808	1163	383	137	232	272	74	457	855	521	6	60	116	221	92	16	169	775	669	35	219	443	1018									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	3261	86	18	26	86	73	117	66	118	32	171	47	61	317	57	17	19	317	26	41	155	32	66	70	15	99	185	116	5	9	97	281	40	23	44	44	28	25	46	149	37									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	49175	1407	1416	1829	1205	1554	1417	1008	1717	1314	2136	1924	1675	1585	915	1494	1473	1400	566	1396	962	2281	2402	758	311	744	1560	1163	269	131	887	1398	768	411	437	1381	1403	390	935	1308	1845									
9	Число недействительных избирательных бюллетеней	472	19	10	22	7	14	20	12	11	25	17	2	0	14	0	0	0	21	12	28	0	0	0	0	0	8	24	29	0	5	5	14	1	22	5	21	22	10	52	17	3									
10	Число действительных избирательных бюллетеней	51964	1474	1424	1833	1284	1613	1514	1062	1824	1321	2290	1969	1736	1888	972	1511	1492	1696	580	1409	1117	2313	2468	828	326	835	1721	1250	274	135	979	1665	807	412	476	1404	1409	405	929	1440	1879									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1340	40	40	40	40	40	50	40	40	50	50	50	40	40	30	30	40	40	30	40	30	40	40	20	10	30	40	30	10	10	20	30	20	10	20	40	40	10	30	40	50									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	422	9	11	14	22	15	10	12	18	22	31	21	13	14	8	5	10	10	9	11	13	5	12	3	5	4	21	13	0	5	6	12	4	3	1	8	10	4	2	9	17									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	2581	31	27	47	13	57	28	24	165	55	12	42	60	228	126	93	128	25	75	58	1	97	263	5	0	6	122	303	13	9	3	9	30	79	2	198	16	1	22	84	24									
14	Число погашенных неиспользованных открепительных удостоверений	918	31	29	26	18	25	40	28	22	28	19	29	27	26	22	25	30	30	21	29	17	35	28	17	5	26	19	17	10	5	14	18	16	7	19	32	30	6	28	31	33									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	48	2	1	1	2	3	4	3	2	1	3	2	3	0	0	1	3	1	0	4	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	2	5									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																			
