Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																									
Дата голосования: 07.12.2003 0:00:00																									
																									
Наименование Избирательной комиссии:    Щербиновская																									
																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																									
																									
		Сумма	УИК №5701	УИК №5702	УИК №5703	УИК №5704	УИК №5705	УИК №5706	УИК №5707	УИК №5708	УИК №5709	УИК №5710	УИК №5711	УИК №5712	УИК №5713	УИК №5714	УИК №5715	УИК №5716	УИК №5717	УИК №5718					
1	"Число избирателей, внесенных в списки"	30450	2134	2763	2612	1644	1921	2418	1914	2359	2516	1702	2083	1230	1667	1043	1115	825	376	128					
2	"Число бюллетеней, полученных участковыми комиссиями"	31088	2141	2757	2693	1812	1957	2350	1961	2402	2575	1713	2119	1294	1640	1095	1160	864	421	134					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	15304	1035	1364	1187	768	918	1025	839	990	1308	941	976	645	1084	755	601	558	212	98					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	644	25	48	69	27	45	47	20	30	27	51	90	45	38	10	30	31	6	5					
6	Число погашенных бюллетеней	15140	1081	1345	1437	1017	994	1278	1102	1382	1240	721	1053	604	518	330	529	275	203	31					
7	Число бюллетеней в переносных ящиках для голосования	644	25	48	69	27	45	47	20	30	27	51	90	45	38	10	30	31	6	5					
8	Число бюллетеней в стационарных ящиках для голосования	15300	1035	1362	1187	768	918	1025	839	990	1307	940	976	645	1084	755	601	558	212	98					
9	Число недействительных бюллетеней	151	15	12	8	9	8	5	3	18	11	14	14	9	6	5	8	3	3	0					
10	Число действительных бюллетеней	15793	1045	1398	1248	786	955	1067	856	1002	1323	977	1052	681	1116	760	623	586	215	103					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	399	24	25	25	25	25	25	25	25	25	25	25	25	20	20	20	20	10	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	69	5	7	5	3	3	2	1	8	4	9	6	2	1	0	9	4	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	54	1	2	11	1	3	13	1	1	2	4	2	1	1	0	4	6	1	0					
14	Число погашенных открепительных удостоверений	330	19	18	20	22	22	23	24	17	21	16	19	23	19	20	11	16	10	10					
15	Число открепительных удостоверений выданных ТИК	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																									
18	"1. ""ЕДИНЕНИЕ"""	130	10	12	7	4	5	7	7	9	17	8	8	6	9	9	4	4	1	3					
		0.81%	0.94%	0.85%	0.55%	0.50%	0.51%	0.65%	0.81%	0.88%	1.27%	0.80%	0.75%	0.86%	0.80%	1.17%	0.63%	0.67%	0.45%	2.91%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	105	4	14	12	6	10	4	6	7	2	8	7	3	7	3	1	7	2	2					
		0.65%	0.37%	0.99%	0.95%	0.75%	1.03%	0.37%	0.69%	0.68%	0.14%	0.80%	0.65%	0.43%	0.62%	0.39%	0.15%	1.18%	0.91%	1.94%					
