Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																			
Дата голосования: 18.09.2016																																			
																																			
Наименование Избирательной комиссии:    Жигаловская																																			
																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																			
																																			
		Сумма	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	7004	42	251	55	313	481	94	346	48	85	186	121	151	288	68	59	153	174	587	462	638	803	636	560	403									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	7590	54	289	80	342	511	113	409	68	88	200	170	158	282	92	86	183	192	610	479	628	820	663	627	446									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2583	22	110	41	133	164	43	117	38	38	59	65	79	167	43	49	83	82	194	122	206	252	170	155	151									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	400	5	12	5	34	32	20	30	4	6	42	34	3	14	2	6	21	19	5	10	39	23	12	15	7									
6	Число погашенных избирательных бюллетеней	4607	27	167	34	175	315	50	262	26	44	99	71	76	101	47	31	79	91	411	347	383	545	481	457	288									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	400	5	12	5	34	32	20	30	4	6	42	34	3	14	2	6	21	19	5	10	39	23	12	15	7									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2583	22	110	41	133	164	43	117	38	38	59	65	79	167	43	49	83	82	194	122	206	252	170	155	151									
9	Число недействительных избирательных бюллетеней	49	0	0	2	1	2	0	8	2	0	3	1	3	4	0	0	0	0	4	1	2	3	2	2	9									
10	Число действительных избирательных бюллетеней	2934	27	122	44	166	194	63	139	40	44	98	98	79	177	45	55	104	101	195	131	243	272	180	168	149									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	862	20	35	35	40	50	20	60	20	10	30	40	10	30	20	30	32	20	50	50	50	50	50	60	50									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	556	11	35	30	25	23	7	60	20	0	15	40	6	1	20	28	32	20	29	5	16	19	12	60	42									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	84	1	1	6	4	3	1	2	4	0	3	1	5	5	1	1	3	3	5	2	6	5	2	5	15									
14	Число погашенных неиспользованных открепительных удостоверений	306	9	0	5	15	27	13	0	0	10	15	0	4	29	0	2	0	0	21	45	34	31	38	0	8									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	62	1	2	0	3	1	10	1	1	0	0	6	4	1	0	0	0	0	3	2	3	1	7	5	11									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																			
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	26	0	1	2	2	1	0	2	1	1	1	1	0	0	0	0	1	2	4	1	1	2	1	1	1									
		0.87%	0.00%	0.82%	4.35%	1.20%	0.51%	0.00%	1.36%	2.38%	2.27%	0.99%	1.01%	0.00%	0.00%	0.00%	0.00%	0.96%	1.98%	2.01%	0.76%	0.41%	0.73%	0.55%	0.59%	0.63%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	95	1	6	3	3	7	2	3	1	1	2	2	0	6	1	4	5	6	7	5	6	12	5	2	5									
		3.18%	3.70%	4.92%	6.52%	1.80%	3.57%	3.17%	2.04%	2.38%	2.27%	1.98%	2.02%	0.00%	3.31%	2.22%	7.27%	4.81%	5.94%	3.52%	3.79%	2.45%	4.36%	2.75%	1.18%	3.16%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	62	0	5	0	2	4	0	6	0	3	2	1	2	3	0	1	1	2	4	3	7	6	6	3	1									
		2.08%	0.00%	4.10%	0.00%	1.20%	2.04%	0.00%	4.08%	0.00%	6.82%	1.98%	1.01%	2.44%	1.66%	0.00%	1.82%	0.96%	1.98%	2.01%	2.27%	2.86%	2.18%	3.30%	1.76%	0.63%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1410	11	52	12	77	98	44	65	19	18	37	51	55	93	26	37	39	61	98	63	114	107	83	81	69									
		47.27%	40.74%	42.62%	26.09%	46.11%	50.00%	69.84%	44.22%	45.24%	40.91%	36.63%	51.52%	67.07%	51.38%	57.78%	67.27%	37.50%	60.40%	49.25%	47.73%	46.53%	38.91%	45.60%	47.65%	43.67%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	17	0	0	1	3	0	0	2	0	0	1	1	0	3	0	2	0	0	1	0	0	1	0	1	1									
		0.57%	0.00%	0.00%	2.17%	1.80%	0.00%	0.00%	1.36%	0.00%	0.00%	0.99%	1.01%	0.00%	1.66%	0.00%	3.64%	0.00%	0.00%	0.50%	0.00%	0.00%	0.36%	0.00%	0.59%	0.63%									
24	"6. Политическая партия ""Гражданская Платформа"""	10	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	2	1	2	1	0									
		0.34%	0.00%	0.82%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.98%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.76%	0.82%	0.36%	1.10%	0.59%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	443	4	25	3	31	27	7	23	8	10	17	15	8	29	8	4	25	15	29	9	30	44	31	19	22									
		14.85%	14.81%	20.49%	6.52%	18.56%	13.78%	11.11%	15.65%	19.05%	22.73%	16.83%	15.15%	9.76%	16.02%	17.78%	7.27%	24.04%	14.85%	14.57%	6.82%	12.24%	16.00%	17.03%	11.18%	13.92%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	11	0	0	2	0	0	1	0	0	0	0	3	0	1	0	0	1	0	0	0	0	0	1	0	2									
		0.37%	0.00%	0.00%	4.35%	0.00%	0.00%	1.59%	0.00%	0.00%	0.00%	0.00%	3.03%	0.00%	0.55%	0.00%	0.00%	0.96%	0.00%	0.00%	0.00%	0.00%	0.00%	0.55%	0.00%	1.27%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	13	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	2	0	1	3	0	0	0	2	1									
		0.44%	0.00%	0.00%	0.00%	0.00%	0.51%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.66%	0.00%	0.00%	1.92%	0.00%	0.50%	2.27%	0.00%	0.00%	0.00%	1.18%	0.63%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	5	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0									
