Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																	
Дата голосования: 18.09.2016																																																	
																																																	
Наименование Избирательной комиссии:    Дуванская																																																	
																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																	
																																																	
		Сумма	УИК №1753	УИК №1754	УИК №1755	УИК №1756	УИК №1757	УИК №1758	УИК №1759	УИК №1760	УИК №1761	УИК №1762	УИК №1763	УИК №1764	УИК №1765	УИК №1766	УИК №1767	УИК №1768	УИК №1769	УИК №1770	УИК №1771	УИК №1772	УИК №1773	УИК №1774	УИК №1775	УИК №1776	УИК №1777	УИК №1778	УИК №1779	УИК №1780	УИК №1781	УИК №1782	УИК №1783	УИК №1784	УИК №1785	УИК №1786	УИК №1787	УИК №1788	УИК №1789	УИК №1790									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	22305	476	1134	1082	1073	722	1255	609	432	1202	348	393	298	626	347	491	254	282	666	494	786	134	1050	639	659	446	627	146	184	172	377	786	846	347	710	405	605	787	415									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	22900	480	1260	1080	1080	810	1276	610	428	1220	340	400	310	650	360	490	255	290	770	506	800	140	1087	659	660	450	640	145	182	172	380	820	850	350	720	410	610	780	430									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	14100	375	534	365	717	356	635	481	371	816	262	321	181	311	160	378	216	223	331	188	600	80	767	293	214	315	415	113	160	126	313	272	668	239	566	306	469	599	364									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1277	22	35	19	68	2	9	12	4	86	15	0	11	42	23	20	6	12	11	32	50	20	15	97	50	60	57	10	0	0	24	28	122	48	40	42	39	130	16									
6	Число погашенных избирательных бюллетеней	7523	83	691	696	295	452	632	117	53	318	63	79	118	297	177	92	33	55	428	286	150	40	305	269	396	75	168	22	22	46	43	520	60	63	114	62	102	51	50									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1277	22	35	19	68	2	9	12	4	86	15	0	11	42	23	20	6	12	11	32	50	20	15	97	50	60	57	10	0	0	24	28	122	48	40	42	39	130	16									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	14100	375	534	365	717	356	635	481	371	816	262	321	181	311	160	378	216	223	331	188	600	80	767	293	214	315	415	113	160	126	313	272	668	239	566	306	469	599	364									
9	Число недействительных избирательных бюллетеней	81	0	7	4	7	6	4	0	1	1	0	0	0	8	1	0	0	0	8	8	3	0	0	0	1	0	5	0	0	0	0	3	0	4	0	0	0	9	1									
10	Число действительных избирательных бюллетеней	15296	397	562	380	778	352	640	493	374	901	277	321	192	345	182	398	222	235	334	212	647	100	782	390	263	375	467	123	160	126	337	297	790	283	606	348	508	720	379									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	405	10	10	16	15	15	18	10	10	14	10	10	10	10	5	20	10	15	10	5	10	3	15	10	10	10	10	4	5	5	10	15	15	5	10	5	10	10	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	310	10	10	16	15	15	18	10	2	14	0	3	10	10	5	8	0	15	10	5	10	3	15	8	3	5	7	0	0	0	8	11	7	5	10	2	10	10	20									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	99	2	3	5	5	4	0	3	1	0	0	0	0	0	1	3	1	3	2	2	2	0	0	1	1	1	2	1	2	4	6	2	11	1	3	1	3	14	9									
14	Число погашенных неиспользованных открепительных удостоверений	95	0	0	0	0	0	0	0	8	0	10	7	0	0	0	12	10	0	0	0	0	0	0	2	7	5	3	4	5	5	2	4	8	0	0	3	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	13	0	1	0	2	1	0	3	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	125	5	16	6	3	5	2	2	7	15	0	2	0	4	6	1	1	5	5	3	0	2	0	4	3	0	10	1	0	1	0	2	3	3	2	0	0	1	5									
		0.81%	1.26%	2.81%	1.56%	0.38%	1.40%	0.31%	0.41%	1.87%	1.66%	0.00%	0.62%	0.00%	1.13%	3.28%	0.25%	0.45%	2.13%	1.46%	1.36%	0.00%	2.00%	0.00%	1.03%	1.14%	0.00%	2.12%	0.81%	0.00%	0.79%	0.00%	0.67%	0.38%	1.05%	0.33%	0.00%	0.00%	0.14%	1.32%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	341	0	22	19	7	22	8	3	6	2	5	0	15	25	15	16	8	8	17	6	1	2	0	16	17	0	23	5	0	2	11	3	3	2	4	0	14	24	10									
		2.22%	0.00%	3.87%	4.95%	0.89%	6.15%	1.24%	0.61%	1.60%	0.22%	1.81%	0.00%	7.81%	7.08%	8.20%	4.02%	3.60%	3.40%	4.97%	2.73%	0.15%	2.00%	0.00%	4.10%	6.44%	0.00%	4.87%	4.07%	0.00%	1.59%	3.26%	1.00%	0.38%	0.70%	0.66%	0.00%	2.76%	3.29%	2.63%									
