Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																												
Дата голосования: 07.12.2003 0:00:00																																																												
																																																												
Наименование Избирательной комиссии:    Кетовская																																																												
																																																												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																												
																																																												
		Сумма	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502					
1	"Число избирателей, внесенных в списки"	40215	1107	1014	1302	1235	1131	355	1568	1348	1022	543	373	749	397	1081	487	600	505	348	710	197	653	890	176	158	246	795	233	1342	257	1844	1385	92	283	1860	1339	415	584	179	1956	632	1561	835	1138	310	458	470	484	1002	370	1649	313	104	130					
2	"Число бюллетеней, полученных участковыми комиссиями"	41008	1148	1044	1337	1274	1182	373	1559	1353	1045	542	389	756	398	1112	500	609	524	356	718	187	668	886	168	145	256	789	237	1391	261	1891	1420	96	292	1889	1344	417	582	176	1988	643	1606	850	1168	321	465	479	492	1017	370	1679	361	111	144					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	20655	605	507	585	594	617	217	725	866	512	265	152	366	241	602	268	332	255	228	404	111	405	501	129	124	134	390	142	618	168	861	633	65	128	673	675	193	275	115	991	332	654	454	586	141	235	277	350	468	168	983	183	58	94					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1101	17	12	29	16	17	0	2	12	14	13	65	16	34	31	41	28	48	8	15	0	10	10	13	6	24	34	3	45	0	19	49	0	44	49	12	4	9	0	29	33	41	23	40	7	37	8	20	32	50	22	10	0	0					
6	Число погашенных бюллетеней	19252	526	525	723	664	548	156	832	475	519	264	172	374	123	479	191	249	221	120	299	76	253	375	26	15	98	365	92	728	93	1011	738	31	120	1167	657	220	298	61	968	278	911	373	542	173	193	194	122	517	152	674	168	53	50					
7	Число бюллетеней в переносных ящиках для голосования	1101	17	12	29	16	17	0	2	12	14	13	65	16	34	31	41	28	48	8	15	0	10	10	13	6	24	34	3	45	0	19	49	0	44	49	12	4	9	0	29	33	41	23	40	7	37	8	20	32	50	22	10	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	20653	605	507	585	594	616	217	725	865	512	265	152	366	241	602	268	332	255	228	404	111	405	501	129	124	134	390	142	618	168	861	633	65	128	673	675	193	275	115	991	332	654	454	586	141	235	277	350	468	168	983	183	58	94					
9	Число недействительных бюллетеней	220	7	2	9	2	8	2	0	1	8	4	1	8	3	5	4	8	2	1	2	8	5	7	0	0	2	4	0	4	1	14	10	0	0	10	2	7	5	0	2	2	10	4	1	3	7	8	4	6	2	13	1	0	1					
10	Число действительных бюллетеней	21534	615	517	605	608	625	215	727	876	518	274	216	374	272	628	305	352	301	235	417	103	410	504	142	130	156	420	145	659	167	866	672	65	172	712	685	190	279	115	1018	363	685	473	625	145	265	277	366	494	216	992	192	58	93					
