Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																				
Дата голосования: 02.12.2007																				
																				
Наименование Избирательной комиссии:    Коряжемская																				
																				
Сводная таблица результатов выборов																				
																				
		Сумма	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386					
1	"Число избирателей, внесенных в списки избирателей"	32372	2362	2432	2361	2264	2601	2412	2561	2133	2618	2751	2716	2578	2583					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	32390	2350	2450	2250	2250	2600	2400	2590	2150	2650	2750	2750	2600	2600					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	18459	977	1355	1264	1432	1484	1367	1619	1137	1603	1647	1625	1448	1501					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	402	23	31	93	38	18	19	37	28	42	8	4	25	36					
6	Число погашенных избирательных бюллетеней	13529	1350	1064	893	780	1098	1014	934	985	1005	1095	1121	1127	1063					
7	Число избирательных бюллетеней в переносных ящиках для голосования	402	23	31	93	38	18	19	37	28	42	8	4	25	36					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	18451	977	1354	1264	1432	1484	1367	1619	1137	1603	1642	1623	1448	1501					
9	Число недействительных избирательных бюллетеней	170	12	13	17	7	8	20	15	10	17	18	16	4	13					
10	Число действительных избирательных бюллетеней	18683	988	1372	1340	1463	1494	1366	1641	1155	1628	1632	1611	1469	1524					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	491	35	38	38	38	38	38	38	38	38	38	38	38	38					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	90	6	4	8	4	5	8	12	6	9	4	5	6	13					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	50	2	2	12	0	1	7	4	2	5	6	2	4	3					
14	Число погашенных неиспользованных открепительных удостоверений	401	29	34	30	34	33	30	26	32	29	34	33	32	25					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	9	0	0	2	1	0	1	1	0	1	1	1	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																				
