Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																													
Дата голосования: 07.12.2003 0:00:00																																																													
																																																													
"Наименование Избирательной комиссии:    Бийск, Восточная"																																																													
																																																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																													
																																																													
		Сумма	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320					
1	"Число избирателей, внесенных в списки"	92723	2309	2217	1836	988	1106	1912	2114	2134	1707	1551	1553	1165	2270	1144	1429	1712	2209	1868	2383	1963	1246	1363	1317	2227	1833	1912	2200	1786	1000	1780	2488	1411	1641	875	1549	1725	1174	1233	1719	1465	1540	1796	1875	1701	1561	1330	1359	2635	2778	2483	1919	1309	2487	436					
2	"Число бюллетеней, полученных участковыми комиссиями"	84480	2080	1990	1630	880	990	1730	1900	1910	1540	1390	1400	1050	2030	1030	1280	1530	1990	1690	2140	1770	1920	1200	1170	2010	1660	1710	1970	1480	1860	1590	2240	1240	1470	760	1390	1500	1050	1090	1540	1270	1370	1610	1680	1520	1250	1110	1220	2370	2490	2250	1720	1160	2220	440					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	45087	768	939	710	296	307	874	1126	941	895	761	915	568	1052	391	810	1009	1258	1020	1274	1044	1216	320	602	1253	1019	599	1096	797	969	1050	1187	800	873	430	621	755	531	504	682	602	733	685	771	719	556	594	605	1495	1558	1294	872	563	1432	346					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2339	29	26	57	13	14	26	32	38	17	40	60	22	59	11	50	37	33	36	44	45	30	363	4	55	35	17	50	20	31	30	29	88	57	17	40	79	23	32	46	73	16	19	42	31	184	18	15	38	41	39	23	26	23	16					
6	Число погашенных бюллетеней	37058	1283	1025	863	571	669	830	742	929	628	589	425	460	919	628	420	484	699	634	822	677	674	517	564	702	606	1094	824	663	860	510	1024	352	540	313	729	666	496	554	812	595	621	906	867	770	510	498	600	847	891	917	825	571	765	78					
7	Число бюллетеней в переносных ящиках для голосования	2337	28	26	57	13	14	26	32	38	17	40	60	22	59	11	50	37	33	36	44	44	30	363	4	55	35	17	50	20	31	30	29	88	57	17	40	79	23	32	46	73	16	19	42	31	184	18	15	38	41	39	23	26	23	16					
8	Число бюллетеней в стационарных ящиках для голосования	45079	768	934	710	296	307	874	1126	938	895	761	915	568	1052	391	810	1009	1258	1020	1273	1044	1216	320	602	1251	1018	599	1096	797	982	1050	1187	799	873	430	621	755	531	504	682	600	733	682	771	717	556	594	605	1492	1558	1294	872	565	1432	346					
9	Число недействительных бюллетеней	475	13	27	10	7	8	13	12	10	4	4	4	7	14	1	4	6	9	2	9	1	8	12	2	11	3	19	9	6	12	10	14	9	12	8	5	11	6	3	10	1	9	10	14	7	17	5	9	8	20	11	21	3	2	3					
10	Число действительных бюллетеней	46941	783	933	757	302	313	887	1146	966	908	797	971	583	1097	401	856	1040	1282	1054	1308	1087	1238	671	604	1295	1050	597	1137	811	1001	1070	1202	878	918	439	656	823	548	533	718	672	740	691	799	741	723	607	611	1522	1579	1322	874	588	1453	359					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	766	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	24	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	219	2	2	3	0	0	8	6	8	7	4	6	1	2	2	3	3	7	11	3	5	4	0	17	10	10	0	9	9	3	4	8	3	6	0	2	6	3	0	2	1	2	3	3	1	2	1	2	7	3	4	2	3	6	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	177	2	4	1	2	2	2	9	7	1	3	4	4	3	2	2	3	5	2	10	5	2	4	4	0	4	2	1	0	1	10	2	2	1	0	2	0	6	4	1	2	4	4	2	0	9	2	2	5	2	8	5	0	6	7					
14	Число погашенных открепительных удостоверений	547	12	12	11	14	14	6	8	6	7	10	8	13	12	12	11	11	7	3	11	9	10	14	7	4	4	14	5	5	11	10	6	11	8	14	12	8	11	14	12	13	12	11	11	13	12	13	12	7	11	10	12	11	8	14					
15	Число открепительных удостоверений выданных ТИК	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	6	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0					
																																																													
18	"1. ""ЕДИНЕНИЕ"""	313	2	10	3	2	2	8	7	5	2	2	11	3	12	8	3	5	5	1	6	2	8	13	5	4	6	8	4	11	5	6	12	4	3	3	4	7	8	6	3	3	7	1	4	6	6	11	5	11	12	3	6	8	8	3					
