Выборы Президента Российской Федерации																																
																																
Наименование Избирательной комиссии:    Сенгилеевская																																
																																
Итоги голосования 																																
																																
		Сумма	УИК  507	УИК  508	УИК  509	УИК  510	УИК  511	УИК  512	УИК  513	УИК  514	УИК  515	УИК  516	УИК  517	УИК  518	УИК  519	УИК  520	УИК  521	УИК  522	УИК  523	УИК  524	УИК  525	УИК  526	УИК  527	УИК  528	УИК  529	УИК  530	УИК  531					
1	"Число избирателей, внесенных в список"	20472	499	770	1411	1175	1373	1085	104	1507	1564	2527	1108	535	261	839	496	877	444	82	721	207	548	264	905	473	697					
2	Число полученных избирательных бюллетеней	18756	437	676	1275	1049	1248	982	101	1382	1445	2333	1033	483	273	786	456	816	402	84	654	187	509	244	820	440	641					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	12785	285	474	850	656	732	694	93	899	993	1561	659	390	206	550	287	555	293	51	542	134	361	177	568	323	452					
5	"Число избирательных бюллетеней, выданных вне помещения"	1486	44	28	71	52	73	53	0	106	39	112	128	55	35	97	113	38	34	23	36	32	96	21	83	57	60					
6	Число погашенных избирательных бюллетеней	4485	108	174	354	341	443	235	8	377	413	660	246	38	32	139	56	223	75	10	76	21	52	46	169	60	129					
7	Число избирательных бюллетеней в переносных ящиках	1486	44	28	71	52	73	53	0	106	39	112	128	55	35	97	113	38	34	23	36	32	96	21	83	57	60					
8	Число бюллетеней в стационарных ящиках для голосования	12784	285	474	850	656	732	694	93	899	993	1560	659	390	206	550	287	555	293	51	542	134	361	177	568	323	452					
9	Число недействительных избирательных бюллетеней	159	1	4	4	7	4	10	2	11	16	30	12	7	0	10	0	8	1	0	4	1	3	2	9	5	8					
10	Число действительных избирательных бюллетеней	14111	328	498	917	701	801	737	91	994	1016	1642	775	438	241	637	400	585	326	74	574	165	454	196	642	375	504					
11	Число полученных открепительных  удостоверений	386	10	10	20	14	24	20	5	20	30	50	20	10	10	24	10	25	10	5	10	10	10	5	14	10	10					
12	Число выданных открепительных удостоверений	283	0	9	16	11	23	15	0	10	19	44	20	2	8	21	8	25	5	1	8	1	10	4	11	7	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	158	4	19	16	15	4	6	3	2	6	13	5	2	2	9	1	4	3	1	3	4	2	0	22	3	9					
14	Число неиспользованных открепительных удостоверений	103	10	1	4	3	1	5	5	10	11	6	0	8	2	3	2	0	5	4	2	9	0	1	3	3	5					
15	"Число открепительных удостоверений, выданных в ТИК"	11	0	1	1	1	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																
18	. Глазьев Сергей Юрьевич	491	14	29	52	28	45	33	0	42	33	73	18	9	3	12	8	8	12	1	18	5	5	3	13	6	21					
		3.44%	4.26%	5.78%	5.65%	3.95%	5.59%	4.42%	0.00%	4.18%	3.20%	4.37%	2.29%	2.02%	1.24%	1.85%	2.00%	1.35%	3.67%	1.35%	3.11%	3.01%	1.09%	1.52%	2.00%	1.58%	4.10%					
19	. Малышкин Олег Александрович	322	10	9	14	19	10	15	1	21	29	44	11	6	2	9	8	14	11	0	18	7	3	5	29	6	21					
		2.26%	3.04%	1.79%	1.52%	2.68%	1.24%	2.01%	1.08%	2.09%	2.81%	2.63%	1.40%	1.35%	0.83%	1.39%	2.00%	2.36%	3.36%	0.00%	3.11%	4.22%	0.66%	2.53%	4.45%	1.58%	4.10%					
20	. Миронов Сергей Михайлович	112	1	10	11	8	6	8	0	8	6	13	13	2	0	4	2	0	0	2	3	0	4	0	5	4	2					
		0.78%	0.30%	1.99%	1.19%	1.13%	0.75%	1.07%	0.00%	0.80%	0.58%	0.78%	1.65%	0.45%	0.00%	0.62%	0.50%	0.00%	0.00%	2.70%	0.52%	0.00%	0.88%	0.00%	0.77%	1.05%	0.39%					
21	. Путин Владимир Владимирович	9587	212	330	575	487	593	501	80	632	696	1044	538	351	149	431	217	324	221	60	447	119	325	163	455	274	363					
		67.18%	64.44%	65.74%	62.43%	68.79%	73.66%	67.07%	86.02%	62.89%	67.44%	62.44%	68.36%	78.88%	61.83%	66.62%	54.25%	54.64%	67.58%	81.08%	77.34%	71.69%	71.12%	82.32%	69.89%	72.11%	70.90%					
22	. Хакамада Ирина Муцуовна	174	2	6	13	10	5	15	0	11	11	21	13	2	2	5	7	6	10	3	4	0	2	2	9	9	6					
		1.22%	0.61%	1.20%	1.41%	1.41%	0.62%	2.01%	0.00%	1.09%	1.07%	1.26%	1.65%	0.45%	0.83%	0.77%	1.75%	1.01%	3.06%	4.05%	0.69%	0.00%	0.44%	1.01%	1.38%	2.37%	1.17%					
23	. Харитонов Николай Михайлович	3154	81	106	233	133	123	146	10	254	227	407	161	64	84	173	150	230	62	8	79	31	110	22	113	66	81					
		22.10%	24.62%	21.12%	25.30%	18.79%	15.28%	19.54%	10.75%	25.27%	22.00%	24.34%	20.46%	14.38%	34.85%	26.74%	37.50%	38.79%	18.96%	10.81%	13.67%	18.67%	24.07%	11.11%	17.36%	17.37%	15.82%					
																																
24	Против всех	271	8	8	19	16	19	19	0	26	14	40	21	4	1	3	8	3	10	0	5	3	5	1	18	10	10					
		1.90%	2.43%	1.59%	2.06%	2.26%	2.36%	2.54%	0.00%	2.59%	1.36%	2.39%	2.67%	0.90%	0.41%	0.46%	2.00%	0.51%	3.06%	0.00%	0.87%	1.81%	1.09%	0.51%	2.76%	2.63%	1.95%					
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
