Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																								
Дата голосования: 18.09.2016																								
																								
Наименование Избирательной комиссии:    Оханская																								
																								
Сводная таблица итогов голосования по федеральному избирательному округу																								
																								
		Сумма	УИК №2501	УИК №2502	УИК №2503	УИК №2504	УИК №2505	УИК №2506	УИК №2507	УИК №2508	УИК №2509	УИК №2510	УИК №2511	УИК №2512	УИК №2513									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	12630	1790	1215	1229	1828	655	625	922	1043	579	648	1432	229	435									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11000	1500	1000	1000	1500	600	600	900	1000	500	600	1200	200	400									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4097	514	386	399	719	235	238	311	272	159	213	455	66	130									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	836	38	40	29	40	103	92	41	157	105	101	20	30	40									
6	Число погашенных избирательных бюллетеней	6067	948	574	572	741	262	270	548	571	236	286	725	104	230									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	836	38	40	29	40	103	92	41	157	105	101	20	30	40									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4096	514	386	399	719	235	238	311	272	159	213	454	66	130									
9	Число недействительных избирательных бюллетеней	176	13	11	13	36	22	5	6	19	10	9	24	4	4									
10	Число действительных избирательных бюллетеней	4756	539	415	415	723	316	325	346	410	254	305	450	92	166									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	420	60	40	40	60	20	20	30	30	20	30	30	20	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	98	5	9	7	8	3	19	7	14	1	22	3	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	54	3	5	1	7	3	7	5	3	4	10	1	2	3									
14	Число погашенных неиспользованных открепительных удостоверений	322	55	31	33	52	17	1	23	16	19	8	27	20	20									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	15	3	3	1	5	0	1	0	0	0	0	2	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	34	5	3	4	3	1	0	7	2	1	3	2	1	2									
		0.69%	0.91%	0.70%	0.93%	0.40%	0.30%	0.00%	1.99%	0.47%	0.38%	0.96%	0.42%	1.04%	1.18%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	162	30	20	20	23	4	7	5	11	5	14	16	1	6									
		3.28%	5.43%	4.69%	4.67%	3.03%	1.18%	2.12%	1.42%	2.56%	1.89%	4.46%	3.38%	1.04%	3.53%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	123	22	9	15	16	6	7	8	12	5	6	12	2	3									
		2.49%	3.99%	2.11%	3.50%	2.11%	1.78%	2.12%	2.27%	2.80%	1.89%	1.91%	2.53%	2.08%	1.76%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2484	232	181	202	339	185	174	228	221	167	172	228	63	92									
		50.36%	42.03%	42.49%	47.20%	44.66%	54.73%	52.73%	64.77%	51.52%	63.26%	54.78%	48.10%	65.63%	54.12%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	31	4	0	4	1	1	16	1	3	1	0	0	0	0									
