Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																														
Дата голосования: 18.09.2016																														
																														
Наименование Избирательной комиссии:    Чухломская																														
																														
Сводная таблица итогов голосования по федеральному избирательному округу																														
																														
		Сумма	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	9165	981	1080	2118	258	198	250	76	329	344	414	127	665	825	167	212	254	304	296	267									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8265	880	970	1900	235	180	225	70	300	315	375	120	590	745	150	195	230	270	270	245									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3409	458	361	843	93	78	90	26	156	177	98	53	229	237	55	73	84	94	102	102									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	558	13	15	44	19	15	20	9	33	17	97	9	34	23	34	39	47	52	28	10									
6	Число погашенных избирательных бюллетеней	4298	409	594	1013	123	87	115	35	111	121	180	58	327	485	61	83	99	124	140	133									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	558	13	15	44	19	15	20	9	33	17	97	9	34	23	34	39	47	52	28	10									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3407	458	361	841	93	78	90	26	156	177	98	53	229	237	55	73	84	94	102	102									
9	Число недействительных избирательных бюллетеней	63	12	10	16	1	2	1	0	6	3	0	0	1	7	0	0	2	0	1	1									
10	Число действительных избирательных бюллетеней	3902	459	366	869	111	91	109	35	183	191	195	62	262	253	89	112	129	146	129	111									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	135	15	15	20	5	3	3	2	10	10	5	3	10	10	3	3	5	3	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	22	2	0	3	0	0	0	0	4	7	1	0	0	0	0	1	3	0	0	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	12	1	2	1	0	0	1	0	0	2	0	0	3	0	0	1	0	1	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	113	13	15	17	5	3	3	2	6	3	4	3	10	10	3	2	2	3	5	4									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	8	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																														
