Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																					
Дата голосования: 18.09.2016																					
																					
Наименование Избирательной комиссии:    Северо-Енисейская																					
																					
Сводная таблица итогов голосования по федеральному избирательному округу																					
																					
		Сумма	УИК №1879	УИК №1880	УИК №1881	УИК №1882	УИК №1883	УИК №1884	УИК №1885	УИК №1886	УИК №1887	УИК №1888									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	10582	1962	1148	1149	1002	2617	48	859	338	1353	106									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8350	1520	750	740	730	2580	40	850	340	700	100									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	32	0	0	0	0	0	0	11	0	0	21									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7865	1507	715	685	611	2555	38	783	251	657	63									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	273	13	14	38	102	5	2	31	53	10	5									
6	Число погашенных избирательных бюллетеней	180	0	21	17	17	20	0	25	36	33	11									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	305	13	14	38	102	5	2	42	53	10	26									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7865	1507	715	685	611	2555	38	783	251	657	63									
9	Число недействительных избирательных бюллетеней	100	19	19	11	17	6	1	3	8	16	0									
10	Число действительных избирательных бюллетеней	8070	1501	710	712	696	2554	39	822	296	651	89									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	194	35	15	15	40	27	7	10	22	15	8									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	188	35	15	14	40	25	5	10	22	15	7									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	381	263	29	9	28	14	1	1	0	32	4									
14	Число погашенных неиспользованных открепительных удостоверений	6	0	0	1	0	2	2	0	0	0	1									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	205	56	24	40	21	7	1	3	4	42	7									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0									
																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	46	7	5	7	7	12	0	0	2	5	1									
		0.56%	0.46%	0.69%	0.97%	0.98%	0.47%	0.00%	0.00%	0.66%	0.75%	1.12%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	127	32	20	16	13	22	2	3	6	13	0									
		1.55%	2.11%	2.74%	2.21%	1.82%	0.86%	5.00%	0.36%	1.97%	1.95%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	129	28	10	23	15	20	0	5	5	23	0									
		1.58%	1.84%	1.37%	3.18%	2.10%	0.78%	0.00%	0.61%	1.64%	3.45%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5817	1013	418	426	397	2221	24	646	206	391	75									
		71.20%	66.64%	57.34%	58.92%	55.68%	86.76%	60.00%	78.30%	67.76%	58.62%	84.27%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	31	4	5	5	7	4	0	1	0	5	0									
		0.38%	0.26%	0.69%	0.69%	0.98%	0.16%	0.00%	0.12%	0.00%	0.75%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	14	2	1	1	5	1	0	0	2	1	1									
		0.17%	0.13%	0.14%	0.14%	0.70%	0.04%	0.00%	0.00%	0.66%	0.15%	1.12%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1064	270	144	140	132	117	8	88	42	120	3									
		13.02%	17.76%	19.75%	19.36%	18.51%	4.57%	20.00%	10.67%	13.82%	17.99%	3.37%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	18	7	1	6	1	1	0	0	0	2	0									
		0.22%	0.46%	0.14%	0.83%	0.14%	0.04%	0.00%	0.00%	0.00%	0.30%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	25	5	1	4	2	5	0	1	1	6	0									
		0.31%	0.33%	0.14%	0.55%	0.28%	0.20%	0.00%	0.12%	0.33%	0.90%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	8	3	2	0	1	1	0	0	1	0	0									
		0.10%	0.20%	0.27%	0.00%	0.14%	0.04%	0.00%	0.00%	0.33%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	50	5	8	7	10	12	0	2	1	5	0									
		0.61%	0.33%	1.10%	0.97%	1.40%	0.47%	0.00%	0.24%	0.33%	0.75%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	517	84	75	55	74	82	3	63	23	50	8									
		6.33%	5.53%	10.29%	7.61%	10.38%	3.20%	7.50%	7.64%	7.57%	7.50%	8.99%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	65	10	10	3	8	19	0	1	6	7	1									
		0.80%	0.66%	1.37%	0.41%	1.12%	0.74%	0.00%	0.12%	1.97%	1.05%	1.12%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	159	31	10	19	24	37	2	12	1	23	0									
		1.95%	2.04%	1.37%	2.63%	3.37%	1.45%	5.00%	1.45%	0.33%	3.45%	0.00%									
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
