Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																	
Дата голосования: 07.12.2003 0:00:00																																																																	
																																																																	
Наименование Избирательной комиссии:    Красносельская  №6																																																																	
																																																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																	
																																																																	
		Сумма	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891					
1	"Число избирателей, внесенных в списки"	130199	2349	2580	2382	2308	2171	1776	1718	2214	2081	1996	1960	2310	2421	2835	2972	2173	2265	2753	2371	2104	2288	2404	1271	2190	2190	1943	2239	2373	2056	2414	2587	2337	2420	1998	2260	2036	2857	2207	2596	2083	2167	2454	2451	2907	1735	2401	2093	2123	2159	1849	1733	2556	2086	2084	2820	2665	2104	1324					
2	"Число бюллетеней, полученных участковыми комиссиями"	127200	2300	2500	2300	2300	2100	1700	1700	2200	2000	1900	1900	2200	2400	2800	2900	2100	2200	2700	2300	2100	2200	2400	1200	2300	2100	1900	2200	2300	2000	2400	2500	2300	2400	2000	2200	2000	2800	2200	2500	2000	2100	2400	2400	3000	1700	2300	2000	2100	2100	1800	1700	2500	2000	2000	2800	2600	2000	1200					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	56075	999	1165	1036	958	970	653	668	972	894	943	880	972	1055	1168	1263	910	955	1144	1021	900	1007	1062	589	949	1040	815	962	996	876	1141	1113	963	1019	850	1001	842	1282	1040	1217	870	911	977	993	1769	699	1022	892	723	963	768	641	1235	946	714	1198	1098	854	512					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	884	14	23	19	11	16	7	19	16	4	14	13	7	10	13	24	57	25	19	17	8	15	15	7	23	9	5	19	18	12	15	18	15	15	10	13	24	13	10	25	4	17	6	24	10	17	15	11	20	13	23	6	19	9	20	19	10	19	5					
6	Число погашенных бюллетеней	70241	1287	1312	1245	1331	1114	1040	1013	1212	1102	943	1007	1221	1335	1619	1613	1133	1220	1537	1262	1192	1178	1323	604	1328	1051	1080	1219	1286	1112	1244	1369	1322	1366	1140	1186	1134	1505	1150	1258	1126	1172	1417	1383	1221	984	1263	1097	1357	1124	1009	1053	1246	1045	1266	1583	1492	1127	683					
7	Число бюллетеней в переносных ящиках для голосования	884	14	23	19	11	16	7	19	16	4	14	13	7	10	13	24	57	25	19	17	8	15	15	7	23	9	5	19	18	12	15	18	15	15	10	13	24	13	10	25	4	17	6	24	10	17	15	11	20	13	23	6	19	9	20	19	10	19	5					
8	Число бюллетеней в стационарных ящиках для голосования	56042	999	1164	1036	958	970	653	668	972	894	941	880	972	1055	1166	1263	910	955	1144	1021	900	1004	1062	588	948	1035	815	962	994	873	1140	1112	963	1019	850	1001	842	1282	1040	1217	870	911	977	992	1768	699	1018	892	723	963	768	641	1232	946	714	1198	1098	853	511					
9	Число недействительных бюллетеней	335	6	6	12	7	8	2	3	5	13	4	6	4	4	1	8	7	6	6	4	3	4	5	3	4	5	24	5	5	1	5	4	6	7	5	3	7	4	4	12	1	3	9	6	14	6	4	6	9	5	4	7	5	1	4	8	11	3	1					
10	Число действительных бюллетеней	56591	1007	1181	1043	962	978	658	684	983	885	951	887	975	1061	1178	1279	960	974	1157	1034	905	1015	1072	592	967	1039	796	976	1007	884	1150	1126	972	1027	855	1011	859	1291	1046	1230	873	925	974	1010	1764	710	1029	897	734	971	787	640	1246	954	730	1209	1097	869	515					
