Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																													
Дата голосования: 18.09.2016																																													
																																													
Наименование Избирательной комиссии:    Ахвахская																																													
																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																													
																																													
		Сумма	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	14562	1928	615	222	89	424	40	133	227	77	380	683	429	399	446	932	731	338	504	421	79	193	363	641	451	436	547	317	111	207	69	359	737	617	417									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	13500	1601	571	185	88	414	32	125	214	76	358	648	420	398	432	932	697	308	456	414	76	179	320	640	448	394	381	294	100	197	68	360	668	591	415									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6020	504	187	184	88	74	25	79	82	43	61	174	206	193	135	188	397	163	223	199	50	71	315	240	302	200	380	90	82	42	44	64	371	372	192									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	283	73	0	1	0	0	0	5	10	3	18	46	16	0	5	0	28	19	12	0	0	0	0	13	0	11	1	0	0	0	0	0	0	22	0									
6	Число погашенных избирательных бюллетеней	7192	1024	384	0	0	340	7	41	122	28	279	428	198	202	292	744	272	126	221	215	26	108	5	387	146	183	0	204	18	155	24	296	297	197	223									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	275	65	0	1	0	0	0	5	10	3	18	46	16	0	5	0	28	19	12	0	0	0	0	13	0	11	1	0	0	0	0	0	0	22	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6017	504	187	184	88	74	25	79	82	43	61	174	206	190	135	188	397	163	223	199	50	71	315	240	302	200	380	90	82	42	44	64	371	372	192									
9	Число недействительных избирательных бюллетеней	103	31	9	3	0	1	0	0	1	0	0	17	1	4	6	0	0	1	2	0	0	0	1	8	2	0	2	0	0	0	1	0	4	0	9									
10	Число действительных избирательных бюллетеней	6189	538	178	182	88	73	25	84	91	46	79	203	221	186	134	188	425	181	233	199	50	71	314	245	300	211	379	90	82	42	43	64	367	394	183									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	100	13	4	1	1	3	0	1	2	1	3	5	3	3	3	7	5	2	3	3	1	1	2	5	3	3	3	2	1	1	0	3	5	4	3									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	6	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	6	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	94	13	4	1	1	3	0	1	0	1	3	5	3	3	3	7	5	2	3	3	1	1	2	1	3	3	3	2	1	1	0	3	5	4	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	5	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	35	1	3	0	0	0	0	0	0	0	0	0	0	1	0	4	4	2	1	0	0	0	0	0	0	0	5	0	0	0	0	1	5	8	0									
		0.56%	0.18%	1.60%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.53%	0.00%	2.13%	0.94%	1.10%	0.43%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.31%	0.00%	0.00%	0.00%	0.00%	1.56%	1.35%	2.03%	0.00%									
