Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																														
Дата голосования: 07.12.2003 0:00:00																														
																														
Наименование Избирательной комиссии:    Каменская																														
																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																														
																														
		Сумма	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723					
1	"Число избирателей, внесенных в списки"	16866	313	377	704	520	453	905	509	524	988	392	585	239	800	471	334	461	163	648	1344	1527	1514	1528	1567					
2	"Число бюллетеней, полученных участковыми комиссиями"	16750	310	370	700	520	455	900	500	670	990	390	580	235	790	470	335	450	165	640	1330	1480	1470	1490	1510					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	9589	196	200	390	365	297	543	296	406	504	183	336	152	483	268	149	305	112	294	753	864	756	858	879					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1616	52	62	48	52	49	143	86	118	99	97	81	40	110	81	56	67	10	89	43	53	52	73	55					
6	Число погашенных бюллетеней	5545	62	108	262	103	109	214	118	146	387	110	163	43	197	121	130	78	43	257	534	563	662	559	576					
7	Число бюллетеней в переносных ящиках для голосования	1616	52	62	48	52	49	143	86	118	99	97	81	40	110	81	56	67	10	89	43	53	52	73	55					
8	Число бюллетеней в стационарных ящиках для голосования	9587	196	200	390	365	297	543	296	406	504	183	336	152	483	268	149	305	112	294	752	863	756	858	879					
9	Число недействительных бюллетеней	157	5	7	4	2	3	10	3	10	3	8	1	0	7	6	5	11	4	4	18	9	10	16	11					
10	Число действительных бюллетеней	11046	243	255	434	415	343	676	379	514	600	272	416	192	586	343	200	361	118	379	777	907	798	915	923					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	150	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	20	10	10	10	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	46	1	2	2	2	2	0	0	0	4	0	0	0	0	0	0	0	1	0	11	5	2	8	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	39	5	1	0	1	0	4	2	1	1	1	2	1	2	0	0	0	0	0	5	10	0	1	2					
14	Число погашенных открепительных удостоверений	104	4	3	3	3	3	5	5	5	1	5	5	5	5	5	5	5	4	5	9	5	8	2	4					
15	Число открепительных удостоверений выданных ТИК	14	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	10	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																														
18	"1. ""ЕДИНЕНИЕ"""	125	2	3	3	8	12	5	4	12	8	4	4	1	4	8	1	7	0	6	4	7	9	6	7					
		1.11%	0.80%	1.14%	0.68%	1.91%	3.46%	0.72%	1.04%	2.29%	1.32%	1.42%	0.95%	0.52%	0.67%	2.29%	0.48%	1.88%	0.0%	1.56%	0.50%	0.76%	1.11%	0.64%	0.74%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	117	2	1	5	5	2	11	5	8	6	1	0	2	2	2	1	7	0	5	8	16	10	7	11					
		1.04%	0.80%	0.38%	1.14%	1.19%	0.57%	1.60%	1.30%	1.52%	0.99%	0.35%	0.0%	1.04%	0.33%	0.57%	0.48%	1.88%	0.0%	1.30%	1.00%	1.74%	1.23%	0.75%	1.17%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	188	6	2	7	8	10	15	0	6	9	4	9	5	3	6	3	11	0	10	16	13	22	11	12					
		1.67%	2.41%	0.76%	1.59%	1.91%	2.89%	2.18%	0.0%	1.14%	1.49%	1.42%	2.15%	2.60%	0.50%	1.71%	1.46%	2.95%	0.0%	2.61%	2.01%	1.41%	2.72%	1.18%	1.28%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	110	0	0	4	5	4	9	1	6	1	1	1	1	2	11	1	7	2	2	12	9	8	14	9					
		0.98%	0.0%	0.0%	0.91%	1.19%	1.15%	1.31%	0.26%	1.14%	0.16%	0.35%	0.23%	0.52%	0.33%	3.15%	0.48%	1.88%	1.63%	0.52%	1.50%	0.98%	0.99%	1.50%	0.96%					
22	"5. ""За Русь Святую"""	85	1	2	2	4	1	3	2	7	4	4	8	0	0	5	3	2	2	7	5	3	1	12	7					
		0.75%	0.40%	0.76%	0.45%	0.95%	0.28%	0.43%	0.52%	1.33%	0.66%	1.42%	1.91%	0.0%	0.0%	1.43%	1.46%	0.53%	1.63%	1.82%	0.62%	0.32%	0.12%	1.28%	0.74%					
23	"6. ""Объединенная Российская партия ""Русь"""	25	0	1	0	1	0	2	0	0	3	1	0	1	2	0	0	1	0	1	2	3	7	0	0					
