Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																							
Дата голосования: 18.09.2016																																							
																																							
Наименование Избирательной комиссии:    Пудожская																																							
																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																							
																																							
		Сумма	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	19070	1888	1762	2391	1929	152	150	463	217	330	574	438	358	475	113	1170	489	241	381	414	77	1427	590	213	970	905	118	617	218									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	19500	1930	1810	2430	1980	155	160	465	220	340	595	455	370	495	105	1190	490	240	390	420	75	1450	610	220	1010	930	120	625	220									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6395	703	769	743	762	47	61	122	61	100	211	124	88	194	39	323	147	71	154	98	37	494	209	48	260	265	39	165	61									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	369	18	7	40	10	2	6	12	0	13	10	2	0	2	10	42	15	18	16	6	4	23	19	8	10	7	14	21	34									
6	Число погашенных избирательных бюллетеней	12726	1209	1034	1647	1208	106	93	331	159	227	374	329	282	299	56	825	328	151	220	316	34	933	382	154	740	658	67	439	125									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	379	18	7	40	10	2	6	12	0	13	10	2	0	2	10	42	15	18	16	6	4	23	19	18	10	7	14	21	34									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6393	703	769	743	761	47	61	122	61	100	211	124	88	194	39	323	147	71	153	98	37	494	209	48	260	265	39	165	61									
9	Число недействительных избирательных бюллетеней	245	29	29	33	16	3	0	2	4	2	6	12	5	4	0	10	3	0	2	6	2	18	14	1	9	24	0	11	0									
10	Число действительных избирательных бюллетеней	6527	692	747	750	755	46	67	132	57	111	215	114	83	192	49	355	159	89	167	98	39	499	214	65	261	248	53	175	95									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	450	40	40	50	40	10	10	10	10	10	10	10	10	10	10	20	10	10	10	10	10	20	10	10	20	20	10	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	106	16	12	10	16	0	10	1	2	1	1	4	1	6	0	2	1	0	0	2	2	2	2	6	1	3	0	2	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	98	5	12	1	5	2	1	5	1	1	3	3	0	1	6	3	7	4	1	1	9	11	3	1	2	2	2	2	4									
14	Число погашенных неиспользованных открепительных удостоверений	344	24	28	40	24	10	0	9	8	9	9	6	9	4	10	18	9	10	10	8	8	18	8	4	19	17	10	8	7									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	24	1	5	3	7	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	3	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	53	2	8	7	6	0	1	1	0	2	2	1	0	4	1	6	0	0	1	1	0	3	1	0	3	1	0	2	0									
		0.78%	0.28%	1.03%	0.89%	0.78%	0.00%	1.49%	0.75%	0.00%	1.77%	0.90%	0.79%	0.00%	2.04%	2.04%	1.64%	0.00%	0.00%	0.59%	0.96%	0.00%	0.58%	0.44%	0.00%	1.11%	0.37%	0.00%	1.08%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	214	22	26	26	17	2	2	1	1	3	5	1	3	9	1	12	11	2	6	3	1	17	11	1	9	10	2	8	2									
		3.16%	3.05%	3.35%	3.32%	2.20%	4.08%	2.99%	0.75%	1.64%	2.65%	2.26%	0.79%	3.41%	4.59%	2.04%	3.29%	6.79%	2.25%	3.55%	2.88%	2.44%	3.29%	4.82%	1.52%	3.33%	3.68%	3.77%	4.30%	2.11%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	151	17	23	11	17	0	0	1	2	5	4	5	1	7	0	15	4	0	8	1	1	9	8	2	4	2	0	4	0									
		2.23%	2.36%	2.96%	1.40%	2.20%	0.00%	0.00%	0.75%	3.28%	4.42%	1.81%	3.97%	1.14%	3.57%	0.00%	4.11%	2.47%	0.00%	4.73%	0.96%	2.44%	1.74%	3.51%	3.03%	1.48%	0.74%	0.00%	2.15%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2776	288	291	281	278	20	24	90	32	53	121	57	39	91	28	97	64	35	92	59	26	195	104	43	97	106	33	75	57									
		40.99%	39.94%	37.50%	35.89%	36.06%	40.82%	35.82%	67.16%	52.46%	46.90%	54.75%	45.24%	44.32%	46.43%	57.14%	26.58%	39.51%	39.33%	54.44%	56.73%	63.41%	37.72%	45.61%	65.15%	35.93%	38.97%	62.26%	40.32%	60.00%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	42	4	9	3	7	0	0	0	0	1	3	1	0	0	0	0	1	1	0	0	1	3	2	0	4	0	2	0	0									
		0.62%	0.55%	1.16%	0.38%	0.91%	0.00%	0.00%	0.00%	0.00%	0.88%	1.36%	0.79%	0.00%	0.00%	0.00%	0.00%	0.62%	1.12%	0.00%	0.00%	2.44%	0.58%	0.88%	0.00%	1.48%	0.00%	3.77%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	23	1	2	1	2	0	0	0	0	0	1	0	0	0	0	3	1	1	1	1	0	6	0	0	0	2	0	1	0									
		0.34%	0.14%	0.26%	0.13%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.45%	0.00%	0.00%	0.00%	0.00%	0.82%	0.62%	1.12%	0.59%	0.96%	0.00%	1.16%	0.00%	0.00%	0.00%	0.74%	0.00%	0.54%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1277	130	135	180	150	8	19	19	12	12	37	19	10	45	4	63	36	23	29	14	7	131	33	9	56	45	7	31	13									
		18.86%	18.03%	17.40%	22.99%	19.46%	16.33%	28.36%	14.18%	19.67%	10.62%	16.74%	15.08%	11.36%	22.96%	8.16%	17.26%	22.22%	25.84%	17.16%	13.46%	17.07%	25.34%	14.47%	13.64%	20.74%	16.54%	13.21%	16.67%	13.68%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	33	6	5	8	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	1	1	0	0	0	1	0									
		0.49%	0.83%	0.64%	1.02%	0.78%	2.04%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.96%	0.00%	0.58%	0.44%	1.52%	0.00%	0.00%	0.00%	0.54%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	32	2	4	5	4	0	0	0	1	2	0	0	0	2	0	1	0	2	1	0	0	4	2	0	0	1	0	1	0									
		0.47%	0.28%	0.52%	0.64%	0.52%	0.00%	0.00%	0.00%	1.64%	1.77%	0.00%	0.00%	0.00%	1.02%	0.00%	0.27%	0.00%	2.25%	0.59%	0.00%	0.00%	0.77%	0.88%	0.00%	0.00%	0.37%	0.00%	0.54%	0.00%									
