Выборы Президента Российской Федерации																															
																															
Наименование Избирательной комиссии:    Нейская																															
																															
Итоги голосования 																															
																															
		Сумма	УИК  393	УИК  394	УИК  418	УИК  419	УИК  420	УИК  421	УИК  422	УИК  423	УИК  424	УИК  425	УИК  426	УИК  427	УИК  428	УИК  429	УИК  430	УИК  431	УИК  432	УИК  433	УИК  434	УИК  435	УИК  436	УИК  437	УИК  438	УИК  439					
1	"Число избирателей, внесенных в список"	13887	776	673	204	104	248	371	606	55	167	405	194	251	725	259	231	674	189	1431	1400	1324	1515	1297	428	360					
2	Число полученных избирательных бюллетеней	14045	785	685	212	105	250	378	620	55	165	415	198	250	740	268	247	668	190	1440	1420	1340	1500	1307	440	367					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	7727	374	478	149	62	150	186	353	45	102	303	117	163	409	154	157	432	113	735	687	666	839	621	221	211					
5	"Число избирательных бюллетеней, выданных вне помещения"	868	43	30	12	20	25	62	56	5	0	11	30	43	56	52	18	69	39	46	56	49	55	42	19	30					
6	Число погашенных избирательных бюллетеней	5450	368	177	51	23	75	130	211	5	63	101	51	44	275	62	72	167	38	659	677	625	606	644	200	126					
7	Число избирательных бюллетеней в переносных ящиках	868	43	30	12	20	25	62	56	5	0	11	30	43	56	52	18	69	39	46	56	49	55	42	19	30					
8	Число бюллетеней в стационарных ящиках для голосования	7727	374	478	149	62	150	186	353	45	102	303	117	163	409	154	157	432	113	735	687	666	839	621	221	211					
9	Число недействительных избирательных бюллетеней	29	0	4	1	0	0	0	1	0	1	2	1	0	2	0	0	0	0	5	5	0	3	1	2	1					
10	Число действительных избирательных бюллетеней	8566	417	504	160	82	175	248	408	50	101	312	146	206	463	206	175	501	152	776	738	715	891	662	238	240					
11	Число полученных открепительных  удостоверений	200	10	27	5	3	5	5	8	1	2	5	4	5	10	5	8	10	5	15	15	15	15	12	5	5					
12	Число выданных открепительных удостоверений	98	4	22	5	0	1	5	5	0	0	2	1	4	7	4	8	3	2	2	6	8	6	2	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	39	4	10	0	1	0	1	1	0	0	0	1	1	0	0	2	2	0	4	1	2	5	2	2	0					
14	Число неиспользованных открепительных удостоверений	102	6	5	0	3	4	0	3	1	2	3	3	1	3	1	0	7	3	13	9	7	9	10	4	5					
15	"Число открепительных удостоверений, выданных в ТИК"	10	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	3	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																															
18	. Глазьев Сергей Юрьевич	273	7	13	1	3	5	1	12	4	2	5	1	6	20	0	6	15	3	43	30	27	35	19	6	9					
		3.18%	1.68%	2.56%	0.62%	3.66%	2.86%	0.40%	2.93%	8.00%	1.96%	1.59%	0.68%	2.91%	4.30%	0.00%	3.43%	2.99%	1.97%	5.51%	4.04%	3.78%	3.91%	2.87%	2.50%	3.73%					
19	. Малышкин Олег Александрович	212	11	16	14	3	1	6	8	0	1	11	2	3	7	7	11	12	3	18	20	15	14	25	0	4					
		2.47%	2.64%	3.15%	8.70%	3.66%	0.57%	2.42%	1.96%	0.00%	0.98%	3.50%	1.36%	1.46%	1.51%	3.40%	6.29%	2.40%	1.97%	2.30%	2.69%	2.10%	1.57%	3.77%	0.00%	1.66%					
20	. Миронов Сергей Михайлович	76	5	6	1	1	2	2	2	0	0	0	0	2	4	2	5	1	1	5	7	8	11	10	1	0					
		0.88%	1.20%	1.18%	0.62%	1.22%	1.14%	0.81%	0.49%	0.00%	0.00%	0.00%	0.00%	0.97%	0.86%	0.97%	2.86%	0.20%	0.66%	0.64%	0.94%	1.12%	1.23%	1.51%	0.42%	0.00%					
21	. Путин Владимир Владимирович	5758	266	395	117	63	83	194	307	33	67	199	127	137	293	145	122	397	80	469	487	456	559	434	151	177					
		66.99%	63.79%	77.76%	72.67%	76.83%	47.43%	78.23%	75.06%	66.00%	65.69%	63.38%	86.39%	66.50%	63.01%	70.39%	69.71%	79.24%	52.63%	60.05%	65.55%	63.78%	62.53%	65.46%	62.92%	73.44%					
22	. Хакамада Ирина Муцуовна	178	7	8	1	0	4	6	9	3	3	3	5	5	17	3	6	8	1	22	12	12	17	17	4	5					
		2.07%	1.68%	1.57%	0.62%	0.00%	2.29%	2.42%	2.20%	6.00%	2.94%	0.96%	3.40%	2.43%	3.66%	1.46%	3.43%	1.60%	0.66%	2.82%	1.62%	1.68%	1.90%	2.56%	1.67%	2.07%					
23	. Харитонов Николай Михайлович	1901	113	54	25	12	79	32	65	9	22	88	11	52	115	49	24	65	62	207	157	172	227	148	71	42					
		22.12%	27.10%	10.63%	15.53%	14.63%	45.14%	12.90%	15.89%	18.00%	21.57%	28.03%	7.48%	25.24%	24.73%	23.79%	13.71%	12.97%	40.79%	26.50%	21.13%	24.06%	25.39%	22.32%	29.58%	17.43%					
																															
24	Против всех	168	8	12	1	0	1	7	5	1	6	6	0	1	7	0	1	3	2	12	25	25	28	9	5	3					
		1.95%	1.92%	2.36%	0.62%	0.00%	0.57%	2.82%	1.22%	2.00%	5.88%	1.91%	0.00%	0.49%	1.51%	0.00%	0.57%	0.60%	1.32%	1.54%	3.36%	3.50%	3.13%	1.36%	2.08%	1.24%					
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
