Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва												
Дата голосования: 18.09.2016												
												
Наименование Избирательной комиссии:    Сургутская - 223												
												
Сводная таблица итогов голосования по федеральному избирательному округу												
												
		Сумма	УИК №461									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	1020	1020									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	1200	1200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	17	17									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	473	473									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	8	8									
6	Число погашенных избирательных бюллетеней	702	702									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	25	25									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	473	473									
9	Число недействительных избирательных бюллетеней	17	17									
10	Число действительных избирательных бюллетеней	481	481									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	39	39									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	31	31									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	6	6									
14	Число погашенных неиспользованных открепительных удостоверений	8	8									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	1									
16	Число утраченных открепительных удостоверений	0	0									
17	Число утраченных избирательных бюллетеней	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0									
												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	8	8									
		1.61%	1.61%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	14	14									
		2.81%	2.81%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	11	11									
		2.21%	2.21%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	230	230									
		46.18%	46.18%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	5	5									
		1.00%	1.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	1	1									
		0.20%	0.20%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	115	115									
		23.09%	23.09%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	1	1									
		0.20%	0.20%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	5	5									
		1.00%	1.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	0	0									
		0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	5	5									
		1.00%	1.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	64	64									
		12.85%	12.85%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	6	6									
		1.20%	1.20%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	16	16									
		3.21%	3.21%									
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
