Выборы Президента Российской Федерации																					
																					
Наименование Избирательной комиссии:    Тонкинская ТИК																					
																					
Итоги голосования 																					
																					
		Сумма	УИК №2293	УИК №2294	УИК №2295	УИК №2296	УИК №2297	УИК №2298	УИК №2299	УИК №2300	УИК №2301	УИК №2302	УИК №2303	УИК №2304	УИК №2305	УИК №2495					
1	"Число избирателей, внесенных в список"	7946	1833	2310	286	636	356	383	333	298	374	340	294	137	193	173					
2	Число полученных избирательных бюллетеней	7790	1700	2200	290	640	370	400	360	300	370	350	300	140	200	170					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	4592	1065	1406	121	292	185	295	199	105	208	220	181	83	123	109					
5	"Число избирательных бюллетеней, выданных вне помещения"	1526	167	131	118	286	110	44	88	139	124	80	91	42	55	51					
6	Число погашенных избирательных бюллетеней	1672	468	663	51	62	75	61	73	56	38	50	28	15	22	10					
7	Число избирательных бюллетеней в переносных ящиках	1526	167	131	118	286	110	44	88	139	124	80	91	42	55	51					
8	Число бюллетеней в стационарных ящиках для голосования	4592	1065	1406	121	292	185	295	199	105	208	220	181	83	123	109					
9	Число недействительных избирательных бюллетеней	30	8	7	3	4	0	1	1	1	0	1	4	0	0	0					
10	Число действительных избирательных бюллетеней	6088	1224	1530	236	574	295	338	286	243	332	299	268	125	178	160					
11	Число полученных открепительных  удостоверений	400	70	60	5	30	20	20	35	20	20	40	20	20	20	20					
12	Число выданных открепительных удостоверений	244	33	54	5	17	12	1	27	10	8	40	20	1	6	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	45	1	12	1	5	2	2	5	3	1	2	2	2	2	5					
14	Число неиспользованных открепительных удостоверений	156	37	6	0	13	8	19	8	10	12	0	0	19	14	10					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																					
18	. Глазьев Сергей Юрьевич	127	43	52	1	8	0	1	3	2	10	2	3	1	1	0					
		2.08%	3.49%	3.38%	0.42%	1.38%	0.00%	0.29%	1.05%	0.82%	3.01%	0.67%	1.10%	0.80%	0.56%	0.00%					
19	. Малышкин Олег Александрович	151	20	41	5	11	7	6	17	5	18	7	3	4	2	5					
		2.47%	1.62%	2.67%	2.09%	1.90%	2.37%	1.77%	5.92%	2.05%	5.42%	2.33%	1.10%	3.20%	1.12%	3.12%					
20	. Миронов Сергей Михайлович	36	8	7	0	1	1	4	1	5	3	0	3	3	0	0					
		0.59%	0.65%	0.46%	0.00%	0.17%	0.34%	1.18%	0.35%	2.05%	0.90%	0.00%	1.10%	2.40%	0.00%	0.00%					
21	. Путин Владимир Владимирович	4414	805	1079	169	432	224	272	186	180	240	233	229	100	142	123					
		72.15%	65.34%	70.20%	70.71%	74.74%	75.93%	80.24%	64.81%	73.77%	72.29%	77.67%	84.19%	80.00%	79.78%	76.88%					
22	. Хакамада Ирина Муцуовна	69	19	14	1	7	2	6	0	4	2	3	3	3	4	1					
		1.13%	1.54%	0.91%	0.42%	1.21%	0.68%	1.77%	0.00%	1.64%	0.60%	1.00%	1.10%	2.40%	2.25%	0.62%					
23	. Харитонов Николай Михайлович	1209	304	314	60	103	59	45	73	47	57	53	25	13	25	31					
		19.76%	24.68%	20.43%	25.10%	17.82%	20.00%	13.27%	25.44%	19.26%	17.17%	17.67%	9.19%	10.40%	14.04%	19.38%					
																					
24	Против всех	82	25	23	0	12	2	4	6	0	2	1	2	1	4	0					
		1.34%	2.03%	1.50%	0.00%	2.08%	0.68%	1.18%	2.09%	0.00%	0.60%	0.33%	0.74%	0.80%	2.25%	0.00%					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
