Выборы Президента Российской Федерации																																								
																																								
Наименование Избирательной комиссии:    Комаричская																																								
																																								
Итоги голосования 																																								
																																								
		Сумма	УИК  617	УИК  618	УИК  619	УИК  620	УИК  621	УИК  622	УИК  623	УИК  624	УИК  625	УИК  626	УИК  627	УИК  628	УИК  629	УИК  630	УИК  631	УИК  632	УИК  633	УИК  634	УИК  635	УИК  636	УИК  637	УИК  638	УИК  639	УИК  640	УИК  641	УИК  642	УИК  643	УИК  644	УИК  645	УИК  646	УИК  647	УИК  648	УИК  649					
1	"Число избирателей, внесенных в список"	14377	1195	891	2059	741	686	1020	1374	103	456	155	357	412	228	129	192	58	259	499	124	296	162	200	179	229	313	187	318	381	274	343	186	182	189					
2	Число полученных избирательных бюллетеней	14304	1192	883	2053	732	686	1009	1337	103	451	150	360	418	231	125	186	56	261	501	125	295	159	199	179	216	324	185	318	381	304	342	192	172	179					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8370	611	481	1133	346	404	566	755	52	310	115	219	265	116	71	124	43	175	275	97	197	120	146	112	152	220	105	220	205	162	214	101	126	132					
5	"Число избирательных бюллетеней, выданных вне помещения"	1191	31	18	35	71	9	49	65	28	59	15	68	44	47	17	12	5	25	115	7	80	11	17	31	21	34	27	45	56	46	46	33	10	14					
6	Число погашенных избирательных бюллетеней	4743	550	384	885	315	273	394	517	23	82	20	73	109	68	37	50	8	61	111	21	18	28	36	36	43	70	53	53	120	96	82	58	36	33					
7	Число избирательных бюллетеней в переносных ящиках	1191	31	18	35	71	9	49	65	28	59	15	68	44	47	17	12	5	25	115	7	80	11	17	31	21	34	27	45	56	46	46	33	10	14					
8	Число бюллетеней в стационарных ящиках для голосования	8367	611	481	1130	346	404	566	755	52	310	115	219	265	116	71	124	43	175	275	97	197	120	146	112	152	220	105	220	205	162	214	101	126	132					
9	Число недействительных избирательных бюллетеней	84	5	5	9	6	4	9	9	0	7	0	0	5	2	1	1	0	3	0	1	4	0	0	1	1	1	0	1	7	0	1	0	0	1					
10	Число действительных избирательных бюллетеней	9474	637	494	1156	411	409	606	811	80	362	130	287	304	161	87	135	48	197	390	103	273	131	163	142	172	253	132	264	254	208	259	134	136	145					
11	Число полученных открепительных  удостоверений	399	29	15	25	15	15	20	20	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10					
12	Число выданных открепительных удостоверений	99	14	10	16	6	5	4	9	0	1	0	5	3	3	0	0	0	0	2	0	0	1	1	0	2	7	0	0	1	4	0	4	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	87	9	4	11	2	3	6	8	0	5	2	0	3	0	0	4	0	0	3	1	2	1	2	0	1	2	3	1	3	4	2	1	2	2					
14	Число неиспользованных открепительных удостоверений	300	15	5	9	9	10	16	11	10	9	10	5	7	7	10	10	10	10	8	10	10	9	9	10	8	3	10	10	9	6	10	6	10	9					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																								
18	. Глазьев Сергей Юрьевич	205	18	18	44	6	17	10	24	1	2	0	2	5	6	1	1	3	2	3	4	4	0	0	3	7	4	0	1	4	3	5	2	2	3					
		2.14%	2.80%	3.61%	3.78%	1.44%	4.12%	1.63%	2.93%	1.25%	0.54%	0.00%	0.70%	1.62%	3.68%	1.14%	0.74%	6.25%	1.00%	0.77%	3.85%	1.44%	0.00%	0.00%	2.10%	4.05%	1.57%	0.00%	0.38%	1.53%	1.44%	1.92%	1.49%	1.47%	2.05%					
19	. Малышкин Олег Александрович	175	18	9	10	7	6	17	16	4	3	3	1	3	6	1	1	0	11	9	2	2	0	4	8	4	4	9	1	6	2	4	0	4	0					
		1.83%	2.80%	1.80%	0.86%	1.68%	1.45%	2.76%	1.95%	5.00%	0.81%	2.31%	0.35%	0.97%	3.68%	1.14%	0.74%	0.00%	5.50%	2.31%	1.92%	0.72%	0.00%	2.45%	5.59%	2.31%	1.57%	6.82%	0.38%	2.30%	0.96%	1.54%	0.00%	2.94%	0.00%					
20	. Миронов Сергей Михайлович	53	3	4	13	2	3	1	5	0	4	0	1	1	1	0	1	1	2	0	0	0	1	1	1	0	0	0	3	2	0	3	0	0	0					
		0.55%	0.47%	0.80%	1.12%	0.48%	0.73%	0.16%	0.61%	0.00%	1.08%	0.00%	0.35%	0.32%	0.61%	0.00%	0.74%	2.08%	1.00%	0.00%	0.00%	0.00%	0.76%	0.61%	0.70%	0.00%	0.00%	0.00%	1.13%	0.77%	0.00%	1.15%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	6739	470	320	814	327	290	336	590	68	301	109	227	222	88	54	106	33	133	298	50	191	107	110	91	104	214	98	164	176	147	186	100	92	123					
		70.51%	73.21%	64.13%	69.87%	78.42%	70.22%	54.63%	71.95%	85.00%	81.57%	83.85%	79.09%	71.84%	53.99%	61.36%	77.94%	68.75%	66.50%	76.41%	48.08%	68.95%	81.68%	67.48%	63.64%	60.12%	84.25%	74.24%	61.89%	67.43%	70.67%	71.54%	74.63%	67.65%	84.25%					
22	. Хакамада Ирина Муцуовна	104	2	9	12	8	1	6	13	0	2	0	8	1	1	0	0	2	3	10	1	4	2	6	2	0	1	2	5	0	0	2	1	0	0					
		1.09%	0.31%	1.80%	1.03%	1.92%	0.24%	0.98%	1.59%	0.00%	0.54%	0.00%	2.79%	0.32%	0.61%	0.00%	0.00%	4.17%	1.50%	2.56%	0.96%	1.44%	1.53%	3.68%	1.40%	0.00%	0.39%	1.52%	1.89%	0.00%	0.00%	0.77%	0.75%	0.00%	0.00%					
23	. Харитонов Николай Михайлович	2048	115	121	235	59	81	223	149	7	49	18	47	64	56	30	24	9	45	63	44	72	17	41	34	53	27	22	88	62	53	57	27	38	18					
		21.43%	17.91%	24.25%	20.17%	14.15%	19.61%	36.26%	18.17%	8.75%	13.28%	13.85%	16.38%	20.71%	34.36%	34.09%	17.65%	18.75%	22.50%	16.15%	42.31%	25.99%	12.98%	25.15%	23.78%	30.64%	10.63%	16.67%	33.21%	23.75%	25.48%	21.92%	20.15%	27.94%	12.33%					
																																								
24	Против всех	150	11	13	28	2	11	13	14	0	1	0	1	8	3	1	2	0	1	7	2	0	4	1	3	4	3	1	2	4	3	2	4	0	1					
		1.57%	1.71%	2.61%	2.40%	0.48%	2.66%	2.11%	1.71%	0.00%	0.27%	0.00%	0.35%	2.59%	1.84%	1.14%	1.47%	0.00%	0.50%	1.79%	1.92%	0.00%	3.05%	0.61%	2.10%	2.31%	1.18%	0.76%	0.75%	1.53%	1.44%	0.77%	2.99%	0.00%	0.68%					
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
