Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																															
Дата голосования: 18.09.2016																																																															
																																																															
Наименование Избирательной комиссии:    Ахтубинская																																																															
																																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																																															
																																																															
		Сумма	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	53729	96	157	831	776	840	792	731	401	463	829	761	424	751	1445	624	579	1049	482	176	800	885	903	764	700	1099	1135	1186	951	270	1669	1803	1390	1535	1588	1270	1848	2352	1446	1542	1639	1675	1009	1451	1445	1411	892	896	1459	1503	813	1350	843									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	52900	94	150	830	760	830	790	726	400	460	820	770	420	740	1470	630	580	1060	480	170	810	900	910	770	700	1100	1140	1200	950	270	1600	1700	1390	1500	1600	1280	1800	2300	1400	1500	1600	1600	1000	1400	1400	1400	900	900	1400	1350	800	1300	850									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	19399	31	63	131	128	206	181	157	112	158	305	212	126	291	423	181	155	306	162	36	253	369	321	269	215	417	357	346	233	79	647	550	453	520	754	721	905	1499	779	670	880	816	472	639	365	275	340	346	359	389	215	377	205									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	975	9	9	37	10	24	22	29	34	25	40	32	16	32	47	42	38	40	8	36	15	17	9	11	3	29	14	11	14	7	12	79	20	14	8	6	9	8	6	39	9	15	2	4	13	18	3	18	7	7	3	10	5									
6	Число погашенных избирательных бюллетеней	32526	54	78	662	622	600	587	540	254	277	475	526	278	417	1000	407	387	714	310	98	542	514	580	490	482	654	769	843	703	184	941	1071	917	966	838	553	886	793	615	791	711	769	526	757	1022	1107	557	536	1034	954	582	913	640									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	975	9	9	37	10	24	22	29	34	25	40	32	16	32	47	42	38	40	8	36	15	17	9	11	3	29	14	11	14	7	12	79	20	14	8	6	9	8	6	39	9	15	2	4	13	18	3	18	7	7	3	10	5									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	19380	31	63	131	128	206	181	157	112	158	305	212	126	291	423	181	155	306	162	36	253	369	320	269	215	417	357	346	233	79	647	550	453	520	754	721	905	1497	778	669	867	816	472	639	365	275	340	345	359	389	215	377	205									
9	Число недействительных избирательных бюллетеней	606	2	1	5	10	9	7	2	1	6	15	6	5	13	16	10	6	14	7	1	18	12	9	7	8	12	5	10	4	0	27	15	14	19	20	15	23	45	15	15	34	17	12	12	16	9	16	3	14	24	5	11	4									
10	Число действительных избирательных бюллетеней	19749	38	71	163	128	221	196	184	145	177	330	238	137	310	454	213	187	332	163	71	250	374	320	273	210	434	366	347	243	86	632	614	459	515	742	712	891	1460	769	693	842	814	462	631	362	284	327	360	352	372	213	376	206									
