Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																			
Дата голосования: 07.12.2003 0:00:00																																			
																																			
Наименование Избирательной комиссии:    Шуйская городская																																			
																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																			
																																			
		Сумма	УИК  327	УИК  328	УИК  329	УИК  330	УИК  331	УИК  332	УИК  333	УИК  334	УИК  335	УИК  336	УИК  337	УИК  338	УИК  339	УИК  340	УИК  341	УИК  342	УИК  343	УИК  344	УИК  345	УИК  346	УИК  347	УИК  348	УИК  349	УИК  350	УИК  351	УИК  352	УИК  353	УИК  354					
1	"Число избирателей, внесенных в списки"	51231	2076	1770	1755	1681	1557	2202	1476	2053	1953	1543	1791	2343	1141	1781	1991	1359	1773	1863	1678	1944	2065	1871	1860	1993	2074	2071	1155	2412					
2	"Число бюллетеней, полученных участковыми комиссиями"	48400	2000	2600	1600	1600	1500	2000	1400	2000	1800	1500	1700	2100	1100	1600	1800	1300	1600	1700	1500	1800	2000	1700	1700	1800	1800	1900	1100	2200					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	24793	1030	792	695	831	685	1008	722	846	927	740	846	1251	594	944	964	567	904	991	862	962	1150	896	1055	973	864	1009	584	1101					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1097	43	39	73	65	44	44	45	111	26	22	41	41	16	37	52	21	34	48	5	12	44	56	29	64	7	16	22	40					
6	Число погашенных бюллетеней	22510	927	1769	832	704	771	948	633	1043	847	738	813	808	490	619	784	712	662	661	633	826	806	748	616	763	929	875	494	1059					
7	Число бюллетеней в переносных ящиках для голосования	1096	43	39	73	65	44	44	45	111	26	22	41	41	16	37	52	21	34	48	5	12	44	56	29	64	7	16	21	40					
8	Число бюллетеней в стационарных ящиках для голосования	24737	1028	792	695	831	685	1008	677	845	927	740	845	1250	594	944	964	567	904	990	862	962	1148	896	1053	972	864	1009	584	1101					
9	Число недействительных бюллетеней	297	11	5	7	8	6	7	7	66	7	15	12	13	7	8	10	6	5	8	7	12	14	10	8	5	0	2	8	23					
10	Число действительных бюллетеней	25536	1060	826	761	888	723	1045	715	890	946	747	874	1278	603	973	1006	582	933	1030	860	962	1178	942	1074	1031	871	1023	597	1118					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	509	15	10	10	10	10	15	10	15	10	10	10	40	10	15	30	10	15	15	30	15	15	15	15	20	20	80	10	29					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	241	6	3	2	1	4	3	0	7	8	4	9	18	1	7	10	5	5	4	22	7	14	6	6	15	12	56	3	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	161	2	5	9	7	5	5	6	2	7	1	4	7	9	3	3	2	8	6	5	5	9	10	7	7	6	10	3	8					
14	Число погашенных открепительных удостоверений	268	9	7	8	9	6	12	10	8	2	6	1	22	9	8	20	5	10	11	8	8	1	9	9	5	8	24	7	26					
15	Число открепительных удостоверений выданных ТИК	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	2					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																			
18	"1. ""ЕДИНЕНИЕ"""	178	5	6	3	7	5	4	6	15	8	8	8	7	4	11	4	2	6	5	8	7	11	5	2	5	8	9	3	6					
		0.68%	0.46%	0.72%	0.39%	0.78%	0.68%	0.38%	0.83%	1.56%	0.83%	1.04%	0.90%	0.54%	0.65%	1.12%	0.39%	0.34%	0.63%	0.48%	0.92%	0.71%	0.92%	0.52%	0.18%	0.48%	0.91%	0.87%	0.49%	0.52%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	448	12	13	5	13	14	22	7	11	14	13	15	20	17	24	13	11	15	20	14	20	28	20	29	14	17	20	10	17					
		1.73%	1.12%	1.56%	0.65%	1.45%	1.92%	2.09%	0.96%	1.15%	1.46%	1.70%	1.69%	1.54%	2.78%	2.44%	1.27%	1.87%	1.59%	1.92%	1.61%	2.05%	2.34%	2.10%	2.68%	1.35%	1.95%	1.95%	1.65%	1.48%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	762	37	35	24	33	22	29	13	32	31	19	40	41	16	35	23	25	19	24	12	25	32	23	33	32	28	24	20	35					
