Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																													
Дата голосования: 18.09.2016																																																													
																																																													
Наименование Избирательной комиссии:    Еткульская																																																													
																																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																																													
																																																													
		Сумма	УИК №1848	УИК №1849	УИК №1850	УИК №1851	УИК №1852	УИК №1853	УИК №1854	УИК №1855	УИК №1856	УИК №1857	УИК №1858	УИК №1859	УИК №1860	УИК №1861	УИК №1862	УИК №1863	УИК №1864	УИК №1865	УИК №1866	УИК №1867	УИК №1868	УИК №1869	УИК №1870	УИК №1871	УИК №1872	УИК №1873	УИК №1874	УИК №1875	УИК №1876	УИК №1877	УИК №1878	УИК №1879	УИК №1880	УИК №1881	УИК №1882	УИК №1883	УИК №1884	УИК №1885	УИК №1886	УИК №1887	УИК №2241	УИК №2242	УИК №2243	УИК №2244	УИК №2274	УИК №2275	УИК №2295	УИК №2296	УИК №2297	УИК №2319									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	21556	589	373	882	272	129	140	396	184	169	139	210	1252	613	227	1408	1522	103	520	213	122	314	136	1116	298	347	75	517	175	482	295	238	281	125	437	189	63	126	999	103	82	1121	53	1565	615	258	229	786	566	462	40									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	22000	605	375	900	275	130	145	400	185	170	145	210	1280	635	230	1410	1520	105	535	215	125	320	320	1120	300	365	75	515	180	475	300	235	290	125	450	200	65	135	1010	105	85	1125	55	1570	620	260	230	785	565	485	40									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9817	263	127	400	97	71	39	189	86	67	56	116	539	293	111	560	659	61	214	84	87	130	123	445	137	169	46	316	101	235	126	99	121	70	315	76	54	64	475	50	44	519	31	681	281	126	92	278	247	227	20									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	663	36	20	25	9	8	10	15	13	9	11	3	21	22	16	23	53	2	15	7	0	0	13	5	4	14	2	12	4	5	9	10	19	31	33	11	0	6	45	9	7	18	8	7	10	6	8	17	6	21	5									
6	Число погашенных избирательных бюллетеней	11520	306	228	475	169	51	96	196	86	94	78	91	720	320	103	827	808	42	306	124	38	190	184	670	159	182	27	187	75	235	165	126	150	24	102	113	11	65	490	46	34	588	16	882	329	128	130	490	312	237	15									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	663	36	20	25	9	8	10	15	13	9	11	3	21	22	16	23	53	2	15	7	0	0	13	5	4	14	2	12	4	5	9	10	19	31	33	11	0	6	45	9	7	18	8	7	10	6	8	17	6	21	5									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9816	263	127	400	97	71	39	189	86	67	56	116	539	293	111	560	659	61	214	84	87	130	123	445	137	169	46	316	101	235	126	99	121	70	315	76	54	64	475	50	44	519	31	681	281	126	92	277	247	227	20									
9	Число недействительных избирательных бюллетеней	334	9	1	28	4	0	0	8	2	1	2	7	22	12	4	23	15	2	4	1	3	2	9	15	8	7	4	8	7	11	3	7	5	0	13	2	3	1	18	2	0	11	0	16	10	3	3	10	7	0	1									
10	Число действительных избирательных бюллетеней	10145	290	146	397	102	79	49	196	97	75	65	112	538	303	123	560	697	61	225	90	84	128	127	435	133	176	44	320	98	229	132	102	135	101	335	85	51	69	502	57	51	526	39	672	281	129	97	284	246	248	24									
