Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																													
Дата голосования: 18.09.2016																																																													
																																																													
Наименование Избирательной комиссии:    Нахимовская																																																													
																																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																																													
																																																													
		Сумма	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	86761	2279	1319	3113	2428	2458	1976	1251	2252	1467	2838	2985	1365	1595	1057	2293	1683	2187	2345	2307	1111	2462	2437	1856	1779	841	1640	1409	2713	2365	1946	2020	2688	2043	1704	1728	2601	557	1922	756	462	1772	1260	2400	1547	1262	1288	36	50	628	280									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	71410	1685	1041	2146	1859	1890	1505	967	1770	1150	2015	2780	1064	1345	818	1771	1300	1628	1840	1808	763	1918	1864	1474	1395	705	1545	1106	1831	1765	1490	1246	2135	1555	1303	1292	1863	413	1405	591	365	1298	910	2573	1107	902	968	123	131	998	3994									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	39799	796	443	1264	940	1048	907	556	960	549	1367	1582	523	482	423	988	807	1031	1032	1074	599	1040	1024	754	767	371	1099	597	1358	999	793	948	1349	882	801	738	1487	216	803	285	251	685	531	1632	870	685	673	36	14	460	280									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1198	30	22	18	29	33	34	5	16	17	22	7	20	21	12	31	28	30	24	26	9	38	11	26	23	12	14	13	27	13	16	24	33	10	16	24	28	18	21	11	9	56	23	26	29	21	28	0	26	168	0									
6	Число погашенных избирательных бюллетеней	30415	859	576	864	890	813	564	406	794	584	626	1191	521	842	383	752	465	567	784	708	155	840	829	694	605	322	432	496	446	753	681	274	753	663	486	530	346	179	581	295	105	557	356	915	208	196	267	87	91	370	3714									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1196	30	22	18	29	33	34	5	16	17	22	7	20	21	12	31	28	30	24	26	9	38	11	26	23	12	14	13	27	13	16	24	33	10	16	24	28	18	21	11	9	56	23	26	29	21	28	0	26	166	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	39739	796	443	1264	940	1048	903	556	960	549	1367	1582	523	482	423	988	807	1031	1031	1074	599	1040	1019	754	767	371	1099	597	1358	962	793	948	1349	882	801	738	1485	216	803	285	251	685	531	1628	869	685	673	36	14	454	280									
9	Число недействительных избирательных бюллетеней	971	9	10	44	27	21	18	7	27	16	38	47	12	6	9	25	13	33	18	24	18	21	14	16	17	9	28	12	37	22	15	44	41	27	23	9	43	4	14	7	6	27	18	43	11	10	9	0	2	11	9									
10	Число действительных избирательных бюллетеней	39964	817	455	1238	942	1060	919	554	949	550	1351	1542	531	497	426	994	822	1028	1037	1076	590	1057	1016	764	773	374	1085	598	1348	953	794	928	1341	865	794	753	1470	230	810	289	254	714	536	1611	887	696	692	36	38	609	271									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	500	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	20	10	10	10	10	10	10	10	10	10	10	10	40	10	10	10	10	10	10	10	10	10	10	10	10	10	10	0	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	163	3	1	3	2	0	3	0	0	2	4	6	2	1	0	3	1	5	2	4	13	1	3	5	3	0	1	2	1	4	10	2	34	5	3	7	5	1	6	2	1	1	2	3	3	3	0	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	385	14	6	5	2	3	1	0	0	2	10	13	3	3	2	3	4	6	1	5	2	6	1	6	2	2	6	7	4	24	20	8	6	44	6	32	7	3	2	4	3	7	7	15	32	4	1	2	13	6	20									
14	Число погашенных неиспользованных открепительных удостоверений	337	7	9	7	8	10	7	10	10	8	6	4	8	9	10	7	9	5	8	6	7	9	7	5	7	10	9	8	9	6	0	8	6	5	7	3	5	9	4	8	9	9	8	7	7	7	10	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	20	0	1	1	0	0	0	0	0	0	4	4	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0									
