Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																									
Дата голосования: 18.09.2016																																																																									
																																																																									
Наименование Избирательной комиссии:    Марксовская																																																																									
																																																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																																																									
																																																																									
		Сумма	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	48370	735	182	490	171	618	573	884	370	601	282	61	756	604	545	413	816	140	338	284	40	310	159	57	203	757	782	847	636	1926	1443	731	947	602	534	1037	1448	151	1152	243	156	838	190	1027	1097	1555	1740	1616	1099	1106	1214	1042	1113	1384	1079	1098	1167	1125	1117	1140	1240	1143	1216									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	42215	680	188	458	180	575	536	829	358	542	266	65	682	540	498	391	752	198	308	265	40	302	168	63	207	689	700	772	636	1760	1350	682	872	562	501	973	1316	161	1037	255	151	780	191	833	882	1291	1383	1298	894	894	1022	842	892	1110	870	893	938	947	902	956	993	926	970									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	25319	324	122	375	84	544	421	379	293	395	129	36	407	508	391	232	354	126	145	221	39	205	69	46	88	379	382	413	462	1516	1253	640	765	449	438	445	949	75	611	140	92	424	82	378	468	552	667	646	422	491	346	393	444	648	411	445	465	521	509	510	530	533	492									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1373	32	20	28	17	12	9	27	20	26	5	0	21	14	17	9	45	14	11	13	0	12	7	2	2	21	24	42	29	194	31	21	41	50	15	29	29	0	25	13	9	19	7	30	18	14	32	29	24	16	9	7	13	4	22	13	14	26	24	12	15	61	28									
6	Число погашенных избирательных бюллетеней	15521	324	46	55	79	19	106	423	45	121	132	29	254	18	90	150	353	58	152	31	1	85	92	15	117	289	294	317	145	50	66	21	66	63	48	499	338	86	401	102	49	337	102	425	396	724	684	623	448	387	667	442	435	458	437	435	459	400	369	434	448	332	450									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1368	32	20	28	17	12	9	27	15	26	5	0	21	14	17	9	45	14	11	13	0	12	7	2	2	21	24	42	29	194	31	21	41	50	15	29	29	0	25	13	9	19	7	30	18	14	32	29	24	16	9	7	13	4	22	13	14	26	24	12	15	61	28									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	25288	324	122	375	84	544	421	379	293	395	129	36	407	508	391	232	354	126	145	219	39	205	69	46	88	379	382	413	433	1516	1253	640	765	449	438	445	949	75	611	140	92	424	82	378	468	552	667	646	422	491	346	393	444	648	411	445	465	521	509	510	530	533	492									
9	Число недействительных избирательных бюллетеней	534	9	0	2	3	9	0	12	5	0	10	0	8	6	5	3	6	0	7	0	0	6	2	2	1	15	15	27	16	18	3	6	2	1	8	6	4	1	19	5	1	9	2	5	19	13	18	19	15	27	10	8	7	17	11	6	12	23	15	9	15	15	16									
10	Число действительных избирательных бюллетеней	26122	347	142	401	98	547	430	394	303	421	124	36	420	516	403	238	393	140	149	232	39	211	74	46	89	385	391	428	446	1692	1281	655	804	498	445	468	974	74	617	148	100	434	87	403	467	553	681	656	431	480	345	392	450	635	422	452	467	524	518	513	530	579	504									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1431	30	10	20	10	20	20	30	25	20	12	5	17	22	20	15	20	10	15	15	5	25	10	5	15	20	20	25	20	40	40	25	25	20	15	40	40	10	25	15	10	34	10	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	31									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	726	14	10	16	10	20	11	20	25	7	12	5	7	1	7	15	20	10	3	7	0	18	10	5	4	2	12	9	8	15	40	25	6	20	15	40	36	10	6	11	3	25	3	9	12	9	4	8	13	10	12	8	8	10	9	12	4	6	11	8	14	11	5									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	163	1	4	5	1	4	2	2	1	1	2	2	3	5	3	1	6	3	2	2	0	9	3	0	4	2	3	2	4	0	0	5	1	1	1	0	4	1	4	3	8	4	2	2	5	2	2	1	3	6	2	2	1	2	3	0	5	5	1	3	3	1	3									
14	Число погашенных неиспользованных открепительных удостоверений	704	16	0	4	0	0	9	10	0	13	0	0	10	21	13	0	0	0	12	8	5	7	0	0	11	18	8	16	12	25	0	0	19	0	0	0	4	0	19	4	7	9	7	21	18	21	26	22	17	20	18	22	22	20	21	18	25	24	19	22	16	19	26									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	257	5	0	8	0	7	12	8	3	0	2	0	1	2	3	5	3	1	0	3	0	6	2	0	3	3	6	4	0	10	16	4	9	3	9	5	4	1	2	5	1	2	0	8	2	6	10	5	9	6	7	4	3	5	2	3	6	7	2	5	2	3	4									
16	Число утраченных открепительных удостоверений	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	179	8	2	3	1	3	6	1	0	4	1	0	2	2	0	0	2	1	0	0	0	1	1	0	0	7	2	5	5	4	5	0	0	0	1	7	2	0	4	1	1	2	0	3	3	5	8	7	7	4	3	3	3	7	1	4	4	8	0	7	5	9	4									
		0.67%	2.25%	1.41%	0.74%	0.99%	0.54%	1.40%	0.25%	0.00%	0.95%	0.75%	0.00%	0.47%	0.38%	0.00%	0.00%	0.50%	0.71%	0.00%	0.00%	0.00%	0.46%	1.32%	0.00%	0.00%	1.75%	0.49%	1.10%	1.08%	0.23%	0.39%	0.00%	0.00%	0.00%	0.22%	1.48%	0.20%	0.00%	0.63%	0.65%	0.99%	0.45%	0.00%	0.74%	0.62%	0.88%	1.14%	1.04%	1.57%	0.79%	0.85%	0.75%	0.66%	1.07%	0.23%	0.87%	0.84%	1.46%	0.00%	1.34%	0.92%	1.52%	0.77%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	694	6	3	1	2	10	6	16	5	13	3	0	13	0	20	5	11	5	5	0	0	8	1	0	3	12	10	16	0	18	15	0	11	5	10	13	22	4	14	9	4	10	0	11	19	20	28	20	18	12	11	9	14	27	13	7	10	23	0	11	14	33	85									
