Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																															
Дата голосования: 18.09.2016																																															
																																															
Наименование Избирательной комиссии:    Уренская																																															
																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																															
																																															
		Сумма	УИК №2005	УИК №2006	УИК №2007	УИК №2008	УИК №2009	УИК №2010	УИК №2011	УИК №2012	УИК №2013	УИК №2014	УИК №2015	УИК №2016	УИК №2017	УИК №2018	УИК №2019	УИК №2020	УИК №2021	УИК №2022	УИК №2023	УИК №2024	УИК №2025	УИК №2026	УИК №2027	УИК №2028	УИК №2029	УИК №2030	УИК №2031	УИК №2032	УИК №2033	УИК №2034	УИК №2035	УИК №2037	УИК №2038	УИК №2039	УИК №2040	УИК №2041									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	22904	688	618	1466	1297	1285	1239	652	1164	1199	648	1041	1183	1222	388	504	439	86	230	535	366	289	50	463	370	500	338	227	168	291	392	484	206	668	256	1034	918									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	23080	680	630	1330	1300	1270	1240	650	1150	1100	630	1050	1200	1220	360	570	490	80	230	540	370	340	60	510	430	480	370	280	160	310	400	520	250	680	250	1030	920									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	10236	232	242	441	397	557	908	223	480	501	233	466	479	449	100	161	213	56	138	311	162	117	16	303	142	274	212	102	86	136	208	226	169	355	121	542	478									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1592	44	28	143	17	89	21	15	4	7	38	17	58	35	70	139	65	7	26	90	45	61	22	23	17	75	32	59	26	34	57	71	7	37	31	29	53									
6	Число погашенных избирательных бюллетеней	11252	404	360	746	886	624	311	412	666	592	359	567	663	736	190	270	212	17	66	139	163	162	22	184	271	131	126	119	48	140	135	223	74	288	98	459	389									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1592	44	28	143	17	89	21	15	4	7	38	17	58	35	70	139	65	7	26	90	45	61	22	23	17	75	32	59	26	34	57	71	7	37	31	29	53									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	10230	232	242	441	397	557	908	223	477	501	233	466	479	446	100	161	213	56	138	311	162	117	16	303	142	274	212	102	86	136	208	226	169	355	121	542	478									
9	Число недействительных избирательных бюллетеней	109	7	0	6	0	6	4	2	3	1	13	3	7	2	0	1	1	0	0	3	2	5	0	14	5	3	0	1	0	1	3	3	7	0	0	0	6									
10	Число действительных избирательных бюллетеней	11713	269	270	578	414	640	925	236	478	507	258	480	530	479	170	299	277	63	164	398	205	173	38	312	154	346	244	160	112	169	262	294	169	392	152	571	525									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	258	6	7	21	8	6	6	8	12	6	6	6	11	6	6	6	6	6	6	6	6	6	6	6	6	16	6	6	6	6	6	6	7	6	6	6	6									
