Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																														
Дата голосования: 18.09.2016																																																														
																																																														
Наименование Избирательной комиссии:    Калачевская																																																														
																																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																																														
																																																														
		Сумма	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813	УИК №1814	УИК №1815	УИК №1816	УИК №1817	УИК №1818	УИК №1819	УИК №1820	УИК №1821	УИК №1822	УИК №1823	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828	УИК №1829	УИК №1830	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1835	УИК №1836	УИК №1837	УИК №1838	УИК №1839	УИК №1840	УИК №1841	УИК №1842	УИК №1843	УИК №1844	УИК №1845	УИК №1846	УИК №1847	УИК №1848	УИК №1849	УИК №1850	УИК №1851									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	46771	513	115	244	161	895	415	112	1177	1830	1008	2189	1071	1115	1847	295	1042	220	267	397	494	184	163	277	231	196	907	562	1498	285	252	277	651	213	382	1452	1530	771	358	473	2641	1788	1272	2084	2348	1766	1198	1965	2067	1637	1810	126									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	46825	520	115	245	160	900	400	110	1200	1830	1020	2090	1080	1170	1850	290	1040	220	270	400	490	185	165	280	230	200	915	570	1380	290	250	275	650	215	390	1460	1560	770	355	480	2640	1800	1250	2120	2380	1780	1200	1950	2060	1670	1830	125									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	18421	165	44	98	48	272	140	35	424	727	284	1594	384	644	875	81	351	78	67	160	182	52	61	102	100	98	298	206	555	78	69	95	198	60	129	513	550	313	153	141	844	643	1058	1093	957	635	349	603	682	502	563	68									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1591	100	12	45	24	57	23	4	87	70	58	39	43	0	4	22	16	3	26	8	12	24	3	0	6	3	25	13	219	54	38	34	23	2	4	33	46	28	11	20	60	13	0	72	46	11	19	30	41	19	30	11									
6	Число погашенных избирательных бюллетеней	26813	255	59	102	88	571	237	71	689	1033	678	457	653	526	971	187	673	139	177	232	296	109	101	178	124	99	592	351	606	158	143	146	429	153	257	914	964	429	191	319	1736	1144	192	955	1377	1134	832	1317	1337	1149	1237	46									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1591	100	12	45	24	57	23	4	87	70	58	39	43	0	4	22	16	3	26	8	12	24	3	0	6	3	25	13	219	54	38	34	23	2	4	33	46	28	11	20	60	13	0	72	46	11	19	30	41	19	30	11									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	18421	165	44	98	48	272	140	35	424	727	284	1594	384	644	875	81	351	78	67	160	182	52	61	102	100	98	298	206	555	78	69	95	198	60	129	513	550	313	153	141	844	643	1058	1093	957	635	349	603	682	502	563	68									
9	Число недействительных избирательных бюллетеней	434	4	0	3	3	12	1	1	8	17	6	28	15	14	17	3	6	8	0	4	7	0	3	5	1	0	4	5	10	3	1	2	8	3	4	6	14	7	6	2	32	12	20	11	27	19	9	13	18	18	14	0									
10	Число действительных избирательных бюллетеней	19578	261	56	140	69	317	162	38	503	780	336	1605	412	630	862	100	361	73	93	164	187	76	61	97	105	101	319	214	764	129	106	127	213	59	129	540	582	334	158	159	872	644	1038	1154	976	627	359	620	705	503	579	79									
