Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																											
Дата голосования: 18.09.2016																											
																											
Наименование Избирательной комиссии:    Тамбовская_178																											
																											
Сводная таблица итогов голосования по федеральному избирательному округу																											
																											
		Сумма	УИК №813	УИК №814	УИК №815	УИК №816	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №841	УИК №842	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	21244	1420	2160	2327	1965	2305	518	1311	1206	424	370	1327	1665	251	2288	1050	657									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	19150	1300	2000	2100	1700	2000	530	1200	1000	420	360	1200	1500	240	2000	1000	600									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7356	432	650	935	716	857	143	495	307	215	109	553	633	130	727	291	163									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	807	40	59	17	25	73	22	14	145	10	46	135	41	7	59	45	69									
6	Число погашенных избирательных бюллетеней	10987	828	1291	1148	959	1070	365	691	548	195	205	512	826	103	1214	664	368									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	807	40	59	17	25	73	22	14	145	10	46	135	41	7	59	45	69									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7351	432	650	935	716	857	143	495	306	215	109	553	632	130	724	291	163									
9	Число недействительных избирательных бюллетеней	154	1	23	5	11	31	5	10	15	4	4	8	7	2	5	11	12									
10	Число действительных избирательных бюллетеней	8004	471	686	947	730	899	160	499	436	221	151	680	666	135	778	325	220									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	280	20	30	30	25	30	10	15	15	5	5	15	20	5	30	15	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	167	9	17	30	16	15	10	15	8	5	0	11	12	1	8	6	4									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	73	5	3	4	5	12	8	7	3	4	2	0	8	3	4	3	2									
14	Число погашенных неиспользованных открепительных удостоверений	113	11	13	0	9	15	0	0	7	0	5	4	8	4	22	9	6									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	14	1	0	2	1	0	0	1	2	2	0	0	3	0	1	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	1265	183	178	122	139	93	10	50	43	29	9	90	49	13	158	60	39									
		15.51%	38.77%	25.11%	12.82%	18.76%	10.00%	6.06%	9.82%	9.53%	12.89%	5.81%	13.08%	7.28%	9.49%	20.18%	17.86%	16.81%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	160	3	16	14	8	23	2	10	18	7	2	21	18	1	11	4	2									
		1.96%	0.64%	2.26%	1.47%	1.08%	2.47%	1.21%	1.96%	3.99%	3.11%	1.29%	3.05%	2.67%	0.73%	1.40%	1.19%	0.86%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	105	1	10	8	5	18	1	7	8	5	1	8	17	2	7	6	1									
		1.29%	0.21%	1.41%	0.84%	0.67%	1.94%	0.61%	1.38%	1.77%	2.22%	0.65%	1.16%	2.53%	1.46%	0.89%	1.79%	0.43%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3975	193	257	612	353	414	77	209	204	104	95	321	324	68	461	159	124									
		48.73%	40.89%	36.25%	64.29%	47.64%	44.52%	46.67%	41.06%	45.23%	46.22%	61.29%	46.66%	48.14%	49.64%	58.88%	47.32%	53.45%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	42	1	4	1	9	5	0	3	2	0	0	3	3	2	6	3	0									
		0.51%	0.21%	0.56%	0.11%	1.21%	0.54%	0.00%	0.59%	0.44%	0.00%	0.00%	0.44%	0.45%	1.46%	0.77%	0.89%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	19	1	0	1	1	0	1	1	7	0	1	0	2	3	1	0	0									
		0.23%	0.21%	0.00%	0.11%	0.13%	0.00%	0.61%	0.20%	1.55%	0.00%	0.65%	0.00%	0.30%	2.19%	0.13%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	829	12	84	33	65	133	32	77	41	38	17	94	100	14	40	34	15									
		10.16%	2.54%	11.85%	3.47%	8.77%	14.30%	19.39%	15.13%	9.09%	16.89%	10.97%	13.66%	14.86%	10.22%	5.11%	10.12%	6.47%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	38	0	7	2	6	4	3	5	2	0	0	1	4	1	1	2	0									
		0.47%	0.00%	0.99%	0.21%	0.81%	0.43%	1.82%	0.98%	0.44%	0.00%	0.00%	0.15%	0.59%	0.73%	0.13%	0.60%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	49	1	3	6	7	5	3	4	6	0	0	3	1	2	3	3	2									
		0.60%	0.21%	0.42%	0.63%	0.94%	0.54%	1.82%	0.79%	1.33%	0.00%	0.00%	0.44%	0.15%	1.46%	0.38%	0.89%	0.86%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	15	0	1	0	3	0	1	1	2	2	0	1	1	1	1	0	1									
		0.18%	0.00%	0.14%	0.00%	0.40%	0.00%	0.61%	0.20%	0.44%	0.89%	0.00%	0.15%	0.15%	0.73%	0.13%	0.00%	0.43%									
