Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																			
Дата голосования: 18.09.2016																																			
																																			
Наименование Избирательной комиссии:    Ярская																																			
																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																			
																																			
		Сумма	УИК №3401	УИК №3402	УИК №3403	УИК №3404	УИК №3405	УИК №3406	УИК №3407	УИК №3408	УИК №3409	УИК №3410	УИК №3411	УИК №3412	УИК №3413	УИК №3414	УИК №3415	УИК №3416	УИК №3417	УИК №3418	УИК №3419	УИК №3420	УИК №3421	УИК №3422	УИК №3423	УИК №3424									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	12511	761	279	280	446	85	315	899	300	161	62	202	153	181	252	330	514	768	815	1715	1908	878	831	265	111									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12100	700	280	290	450	93	330	928	310	158	61	220	170	200	250	320	550	700	800	1600	1700	800	800	280	110									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6294	330	193	154	265	31	176	485	195	74	35	115	107	143	94	146	269	401	339	907	882	331	425	138	59									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	585	43	12	54	22	1	18	33	18	17	8	18	18	8	11	26	39	37	64	31	13	40	21	18	15									
6	Число погашенных избирательных бюллетеней	5221	327	75	82	163	61	136	410	97	67	18	87	45	49	145	148	242	262	397	662	805	429	354	124	36									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	585	43	12	54	22	1	18	33	18	17	8	18	18	8	11	26	39	37	64	31	13	40	21	18	15									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6255	330	193	154	265	31	176	485	195	74	35	115	107	143	94	146	269	401	339	907	882	293	425	137	59									
9	Число недействительных избирательных бюллетеней	204	16	2	1	11	1	6	12	5	5	0	0	2	4	3	5	12	21	13	29	18	18	13	6	1									
10	Число действительных избирательных бюллетеней	6636	357	203	207	276	31	188	506	208	86	43	133	123	147	102	167	296	417	390	909	877	315	433	149	73									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	670	40	15	15	15	10	30	50	30	20	10	25	25	35	15	20	70	30	30	50	50	30	30	15	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	432	6	15	15	14	8	30	45	26	0	10	25	25	35	2	1	59	11	18	25	14	14	13	15	6									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	118	7	3	4	6	2	6	3	5	3	1	7	3	5	4	4	4	3	2	10	4	15	10	3	4									
14	Число погашенных неиспользованных открепительных удостоверений	238	34	0	0	1	2	0	5	4	20	0	0	0	0	13	19	11	19	12	25	36	16	17	0	4									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	39	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	1	2	7	15	1	8	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																			
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	48	1	3	2	0	0	0	1	4	1	0	0	1	1	2	0	3	6	3	11	4	1	2	1	1									
		0.70%	0.27%	1.46%	0.96%	0.00%	0.00%	0.00%	0.19%	1.88%	1.10%	0.00%	0.00%	0.80%	0.66%	1.90%	0.00%	0.97%	1.37%	0.74%	1.17%	0.45%	0.30%	0.45%	0.65%	1.35%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	168	8	3	2	8	1	0	6	5	1	1	3	2	1	4	5	8	11	7	36	26	9	13	2	6									
		2.46%	2.14%	1.46%	0.96%	2.79%	3.13%	0.00%	1.16%	2.35%	1.10%	2.33%	2.26%	1.60%	0.66%	3.81%	2.91%	2.60%	2.51%	1.74%	3.84%	2.91%	2.70%	2.91%	1.29%	8.11%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	78	6	1	2	2	0	2	8	3	2	0	3	1	1	0	2	2	2	6	9	7	7	7	2	3									
		1.14%	1.61%	0.49%	0.96%	0.70%	0.00%	1.03%	1.54%	1.41%	2.20%	0.00%	2.26%	0.80%	0.66%	0.00%	1.16%	0.65%	0.46%	1.49%	0.96%	0.78%	2.10%	1.57%	1.29%	4.05%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4206	246	169	160	182	21	148	332	151	62	31	102	85	130	65	127	194	243	237	469	510	172	229	101	40									
		61.49%	65.95%	82.44%	76.92%	63.41%	65.63%	76.29%	64.09%	70.89%	68.13%	72.09%	76.69%	68.00%	86.09%	61.90%	73.84%	62.99%	55.48%	58.81%	50.00%	56.98%	51.65%	51.35%	65.16%	54.05%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	26	0	1	1	1	0	0	3	0	0	0	0	0	0	0	0	1	2	2	9	4	1	1	0	0									
		0.38%	0.00%	0.49%	0.48%	0.35%	0.00%	0.00%	0.58%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.32%	0.46%	0.50%	0.96%	0.45%	0.30%	0.22%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	12	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	4	1	2	2	0	0	0	0									
