Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																															
Дата голосования: 07.12.2003 0:00:00																																																															
																																																															
Наименование Избирательной комиссии:    Тимашевская																																																															
																																																															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																															
																																																															
		Сумма	УИК  5001	УИК  5002	УИК  5003	УИК  5004	УИК  5005	УИК  5006	УИК  5007	УИК  5008	УИК  5009	УИК  5010	УИК  5011	УИК  5012	УИК  5013	УИК  5014	УИК  5015	УИК  5016	УИК  5017	УИК  5018	УИК  5019	УИК  5020	УИК  5021	УИК  5022	УИК  5023	УИК  5024	УИК  5025	УИК  5026	УИК  5027	УИК  5028	УИК  5029	УИК  5030	УИК  5031	УИК  5032	УИК  5033	УИК  5034	УИК  5035	УИК  5036	УИК  5037	УИК  5038	УИК  5039	УИК  5040	УИК  5041	УИК  5042	УИК  5043	УИК  5044	УИК  5045	УИК  5046	УИК  5047	УИК  5048	УИК  5049	УИК  5050	УИК  5051	УИК  5052	УИК  5053	УИК  5054	УИК  5055	УИК  5056					
1	"Число избирателей, внесенных в списки"	85337	1220	1955	1514	1586	1898	923	1428	1902	1526	1559	1171	2486	566	2401	1835	2266	2024	784	1259	1208	2145	1574	1091	1217	2028	2520	507	2137	2690	2286	1353	2042	2155	299	440	1706	1966	2100	365	2094	1019	600	2030	1131	2064	400	1614	2421	1556	1304	739	2336	1350	336	1247	964					
2	"Число бюллетеней, полученных участковыми комиссиями"	84770	1300	2000	1600	1550	1950	930	1500	2150	1200	1500	1100	2270	490	2350	1850	2450	1850	830	1200	1150	2200	1900	1150	1250	2100	2550	520	2050	2600	2200	1300	2000	2100	280	450	1800	1850	2000	350	2000	1050	590	2000	1150	1950	410	1640	2450	1550	1300	740	2250	1350	320	1200	950					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	40115	757	771	670	733	737	414	721	814	657	651	585	1239	269	1000	874	956	758	284	591	729	1018	646	492	574	965	1107	198	820	1087	1091	621	842	979	118	230	901	1025	1028	147	1125	481	340	1018	549	989	172	781	1471	979	809	307	1159	503	271	620	442					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	3149	95	65	62	76	44	22	11	105	172	45	25	83	18	48	39	51	21	39	11	42	30	40	43	25	24	54	67	81	45	55	45	37	29	11	37	144	93	216	59	53	141	50	70	29	21	39	14	70	50	62	89	89	36	0	97	30					
6	Число погашенных бюллетеней	41508	448	1164	868	741	1169	494	768	1231	371	804	490	948	203	1302	937	1443	1071	507	598	379	1152	1214	615	651	1111	1389	255	1149	1468	1054	634	1121	1092	151	183	755	734	756	144	822	428	200	912	572	940	199	845	909	521	429	344	1002	811	49	483	478					
7	Число бюллетеней в переносных ящиках для голосования	3149	95	65	62	76	44	22	11	105	172	45	25	83	18	48	39	51	21	39	11	42	30	40	43	25	24	54	67	81	45	55	45	37	29	11	37	144	93	216	59	53	141	50	70	29	21	39	14	70	50	62	89	89	36	0	97	30					
8	Число бюллетеней в стационарных ящиках для голосования	40101	757	771	670	733	737	414	721	814	657	640	585	1239	269	1000	874	956	758	284	591	729	1016	646	492	574	965	1107	198	820	1087	1091	621	842	979	118	230	901	1024	1028	147	1125	481	340	1018	549	989	172	781	1471	979	809	307	1159	503	271	620	442					
9	Число недействительных бюллетеней	594	24	5	5	5	10	5	9	6	10	0	13	8	12	0	9	14	14	4	6	8	5	9	6	9	16	29	6	14	0	28	16	16	8	3	19	8	24	29	5	21	5	16	9	14	16	2	2	13	11	10	12	21	12	2	8	3					
10	Число действительных бюллетеней	42656	828	831	727	804	771	431	723	913	819	685	597	1314	275	1048	904	993	765	319	596	763	1041	677	529	590	973	1132	259	887	1132	1118	650	863	1000	126	248	1037	1093	1215	201	1157	617	374	1079	564	994	209	793	1528	1018	861	384	1227	527	269	709	469					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	795	10	20	15	15	20	10	15	20	10	15	10	20	5	20	20	20	20	10	10	10	20	20	10	10	20	20	5	20	20	20	10	20	20	5	5	20	20	20	5	20	10	5	20	10	20	5	15	20	10	10	5	20	10	15	10	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	156	2	6	2	3	5	0	4	3	5	4	0	9	0	4	2	4	1	2	3	3	2	1	0	4	3	3	0	1	3	3	6	4	4	0	0	6	13	7	5	2	1	0	2	1	0	0	4	3	5	4	2	1	1	0	1	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	204	1	0	10	0	4	4	6	6	3	2	3	7	6	7	5	2	1	3	2	1	4	5	3	7	4	4	0	5	6	8	1	1	4	3	2	2	4	7	2	9	0	1	3	1	3	1	3	14	6	1	2	5	0	0	7	3					
14	Число погашенных открепительных удостоверений	639	8	14	13	12	15	10	11	17	5	11	10	11	5	16	18	16	19	8	7	7	18	19	10	6	17	17	5	19	17	17	4	16	16	5	5	14	7	13	0	18	9	5	18	9	20	5	11	17	5	6	3	19	9	15	9	3					
15	Число открепительных удостоверений выданных ТИК	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																															
18	"1. ""ЕДИНЕНИЕ"""	574	23	9	11	8	5	3	2	20	6	3	14	8	11	9	23	6	7	2	14	5	4	4	1	5	9	31	4	20	7	12	8	14	9	2	8	17	18	12	6	35	7	6	12	6	6	0	6	13	13	14	9	12	11	6	20	18					
		1.32%	2.69%	1.07%	1.50%	0.98%	0.64%	0.68%	0.27%	2.17%	0.72%	0.43%	2.29%	0.60%	3.83%	0.85%	2.51%	0.59%	0.89%	0.61%	2.32%	0.64%	0.38%	0.58%	0.18%	0.83%	0.91%	2.67%	1.50%	2.21%	0.61%	1.04%	1.20%	1.59%	0.89%	1.55%	2.99%	1.62%	1.61%	0.96%	2.91%	2.97%	1.12%	1.53%	1.10%	1.03%	0.59%	0.0%	0.75%	0.84%	1.26%	1.60%	2.27%	0.96%	2.04%	2.21%	2.78%	3.81%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	703	47	10	7	10	10	14	18	36	14	21	13	40	5	21	14	22	13	12	9	22	27	16	5	7	10	8	5	20	8	8	10	14	16	3	3	23	11	13	0	13	6	3	3	4	10	4	3	20	8	5	10	8	11	1	17	12					
		1.62%	5.51%	1.19%	0.95%	1.23%	1.28%	3.21%	2.45%	3.91%	1.68%	3.06%	2.13%	3.02%	1.74%	2.00%	1.53%	2.18%	1.66%	3.71%	1.49%	2.85%	2.58%	2.33%	0.93%	1.16%	1.01%	0.68%	1.88%	2.21%	0.70%	0.69%	1.50%	1.59%	1.58%	2.32%	1.12%	2.20%	0.98%	1.04%	0.0%	1.10%	0.96%	0.76%	0.27%	0.69%	0.99%	1.89%	0.37%	1.29%	0.77%	0.57%	2.52%	0.64%	2.04%	0.36%	2.37%	2.54%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	863	18	7	20	17	14	9	12	14	14	16	10	27	20	25	24	21	23	4	10	18	22	20	16	11	29	21	10	15	15	18	5	14	16	2	8	13	18	25	6	19	8	7	19	15	30	4	26	34	27	2	13	20	9	7	10	6					
