Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																							
Дата голосования: 04.12.2011																																							
																																							
Наименование Избирательной комиссии:    Аркадакская																																							
																																							
Сводная таблица результатов выборов																																							
																																							
		Сумма	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418					
1	"Число избирателей, внесенных в список избирателей"	20687	1328	1285	836	1158	1563	1574	1356	1669	161	268	603	142	446	768	750	716	370	215	584	242	575	424	348	108	721	138	662	198	386	421	457	215					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	21219	1360	1300	855	1215	1580	1615	1380	1700	159	255	710	145	455	780	750	740	395	225	595	250	590	430	350	110	745	140	685	200	390	440	465	210					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	15969	971	1119	677	902	1251	1439	1108	1323	129	165	423	109	361	489	602	525	287	200	464	156	507	394	234	90	386	59	326	103	305	352	328	185					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2382	174	36	46	31	99	29	47	139	30	72	180	24	35	175	40	88	37	11	53	54	13	0	78	10	258	67	295	73	54	38	83	13					
6	Число погашенных избирательных бюллетеней	2868	215	145	132	282	230	147	225	238	0	18	107	12	59	116	108	127	71	14	78	40	70	36	38	10	101	14	64	24	31	50	54	12					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2382	174	36	46	31	99	29	47	139	30	72	180	24	35	175	40	88	37	11	53	54	13	0	78	10	258	67	295	73	54	38	83	13					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	15969	971	1119	677	902	1251	1439	1108	1323	129	165	423	109	361	489	602	525	287	200	464	156	507	394	234	90	386	59	326	103	305	352	328	185					
9	Число недействительных избирательных бюллетеней	32	0	0	0	11	1	3	0	0	0	0	0	0	0	3	2	0	0	0	0	0	1	0	0	0	10	0	0	0	0	1	0	0					
10	Число действительных избирательных бюллетеней	18319	1145	1155	723	922	1349	1465	1155	1462	159	237	603	133	396	661	640	613	324	211	517	210	519	394	312	100	634	126	621	176	359	389	411	198					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	452	26	23	17	32	20	29	20	25	5	5	20	5	10	10	5	20	15	6	28	10	12	10	10	5	20	5	19	5	10	10	10	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	357	26	23	17	30	15	29	19	25	1	5	5	1	4	6	2	20	15	6	28	10	10	5	7	3	11	1	15	1	2	5	8	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	122	2	10	5	7	15	6	3	8	4	1	2	1	2	2	2	3	3	3	2	2	2	4	4	2	6	3	5	4	3	2	2	2					
14	Число погашенных неиспользованных открепительных удостоверений	95	0	0	0	2	5	0	1	0	4	0	15	4	6	4	3	0	0	0	0	0	2	5	3	2	9	4	4	4	8	5	2	3					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	43	5	4	0	5	5	5	1	4	0	2	2	1	1	0	0	1	0	0	1	0	0	0	0	1	1	0	1	0	0	3	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																							
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	917	56	50	25	128	67	47	52	59	6	11	28	4	14	32	16	19	19	12	26	10	24	31	16	4	45	5	42	6	17	19	17	10					
		4.99%	4.89%	4.33%	3.46%	13.72%	4.96%	3.20%	4.50%	4.04%	3.77%	4.64%	4.64%	3.01%	3.54%	4.82%	2.49%	3.10%	5.86%	5.69%	5.03%	4.76%	4.62%	7.87%	5.13%	4.00%	6.99%	3.97%	6.76%	3.41%	4.74%	4.87%	4.14%	5.05%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	559	31	39	35	48	41	12	65	78	4	10	25	0	16	4	8	15	11	2	14	2	10	1	7	5	19	2	27	5	3	5	12	3					
		3.05%	2.71%	3.38%	4.84%	5.14%	3.04%	0.82%	5.63%	5.34%	2.52%	4.22%	4.15%	0.00%	4.04%	0.60%	1.25%	2.45%	3.40%	0.95%	2.71%	0.95%	1.92%	0.25%	2.24%	5.00%	2.95%	1.59%	4.35%	2.84%	0.84%	1.28%	2.92%	1.52%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	22	6	0	3	3	0	0	0	0	0	0	0	0	1	0	4	0	1	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0					
		0.12%	0.52%	0.00%	0.41%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.62%	0.00%	0.31%	0.47%	0.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	956	68	53	37	84	93	46	53	74	7	14	25	3	22	60	56	23	16	12	12	8	32	11	8	6	67	2	32	4	5	8	12	3					
		5.21%	5.94%	4.59%	5.12%	9.00%	6.89%	3.13%	4.59%	5.06%	4.40%	5.91%	4.15%	2.26%	5.56%	9.04%	8.72%	3.75%	4.94%	5.69%	2.32%	3.81%	6.15%	2.79%	2.56%	6.00%	10.40%	1.59%	5.15%	2.27%	1.39%	2.05%	2.92%	1.52%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	48	5	17	1	8	0	0	0	0	0	0	0	0	1	0	4	2	1	0	0	0	0	0	0	0	7	0	0	0	2	0	0	0					
		0.26%	0.44%	1.47%	0.14%	0.86%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.62%	0.33%	0.31%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.09%	0.00%	0.00%	0.00%	0.56%	0.00%	0.00%	0.00%					
