Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																			
Дата голосования: 04.12.2011																																			
																																			
Наименование Избирательной комиссии:    Окуловская																																			
																																			
Сводная таблица результатов выборов																																			
																																			
		Сумма	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364					
1	"Число избирателей, внесенных в список избирателей"	23076	1513	2509	1181	1841	317	1902	882	868	964	1100	1489	370	626	2122	124	125	327	429	169	1198	129	116	145	372	1230	542	335	151					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	23360	1530	2600	1200	1850	320	1960	870	880	950	1120	1520	380	620	2100	120	130	340	430	170	1200	130	120	140	360	1260	580	320	160					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	10583	697	1334	433	808	158	934	319	274	399	428	646	129	256	1082	54	67	139	185	62	523	51	66	78	170	750	249	182	110					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	939	21	19	33	33	1	24	31	35	48	20	26	39	39	29	22	19	52	71	36	68	31	27	14	58	36	37	60	10					
6	Число погашенных избирательных бюллетеней	11838	812	1247	734	1009	161	1002	520	571	503	672	848	212	325	989	44	44	149	174	72	609	48	27	48	132	474	294	78	40					
7	Число избирательных бюллетеней в переносных ящиках для голосования	939	21	19	33	33	1	24	31	35	48	20	26	39	39	29	22	19	52	71	36	68	31	27	14	58	36	37	60	10					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	10579	697	1334	433	807	158	934	319	274	399	428	646	129	256	1082	54	67	139	183	62	523	51	66	78	169	750	249	182	110					
9	Число недействительных избирательных бюллетеней	277	19	35	17	23	6	14	4	13	15	12	20	7	10	12	2	1	1	3	5	18	0	4	1	3	24	4	4	0					
10	Число действительных избирательных бюллетеней	11241	699	1318	449	817	153	944	346	296	432	436	652	161	285	1099	74	85	190	251	93	573	82	89	91	224	762	282	238	120					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	311	20	41	11	19	5	33	6	10	12	15	19	5	10	20	5	5	10	7	3	10	5	5	5	5	10	5	5	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	285	20	40	10	19	4	33	5	6	12	14	17	5	10	17	5	4	8	7	1	10	3	5	5	5	5	5	5	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	245	19	15	5	10	4	13	10	5	5	3	4	3	14	48	5	2	0	6	5	16	4	3	4	17	13	3	8	1					
14	Число погашенных неиспользованных открепительных удостоверений	26	0	1	1	0	1	0	1	4	0	1	2	0	0	3	0	1	2	0	2	0	2	0	0	0	5	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	64	12	11	6	3	1	13	0	1	3	2	3	0	1	1	0	0	1	0	4	1	0	0	0	0	0	0	1	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																			
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3798	261	560	152	253	45	341	136	98	147	145	217	41	108	417	22	26	55	69	34	167	21	12	32	44	231	90	37	37					
		32.97%	36.35%	41.39%	32.62%	30.12%	28.30%	35.59%	38.86%	31.72%	32.89%	32.37%	32.29%	24.40%	36.61%	37.53%	28.95%	30.23%	28.80%	27.17%	34.69%	28.26%	25.61%	12.90%	34.78%	19.38%	29.39%	31.47%	15.29%	30.83%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1381	85	126	75	95	19	97	35	51	55	73	65	25	20	131	7	6	35	25	3	72	17	10	11	31	152	39	10	11					
		11.99%	11.84%	9.31%	16.09%	11.31%	11.95%	10.13%	10.00%	16.50%	12.30%	16.29%	9.67%	14.88%	6.78%	11.79%	9.21%	6.98%	18.32%	9.84%	3.06%	12.18%	20.73%	10.75%	11.96%	13.66%	19.34%	13.64%	4.13%	9.17%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	104	7	14	3	6	2	10	4	3	4	4	6	3	4	7	0	0	1	3	1	4	0	0	0	3	10	5	0	0					
		0.90%	0.97%	1.03%	0.64%	0.71%	1.26%	1.04%	1.14%	0.97%	0.89%	0.89%	0.89%	1.79%	1.36%	0.63%	0.00%	0.00%	0.52%	1.18%	1.02%	0.68%	0.00%	0.00%	0.00%	1.32%	1.27%	1.75%	0.00%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	2115	124	308	71	168	36	244	67	50	93	71	138	36	38	180	12	14	17	43	7	141	16	18	8	43	97	37	28	10					
		18.36%	17.27%	22.76%	15.24%	20.00%	22.64%	25.47%	19.14%	16.18%	20.81%	15.85%	20.54%	21.43%	12.88%	16.20%	15.79%	16.28%	8.90%	16.93%	7.14%	23.86%	19.51%	19.35%	8.70%	18.94%	12.34%	12.94%	11.57%	8.33%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	228	19	27	10	21	3	24	9	5	14	13	11	2	6	19	1	0	2	3	1	13	1	0	0	4	12	6	2	0					
		1.98%	2.65%	1.99%	2.15%	2.50%	1.89%	2.51%	2.57%	1.62%	3.13%	2.90%	1.64%	1.19%	2.03%	1.71%	1.32%	0.00%	1.05%	1.18%	1.02%	2.20%	1.22%	0.00%	0.00%	1.76%	1.53%	2.10%	0.83%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3569	199	276	136	273	48	224	94	87	118	129	212	52	108	337	32	39	80	108	47	172	27	49	39	99	257	105	160	62					
		30.99%	27.72%	20.40%	29.18%	32.50%	30.19%	23.38%	26.86%	28.16%	26.40%	28.79%	31.55%	30.95%	36.61%	30.33%	42.11%	45.35%	41.88%	42.52%	47.96%	29.10%	32.93%	52.69%	42.39%	43.61%	32.70%	36.71%	66.12%	51.67%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	46	4	7	2	1	0	4	1	2	1	1	3	2	1	8	0	0	0	0	0	4	0	0	1	0	3	0	1	0					
		0.40%	0.56%	0.52%	0.43%	0.12%	0.00%	0.42%	0.29%	0.65%	0.22%	0.22%	0.45%	1.19%	0.34%	0.72%	0.00%	0.00%	0.00%	0.00%	0.00%	0.68%	0.00%	0.00%	1.09%	0.00%	0.38%	0.00%	0.41%	0.00%					
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
