Выборы Президента Российской Федерации																																																																																																															
																																																																																																															
"Наименование Избирательной комиссии:    Нижний Новгород, Нижегородская"																																																																																																															
																																																																																																															
Итоги голосования 																																																																																																															
																																																																																																															
		Сумма	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1636	УИК №1637	УИК №1638	УИК №1639	УИК №1640	УИК №1641	УИК №1642	УИК №1643	УИК №1644	УИК №1645	УИК №1646	УИК №1647	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1666	УИК №2501	УИК №2502	УИК №2503	УИК №2504	УИК №2505	УИК №2506	УИК №2507	УИК №2508	УИК №2509	УИК №2510	УИК №2511	УИК №2512	УИК №2513	УИК №2514	УИК №2515	УИК №2516	УИК №2517	УИК №2518	УИК №2519	УИК №2520	УИК №2521	УИК №2522	УИК №2523	УИК №2524	УИК №2525	УИК №2526	УИК №2527	УИК №2528	УИК №2529	УИК №2530	УИК №2531	УИК №2532	УИК №2533	УИК №2534	УИК №2535	УИК №2536	УИК №2537	УИК №2538	УИК №2539	УИК №2540	УИК №2541	УИК №2542	УИК №2543	УИК №2544	УИК №2545	УИК №2546	УИК №2547	УИК №2548	УИК №2549	УИК №2550	УИК №2551					
1	"Число избирателей, внесенных в список"	109580	1744	1562	2239	2116	713	1258	2085	1203	2135	1899	1975	2393	1794	2558	2073	1673	2606	1368	1799	2029	628	2221	1989	2188	2829	2214	1960	1898	1537	2539	2373	2197	2211	2736	2754	2735	1562	2854	1235	2236	2391	2593	2311	2294	2601	2462	2924	2608	1270	1196	1290	2369	2481	11	12	11	11	15	14	14	13	13	15	14	14	14	14	13	11	14	15	12	13	12	14	13	12	14	12	12	12	12	14	14	13	13	13	15	12	14	12	14	14	13	14	14	14	14	14	14	14	14	9	14					
2	Число полученных избирательных бюллетеней	97872	1940	1410	2000	1900	510	930	1870	1090	1910	1720	1770	2160	1630	2300	1870	1490	2360	1100	1620	1830	560	1780	1770	1810	2550	2000	1660	1730	1370	2130	2130	1990	2010	2460	2500	2470	1280	2580	1120	2030	2160	2350	2070	2060	2350	2280	2630	2350	1060	930	1250	2100	2270	11	12	11	11	15	14	14	13	13	15	14	14	14	14	13	11	14	15	12	13	12	14	13	12	14	12	12	12	12	14	14	13	13	13	15	12	14	12	14	14	13	14	14	14	14	14	14	14	14	9	14					
3	"Число избирательных бюллетеней, выданных  досрочно"	665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	12	11	11	15	14	14	12	13	15	14	14	14	14	13	11	14	15	12	13	12	14	13	12	14	6	12	12	12	14	14	13	13	13	15	12	14	12	14	14	13	14	14	14	14	14	14	14	14	9	14					
4	"Число избирательных бюллетеней, выданных в день голосования"	54806	766	703	1111	1031	278	566	930	490	1059	934	924	1095	845	1103	1086	940	1602	761	889	1050	375	1094	954	996	1457	1235	1005	970	618	1383	1315	1111	1102	1432	1515	1497	762	1266	537	1175	1226	1257	1275	1238	1302	1316	1473	1290	530	546	928	1272	1191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
5	"Число избирательных бюллетеней, выданных вне помещения"	2727	134	18	26	61	88	113	63	29	61	55	43	39	28	41	22	46	44	19	16	48	4	205	50	222	56	50	39	34	22	22	26	29	24	13	14	17	26	41	102	17	25	18	16	24	27	10	22	11	229	71	227	15	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	39670	1040	689	863	808	144	251	877	571	790	731	803	1026	757	1156	762	504	714	320	715	732	181	481	766	592	1037	715	616	726	730	725	789	850	884	1013	971	956	492	1273	481	838	909	1075	779	798	1021	952	1135	1049	301	313	95	813	1054	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
7	Число избирательных бюллетеней в переносных ящиках	3391	134	18	26	61	88	113	63	29	61	55	43	39	28	41	22	46	43	19	16	48	4	205	50	222	56	50	39	34	22	22	26	29	24	13	14	17	26	41	102	17	25	18	16	24	27	10	22	11	229	71	227	15	25	11	12	11	11	15	14	14	12	13	15	14	14	14	14	13	11	14	15	12	13	12	14	13	12	14	6	12	12	12	14	14	13	13	13	15	12	14	12	14	14	13	14	14	14	14	14	14	14	14	9	14					
8	Число бюллетеней в стационарных ящиках для голосования	54766	766	703	1111	1031	278	566	930	490	1059	934	923	1093	845	1103	1084	940	1601	761	889	1050	375	1093	954	996	1457	1233	1005	969	618	1383	1315	1111	1102	1432	1515	1497	762	1255	537	1175	1226	1256	1273	1237	1302	1304	1473	1287	530	546	928	1272	1191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
9	Число недействительных избирательных бюллетеней	239	2	2	5	1	0	5	6	2	4	2	5	0	3	6	2	3	9	2	1	4	0	4	4	4	1	1	6	4	2	7	8	3	4	7	7	7	9	14	3	6	4	10	3	4	6	2	5	0	9	8	13	1	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	57918	898	719	1132	1091	366	674	987	517	1116	987	961	1132	870	1138	1104	983	1635	778	904	1094	379	1294	1000	1214	1512	1282	1038	999	638	1398	1333	1137	1122	1438	1522	1507	779	1282	636	1186	1247	1264	1286	1257	1323	1312	1490	1298	750	609	1142	1286	1211	11	12	11	11	15	14	14	11	13	15	14	14	14	14	12	11	13	15	12	13	12	14	13	12	14	6	12	12	12	14	14	13	13	13	15	12	14	12	14	14	12	14	14	14	14	14	14	14	14	9	14					
