Выборы Президента Российской Федерации																																																																																																				
Дата голосования: 02.03.2008																																																																																																				
																																																																																																				
"Наименование Избирательной комиссии:    Нижний Новгород, Нижегородская"																																																																																																				
																																																																																																				
Сводная таблица результатов выборов																																																																																																				
																																																																																																				
	Число участковых избирательных комиссий	93																																																																																																		
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	93																																																																																																		
																																																																																																				
		Сумма	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1636	УИК №1637	УИК №1638	УИК №1639	УИК №1640	УИК №1641	УИК №1642	УИК №1643	УИК №1644	УИК №1645	УИК №1646	УИК №1647	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1666	УИК №1667	УИК №2501	УИК №2502	УИК №2503	УИК №2504	УИК №2505	УИК №2506	УИК №2507	УИК №2508	УИК №2509	УИК №2510	УИК №2511	УИК №2512	УИК №2513	УИК №2514	УИК №2515	УИК №2516	УИК №2517	УИК №2518	УИК №2519	УИК №2520	УИК №2521	УИК №2522	УИК №2523	УИК №2524	УИК №2525	УИК №2526	УИК №2527	УИК №2528	УИК №2529	УИК №2530	УИК №2531	УИК №2532	УИК №2533	УИК №2534	УИК №2535	УИК №2536	УИК №2537					
1	"Число избирателей, включенных в списки избирателей"	112074	1436	1677	1420	2149	1747	2492	1193	1864	2264	1500	2230	1745	1645	2518	1446	2886	2411	2636	2674	805	1580	1573	884	1380	1112	1078	2395	2943	1381	2918	1579	2309	1777	1661	2467	1951	2837	2521	1266	2267	2512	2555	2048	2496	2406	2254	2574	2662	2529	2452	1161	1188	2680	2291	1323	1923	10	13	11	12	11	11	12	11	11	11	11	10	10	10	10	10	10	10	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	106653	1400	1650	1300	2100	1450	2250	1050	1600	2200	1450	2150	1650	1350	2300	1400	2750	2400	2500	2600	700	1400	1550	800	1300	1000	750	2350	2800	1200	2850	1500	2100	1750	1600	2450	1950	2800	2500	1200	2200	2150	2500	2000	2500	2000	2250	2550	2600	2500	2400	1000	1050	2700	2300	1600	1850	10	13	11	12	11	11	12	11	11	11	11	10	10	10	10	10	10	10	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	13	11	11	11	11	12	11	11	11	11	10	10	10	10	10	10	10	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	63488	886	1014	764	1205	955	1299	724	850	1254	821	1207	915	954	1196	729	1522	1392	1497	1663	504	857	838	558	798	576	477	1371	1603	638	1571	795	1499	1037	993	1443	1145	1753	1552	740	1289	1134	1629	1240	1460	1455	1439	1549	1569	1535	1424	504	607	1753	1407	758	1141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	4361	19	30	137	12	129	123	14	275	60	17	101	50	30	168	12	85	63	50	67	11	31	29	42	22	71	240	44	188	301	72	33	42	38	24	74	30	56	47	12	41	218	23	17	31	32	27	31	17	12	41	313	155	491	38	11	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	38402	495	606	399	883	366	828	312	475	886	612	842	685	366	936	659	1143	945	953	870	185	512	683	200	480	353	33	935	1009	261	1207	672	559	675	583	933	775	991	901	448	870	798	848	743	1009	513	784	970	1014	953	935	183	288	456	855	831	695	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
