Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																										
Дата голосования: 18.09.2016																																										
																																										
Наименование Избирательной комиссии:    район Черемушки																																										
																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																										
																																										
		Сумма	УИК №2386	УИК №2387	УИК №2388	УИК №2389	УИК №2390	УИК №2391	УИК №2392	УИК №2393	УИК №2394	УИК №2395	УИК №2396	УИК №2397	УИК №2398	УИК №2399	УИК №2400	УИК №2401	УИК №2402	УИК №2403	УИК №2404	УИК №2405	УИК №2406	УИК №2407	УИК №2408	УИК №2409	УИК №2410	УИК №2411	УИК №2412	УИК №2413	УИК №2414	УИК №2415	УИК №3748									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	64664	2782	2100	2252	2185	2071	2461	2280	575	2253	2298	2285	1857	2245	1904	2151	2190	2448	3010	2170	2568	2263	2029	1621	2167	2302	1972	2411	1659	2152	1929	74									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	47173	2000	1500	1600	1600	1500	1800	1700	400	1600	1700	1600	1400	1600	1400	1600	1600	1800	2200	1600	1900	1600	1500	1200	1600	1700	1400	1800	1200	1600	1400	73									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	20449	768	717	783	623	622	683	698	164	704	676	700	580	664	632	746	743	827	976	690	708	624	514	444	738	800	695	763	589	775	780	23									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	690	28	15	19	24	17	18	17	4	7	20	12	15	15	21	27	26	32	24	27	22	36	19	24	39	47	13	13	19	18	23	49									
6	Число погашенных избирательных бюллетеней	26034	1204	768	798	953	861	1099	985	232	889	1004	888	805	921	747	827	831	941	1200	883	1170	940	967	732	823	853	692	1024	592	807	597	1									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	690	28	15	19	24	17	18	17	4	7	20	12	15	15	21	27	26	32	24	27	22	36	19	24	39	47	13	13	19	18	23	49									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	20414	768	717	783	623	621	683	698	164	702	676	699	579	661	632	743	743	827	962	690	708	624	510	443	737	799	695	761	589	774	780	23									
9	Число недействительных избирательных бюллетеней	420	20	9	8	10	8	19	15	2	11	20	13	18	10	9	10	15	18	18	13	21	8	9	20	12	31	18	14	13	11	17	0									
10	Число действительных избирательных бюллетеней	20684	776	723	794	637	630	682	700	166	698	676	698	576	666	644	760	754	841	968	704	709	652	520	447	764	815	690	760	595	781	786	72									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	715	30	20	30	20	20	30	30	15	20	20	20	20	20	30	20	30	30	35	20	30	20	20	20	20	20	20	30	20	20	35	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	372	14	8	12	10	11	12	20	3	11	9	9	10	15	20	12	19	20	18	7	13	7	12	6	14	8	9	20	12	11	20	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	519	21	12	4	11	28	11	13	6	17	6	3	11	7	5	16	7	8	7	23	10	42	20	26	16	11	58	22	32	16	27	23									
14	Число погашенных неиспользованных открепительных удостоверений	343	16	12	18	10	9	18	10	12	9	11	11	10	5	10	8	11	10	17	13	17	13	8	14	6	12	11	10	8	9	15	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	57	4	3	2	1	2	1	2	0	2	1	1	3	3	4	2	4	3	1	1	2	1	2	0	2	2	3	1	2	1	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	836	28	31	28	39	31	25	19	4	24	28	27	31	30	25	32	19	38	53	25	25	27	18	14	26	38	29	47	18	34	19	4									
		3.96%	3.52%	4.23%	3.49%	6.03%	4.86%	3.57%	2.66%	2.38%	3.39%	4.02%	3.80%	5.22%	4.44%	3.83%	4.16%	2.47%	4.42%	5.38%	3.49%	3.42%	4.09%	3.40%	2.99%	3.35%	4.49%	4.10%	6.07%	2.96%	4.29%	2.37%	5.56%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	398	11	12	23	16	15	10	19	2	12	11	11	5	11	16	12	15	13	20	11	9	22	8	9	11	7	18	8	15	17	25	4									
		1.89%	1.38%	1.64%	2.87%	2.47%	2.35%	1.43%	2.66%	1.19%	1.69%	1.58%	1.55%	0.84%	1.63%	2.45%	1.56%	1.95%	1.51%	2.03%	1.53%	1.23%	3.33%	1.51%	1.93%	1.42%	0.83%	2.54%	1.03%	2.47%	2.15%	3.11%	5.56%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	646	21	27	30	25	16	24	23	6	29	18	13	21	17	23	29	31	23	27	32	18	16	18	17	24	23	27	15	12	16	25	0									
		3.06%	2.64%	3.69%	3.74%	3.86%	2.51%	3.42%	3.22%	3.57%	4.09%	2.59%	1.83%	3.54%	2.51%	3.52%	3.77%	4.03%	2.68%	2.74%	4.46%	2.47%	2.42%	3.40%	3.64%	3.09%	2.72%	3.81%	1.94%	1.97%	2.02%	3.11%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6980	265	241	293	238	223	237	256	50	183	230	242	206	220	196	232	261	284	335	277	244	246	191	178	249	243	248	249	183	241	209	30									
