Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																				
Дата голосования: 04.12.2011																																																																				
																																																																				
Наименование Избирательной комиссии:    Территориальная избирательная комиссия №17																																																																				
																																																																				
Сводная таблица результатов выборов																																																																				
																																																																				
		Сумма	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483					
1	"Число избирателей, внесенных в список избирателей"	133816	3019	2694	2434	2446	2315	2248	2718	2403	2952	2643	2389	2193	1856	2111	1995	2029	2191	2296	2362	1744	2624	2678	2601	2124	1959	2699	2431	2270	2335	2032	2120	2751	2069	1701	2243	2140	2250	1744	2356	1862	2037	2345	2640	1780	2268	1971	2035	2178	1276	1741	2190	2117	2324	2283	2406	2373	1829	2033	2293	426	1244					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	105500	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	1500	1500	1500	1500	1500	2000	2000	1300	2000	2000	2000	2500	1500	2000	2000	2000	2000	1500	1700	2000	1500	1500	1500	1500	2000	2000	1500	1500	1600	2000	2000	1500	2000	1500	1500	1600	1000	1500	1700	1500	1500	1500	1500	1700	1100	1500	2400	600	1300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	74907	1685	1369	1681	1402	1259	1612	1721	1358	1608	1424	1517	1118	1013	974	952	997	1066	1219	1275	853	1268	1280	1284	1636	797	1002	1162	1238	1070	1101	1242	1378	1157	1089	1192	1075	1330	1279	1364	1157	1244	1330	1458	992	1264	1156	1131	1256	650	1196	1543	1002	1194	1098	1120	1505	1008	973	2281	58	1244					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1798	13	15	16	17	24	21	22	24	17	20	33	15	31	21	20	25	35	21	21	14	6	12	6	31	21	237	11	16	25	14	28	17	32	12	17	21	24	24	20	23	18	21	25	18	16	19	17	43	22	89	15	22	15	30	13	29	24	15	0	325	0					
6	Число погашенных избирательных бюллетеней	28795	302	616	303	581	717	367	257	618	375	556	450	867	456	505	528	478	399	760	704	433	726	708	710	833	682	761	827	746	905	385	430	605	311	399	291	404	646	697	116	320	338	649	517	490	720	325	352	301	328	215	142	476	291	372	367	166	68	512	119	217	56					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1796	13	15	16	17	24	21	22	24	17	20	33	15	31	21	20	25	35	21	21	14	6	12	6	31	21	235	11	16	25	14	28	17	32	12	17	21	24	24	20	23	18	21	25	18	16	19	17	43	22	89	15	22	15	30	13	29	24	15	0	325	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	74195	1676	1354	1630	1295	1259	1545	1658	1352	1604	1417	1517	1114	1013	973	931	997	1059	1217	1269	853	1264	1279	1283	1636	796	993	1156	1237	1065	1098	1223	1361	1157	1089	1139	1068	1324	1244	1355	1139	1218	1328	1453	991	1256	1150	1130	1256	650	1192	1513	999	1194	1090	1116	1465	1000	972	2281	58	1244					
9	Число недействительных избирательных бюллетеней	1274	9	6	5	9	20	26	10	20	14	23	17	16	12	18	13	19	16	17	16	15	21	18	10	44	11	11	19	61	14	17	10	19	9	10	15	12	20	19	15	16	19	21	22	10	22	21	16	27	11	20	23	9	10	14	7	20	13	13	46	29	229					
10	Число действительных избирательных бюллетеней	74717	1680	1363	1641	1303	1263	1540	1670	1356	1607	1414	1533	1113	1032	976	938	1003	1078	1221	1274	852	1249	1273	1279	1623	806	1217	1148	1192	1076	1095	1241	1359	1180	1091	1141	1077	1328	1249	1360	1146	1217	1328	1456	999	1250	1148	1131	1272	661	1261	1505	1012	1199	1106	1122	1474	1011	974	2235	354	1015					
