Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																
Дата голосования: 02.12.2007																																																
																																																
"Наименование Избирательной комиссии:    Тверь, Пролетарская"																																																
																																																
Сводная таблица результатов выборов																																																
																																																
		Сумма	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1338					
1	"Число избирателей, внесенных в списки избирателей"	78589	2429	2700	2538	1857	1083	1837	2379	2631	2107	2544	2550	2334	1435	1733	1613	1881	2256	2327	2676	2680	2680	2154	2152	2021	2502	2289	2100	1726	2052	1464	2789	2590	2770	2533	2357	349	195	105	47	81	43					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	69612	2200	2400	2300	1600	1000	1600	2000	2300	2000	2200	2000	2000	1300	1500	1300	1700	2000	2000	2300	2300	2300	2000	2000	2000	2200	2000	2000	1300	1700	1300	2500	2300	2700	2300	2200	300	190	95	47	80	100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	42229	1457	1417	1419	1078	637	782	1052	1175	956	1315	1424	1184	787	897	975	934	1297	1424	1462	1490	1447	1143	1260	1249	1450	1443	1243	1131	993	686	1232	1176	1198	1483	1394	149	143	89	47	80	31					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1154	37	49	35	9	15	44	48	35	37	17	37	39	24	32	12	30	39	37	50	30	20	30	22	35	27	36	37	15	24	40	64	72	36	17	4	7	0	6	0	0	6					
6	Число погашенных избирательных бюллетеней	26229	706	934	846	513	348	774	900	1090	1007	868	539	777	489	571	313	736	664	539	788	780	833	827	718	716	723	521	720	154	683	574	1204	1052	1466	800	802	144	47	0	0	0	63					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1154	37	49	35	9	15	44	48	35	37	17	37	39	24	32	12	30	39	37	50	30	20	30	22	35	27	36	37	15	24	40	64	72	36	17	4	7	0	6	0	0	6					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	42179	1439	1417	1419	1078	637	778	1052	1175	952	1315	1424	1182	787	897	975	934	1297	1423	1462	1490	1445	1138	1259	1249	1450	1440	1243	1127	993	686	1232	1175	1198	1483	1389	149	143	89	47	80	31					
9	Число недействительных избирательных бюллетеней	395	0	18	5	3	5	10	11	13	14	17	15	18	11	12	11	0	13	17	9	10	14	13	11	13	19	12	6	13	11	4	11	20	16	7	9	1	2	0	0	0	1					
10	Число действительных избирательных бюллетеней	42938	1476	1448	1449	1084	647	812	1089	1197	975	1315	1446	1203	800	917	976	964	1323	1443	1503	1510	1451	1155	1270	1271	1458	1464	1274	1129	1006	722	1285	1227	1218	1493	1384	155	141	95	47	80	36					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1330	20	20	30	30	10	10	30	30	60	30	70	50	20	20	210	20	20	40	40	30	40	20	30	50	20	40	40	70	10	40	30	10	30	50	50	10	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	960	10	20	25	22	7	4	21	17	50	27	59	39	12	19	123	15	20	30	30	23	37	20	19	23	17	25	23	60	10	16	22	10	16	43	38	8	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	556	12	20	11	7	11	9	11	13	9	11	27	16	7	17	73	2	4	13	24	21	28	3	17	12	11	5	11	22	10	11	16	12	36	13	10	9	1	7	1	3	0					
14	Число погашенных неиспользованных открепительных удостоверений	370	10	0	5	8	3	6	9	13	10	3	11	11	8	1	87	5	0	10	10	7	3	0	11	27	3	15	17	10	0	24	8	0	14	7	12	2	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	71	2	3	2	1	0	4	3	1	2	2	1	2	4	2	2	1	1	1	3	0	3	4	2	3	4	2	2	0	1	2	0	8	1	1	1	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																
18	1.Политическая партия «Аграрная партия России»	1149	53	42	25	38	16	12	23	27	25	33	38	32	19	20	25	41	34	37	45	47	53	38	29	24	46	59	41	26	25	23	18	14	35	40	39	2	1	1	2	1	0					
		2.65%	3.59%	2.86%	1.72%	3.50%	2.45%	1.46%	2.09%	2.23%	2.53%	2.48%	2.60%	2.62%	2.34%	2.15%	2.53%	4.25%	2.54%	2.53%	2.98%	3.09%	3.62%	3.25%	2.26%	1.87%	3.11%	3.99%	3.20%	2.28%	2.46%	3.17%	1.39%	1.12%	2.84%	2.67%	2.80%	1.28%	0.70%	1.05%	4.26%	1.25%	0.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	738	27	37	31	28	9	9	16	15	16	23	25	24	12	19	22	4	16	24	29	27	41	12	24	20	21	18	30	21	19	8	17	13	20	22	35	3	0	0	0	1	0					
		1.70%	1.83%	2.52%	2.13%	2.58%	1.38%	1.09%	1.45%	1.24%	1.62%	1.73%	1.71%	1.97%	1.48%	2.05%	2.23%	0.41%	1.20%	1.64%	1.92%	1.78%	2.80%	1.03%	1.87%	1.56%	1.42%	1.22%	2.34%	1.84%	1.87%	1.10%	1.31%	1.04%	1.62%	1.47%	2.51%	1.92%	0.00%	0.00%	0.00%	1.25%	0.00%					
20	3.Политическая партия «Демократическая партия России»	52	1	0	2	1	1	2	1	1	2	2	2	0	1	4	2	4	2	1	2	1	1	2	0	1	2	4	2	1	1	0	1	0	2	2	0	0	1	0	0	0	0					
		0.12%	0.07%	0.00%	0.14%	0.09%	0.15%	0.24%	0.09%	0.08%	0.20%	0.15%	0.14%	0.00%	0.12%	0.43%	0.20%	0.41%	0.15%	0.07%	0.13%	0.07%	0.07%	0.17%	0.00%	0.08%	0.14%	0.27%	0.16%	0.09%	0.10%	0.00%	0.08%	0.00%	0.16%	0.13%	0.00%	0.00%	0.70%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	7249	301	245	280	175	123	63	133	161	145	203	214	203	127	144	216	133	295	265	266	267	271	220	255	195	289	383	318	115	128	78	185	158	148	249	221	12	25	16	7	14	3					
