Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																							
Дата голосования: 18.09.2016																																							
																																							
Наименование Избирательной комиссии:    Осташковская																																							
																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																							
																																							
		Сумма	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №1198									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	20037	1962	1100	969	951	1029	1876	2053	1840	2225	1043	587	398	97	238	113	267	452	348	238	222	264	249	63	437	300	304	387	25									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	19972	1960	1100	960	950	1020	1880	2070	1860	2230	1050	580	400	90	230	110	260	440	330	230	210	270	250	60	430	300	290	380	32									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6845	838	329	313	261	339	656	782	654	710	339	210	140	23	72	12	76	136	94	105	76	101	70	18	146	125	78	126	16									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	796	25	9	1	5	8	11	18	6	4	13	37	48	29	47	50	56	108	52	21	28	14	67	17	26	16	38	33	9									
6	Число погашенных избирательных бюллетеней	12330	1097	762	646	684	673	1213	1270	1200	1516	698	333	212	38	111	48	128	196	184	104	105	155	113	25	258	159	174	221	7									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	796	25	9	1	5	8	11	18	6	4	13	37	48	29	47	50	56	108	52	21	28	14	67	17	26	16	38	33	9									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6840	838	329	313	260	339	656	782	654	707	339	210	140	23	72	12	76	136	94	105	75	101	70	18	146	125	78	126	16									
9	Число недействительных избирательных бюллетеней	189	22	5	13	13	8	21	19	15	21	6	6	3	0	3	1	0	3	1	8	3	4	1	0	4	1	2	6	0									
10	Число действительных избирательных бюллетеней	7447	841	333	301	252	339	646	781	645	690	346	241	185	52	116	61	132	241	145	118	100	111	136	35	168	140	114	153	25									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	235	10	10	10	10	10	20	20	30	20	10	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	119	9	4	6	3	8	10	20	16	13	4	4	3	0	2	0	1	0	0	0	4	2	5	0	2	1	2	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	131	13	2	6	1	6	2	10	7	8	0	7	2	4	7	3	2	12	10	3	5	1	3	2	5	0	7	1	2									
14	Число погашенных неиспользованных открепительных удостоверений	116	1	6	4	7	2	10	0	14	7	6	1	2	5	3	5	4	5	5	5	1	3	0	5	3	4	3	5	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	32	2	2	3	2	1	1	4	4	8	0	1	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	130	11	7	7	4	3	14	9	12	13	13	4	4	0	0	0	0	5	6	2	0	0	4	0	4	2	5	1	0									
		1.70%	1.27%	2.07%	2.23%	1.51%	0.86%	2.10%	1.13%	1.82%	1.83%	3.69%	1.62%	2.13%	0.00%	0.00%	0.00%	0.00%	2.05%	4.11%	1.59%	0.00%	0.00%	2.92%	0.00%	2.33%	1.42%	4.31%	0.63%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	207	26	12	10	9	10	17	18	26	11	10	6	5	1	1	1	3	5	2	8	2	6	2	1	7	2	0	5	1									
		2.71%	3.01%	3.55%	3.18%	3.40%	2.88%	2.55%	2.25%	3.94%	1.55%	2.84%	2.43%	2.66%	1.92%	0.84%	1.61%	2.27%	2.05%	1.37%	6.35%	1.94%	5.22%	1.46%	2.86%	4.07%	1.42%	0.00%	3.14%	4.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	207	27	8	11	10	9	18	20	22	20	14	3	4	2	1	1	0	6	3	5	0	3	2	0	3	4	0	7	4									
		2.71%	3.13%	2.37%	3.50%	3.77%	2.59%	2.70%	2.50%	3.33%	2.81%	3.98%	1.21%	2.13%	3.85%	0.84%	1.61%	0.00%	2.46%	2.05%	3.97%	0.00%	2.61%	1.46%	0.00%	1.74%	2.84%	0.00%	4.40%	16.00%									
