Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																										
Дата голосования: 02.12.2007																																																																										
																																																																										
Наименование Избирательной комиссии:    Буинская																																																																										
																																																																										
Сводная таблица результатов выборов																																																																										
																																																																										
		Сумма	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1193	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239	УИК №1240	УИК №1241	УИК №1242	УИК №1243	УИК №1244	УИК №1245	УИК №1246	УИК №1247	УИК №1248	УИК №1249	УИК №1250	УИК №1251	УИК №1252					
1	"Число избирателей, внесенных в списки избирателей"	19266	712	522	312	184	506	92	257	314	182	70	611	348	485	207	153	470	291	101	984	139	492	190	301	248	310	182	69	177	83	154	165	236	85	184	430	80	112	199	510	90	603	79	111	170	423	149	184	1080	268	186	121	43	593	66	412	118	360	66	350	364	473	109	196	250	533	139	583					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	19370	713	525	315	189	510	92	259	314	182	70	605	348	487	207	153	470	291	100	987	140	500	190	300	248	310	182	69	180	80	154	166	238	85	185	430	80	112	207	510	90	618	79	110	173	429	150	184	1105	268	186	121	43	603	66	412	118	360	66	350	366	473	111	196	250	538	139	583					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	18544	622	493	299	172	506	92	257	314	182	70	591	348	444	182	138	437	284	97	967	131	464	190	287	241	303	178	68	177	80	154	165	223	85	169	422	77	110	199	494	87	579	75	110	144	418	143	184	1027	265	182	112	39	529	58	410	118	347	63	345	355	473	109	196	250	526	139	549					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	691	82	29	13	12	0	0	0	0	0	0	14	0	39	25	15	33	7	3	13	8	28	0	10	7	7	2	1	0	0	0	0	13	0	15	8	3	2	0	16	3	24	4	0	26	5	6	0	53	3	4	9	4	64	8	2	0	13	3	5	9	0	0	0	0	7	0	34					
6	Число погашенных избирательных бюллетеней	135	9	3	3	5	4	0	2	0	0	0	0	0	4	0	0	0	0	0	7	1	8	0	3	0	0	2	0	3	0	0	1	2	0	1	0	0	0	8	0	0	15	0	0	3	6	1	0	25	0	0	0	0	10	0	0	0	0	0	0	2	0	2	0	0	5	0	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	691	82	29	13	12	0	0	0	0	0	0	14	0	39	25	15	33	7	3	13	8	28	0	10	7	7	2	1	0	0	0	0	13	0	15	8	3	2	0	16	3	24	4	0	26	5	6	0	53	3	4	9	4	64	8	2	0	13	3	5	9	0	0	0	0	7	0	34					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	18541	622	493	299	172	506	92	257	311	182	70	591	348	444	182	138	437	284	97	967	131	464	190	287	241	303	178	68	177	80	154	165	223	85	169	422	77	110	199	494	87	579	75	110	144	418	143	184	1027	265	182	112	39	529	58	410	118	347	63	345	355	473	109	196	250	526	139	549					
9	Число недействительных избирательных бюллетеней	61	7	0	0	0	0	0	0	0	0	0	0	8	7	1	0	0	0	2	1	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	5	1	2	0	0	0	0	0	0	0	0	0	0	1	1	0	6	0	1	0	0	0	0	1	2	0	0					
10	Число действительных избирательных бюллетеней	19171	697	522	312	184	506	92	257	311	182	70	605	340	476	206	153	470	291	98	979	139	492	190	297	248	300	180	69	177	80	154	165	236	85	184	426	80	112	199	509	90	598	78	108	170	423	149	184	1080	268	186	121	43	593	65	411	118	354	66	349	364	473	109	196	249	531	139	583					
