Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																										
Дата голосования: 04.12.2011																																																																										
																																																																										
Наименование Избирательной комиссии:    Буинская																																																																										
																																																																										
Сводная таблица результатов выборов																																																																										
																																																																										
		Сумма	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1193	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239	УИК №1240	УИК №1241	УИК №1242	УИК №1243	УИК №1244	УИК №1245	УИК №1246	УИК №1247	УИК №1248	УИК №1249	УИК №1250	УИК №1251	УИК №1252	УИК №1253					
1	"Число избирателей, внесенных в список избирателей"	19633	716	499	500	90	239	546	318	187	210	154	303	114	190	503	181	187	83	173	152	246	79	192	450	82	103	650	79	137	302	189	67	304	241	545	633	545	97	910	112	576	57	422	146	174	217	620	401	424	120	1165	276	185	111	32	369	64	501	273	534	125	93	325	190	70	337	346	172					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	20049	746	515	511	91	246	558	329	194	220	163	309	118	193	516	181	189	84	176	153	248	80	192	464	84	110	664	81	143	304	190	69	314	245	556	643	556	99	918	116	587	58	424	148	178	229	644	413	429	122	1179	281	188	114	34	370	65	504	275	544	127	98	326	195	71	345	355	178					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	18786	590	465	478	90	229	518	293	177	187	139	289	108	188	450	160	187	83	173	152	239	79	169	445	79	102	589	79	136	282	184	63	295	231	525	591	513	95	897	109	525	53	419	143	165	216	612	399	420	120	1131	272	180	107	29	350	64	496	273	526	125	93	325	190	70	327	336	162					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	737	83	31	15	0	10	23	24	10	23	15	11	5	0	48	20	0	0	0	0	7	0	20	5	3	1	50	0	0	20	5	4	7	10	18	38	32	2	11	3	49	4	3	3	9	0	7	0	4	0	32	4	5	4	3	19	0	0	0	7	0	0	0	0	0	10	10	10					
6	Число погашенных избирательных бюллетеней	526	73	19	18	1	7	17	12	7	10	9	9	5	5	18	1	2	1	3	1	2	1	3	14	2	7	25	2	7	2	1	2	12	4	13	14	11	2	10	4	13	1	2	2	4	13	25	14	5	2	16	5	3	3	2	1	1	8	2	11	2	5	1	5	1	8	9	6					
7	Число избирательных бюллетеней в переносных ящиках для голосования	737	83	31	15	0	10	23	24	10	23	15	11	5	0	48	20	0	0	0	0	7	0	20	5	3	1	50	0	0	20	5	4	7	10	18	38	32	2	11	3	49	4	3	3	9	0	7	0	4	0	32	4	5	4	3	19	0	0	0	7	0	0	0	0	0	10	10	10					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	18786	590	465	478	90	229	518	293	177	187	139	289	108	188	450	160	187	83	173	152	239	79	169	445	79	102	589	79	136	282	184	63	295	231	525	591	513	95	897	109	525	53	419	143	165	216	612	399	420	120	1131	272	180	107	29	350	64	496	273	526	125	93	325	190	70	327	336	162					
9	Число недействительных избирательных бюллетеней	27	6	1	0	1	0	1	0	0	1	0	0	0	0	1	0	4	0	0	0	9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	19496	667	495	493	89	239	540	317	187	209	154	300	113	188	497	180	183	83	173	152	237	79	188	450	82	103	639	79	136	302	189	67	302	241	543	629	544	97	908	112	574	57	422	146	174	216	619	399	424	120	1163	276	185	111	32	369	64	496	273	533	125	93	324	190	70	337	346	172					
