Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																								
Дата голосования: 18.09.2016																																																								
																																																								
Наименование Избирательной комиссии:    Тарасовская																																																								
																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																								
																																																								
		Сумма	УИК №2273	УИК №2274	УИК №2275	УИК №2276	УИК №2277	УИК №2278	УИК №2279	УИК №2280	УИК №2281	УИК №2282	УИК №2283	УИК №2284	УИК №2285	УИК №2286	УИК №2287	УИК №2288	УИК №2289	УИК №2290	УИК №2291	УИК №2292	УИК №2293	УИК №2295	УИК №2296	УИК №2297	УИК №2298	УИК №2299	УИК №2300	УИК №2301	УИК №2302	УИК №2304	УИК №2306	УИК №2307	УИК №2308	УИК №2309	УИК №2310	УИК №2311	УИК №2312	УИК №2313	УИК №2314	УИК №2315	УИК №2316	УИК №2317	УИК №2318	УИК №2319	УИК №2320									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	22633	980	228	389	755	111	720	353	438	122	260	363	320	275	382	531	326	1201	1753	1086	822	1472	973	619	355	750	207	382	266	260	624	479	234	183	539	89	783	742	251	173	264	251	157	187	731	247									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	22774	1056	230	384	746	113	741	358	447	123	259	363	319	271	387	541	311	1200	1749	1095	801	1480	981	625	358	760	211	380	267	267	631	491	235	180	548	86	765	748	257	171	267	251	158	193	720	250									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9734	466	143	130	285	66	346	177	166	72	141	171	153	153	105	175	100	410	677	414	318	527	354	203	104	280	119	221	227	123	358	305	138	81	266	36	314	371	118	102	103	134	88	115	312	67									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1805	37	21	75	63	19	21	36	20	5	20	40	28	16	56	22	32	38	37	75	49	42	50	116	46	67	7	19	15	23	50	72	40	14	35	30	92	61	47	42	23	24	20	6	93	61									
6	Число погашенных избирательных бюллетеней	11235	553	66	179	398	28	374	145	261	46	98	152	138	102	226	344	179	752	1035	606	434	911	577	306	208	413	85	140	25	121	223	114	57	85	247	20	359	316	92	27	141	93	50	72	315	122									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1805	37	21	75	63	19	21	36	20	5	20	40	28	16	56	22	32	38	37	75	49	42	50	116	46	67	7	19	15	23	50	72	40	14	35	30	92	61	47	42	23	24	20	6	93	61									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9734	466	143	130	285	66	346	177	166	72	141	171	153	153	105	175	100	410	677	414	318	527	354	203	104	280	119	221	227	123	358	305	138	81	266	36	314	371	118	102	103	134	88	115	312	67									
9	Число недействительных избирательных бюллетеней	125	7	2	0	7	2	5	2	4	0	0	3	0	1	6	1	3	8	7	1	3	9	7	2	0	9	3	5	1	1	1	0	3	1	0	0	3	3	1	5	2	1	0	0	3	3									
10	Число действительных избирательных бюллетеней	11414	496	162	205	341	83	362	211	182	77	161	208	181	168	155	196	129	440	707	488	364	560	397	317	150	338	123	235	241	145	407	377	175	94	301	66	403	429	164	139	124	157	108	121	402	125									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	501	20	5	5	15	5	15	10	20	5	5	15	10	10	15	15	10	25	25	20	15	15	23	15	10	15	5	5	5	10	15	10	5	5	10	5	15	10	10	10	5	5	5	10	10	3									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	148	12	1	0	0	0	8	1	7	1	1	15	4	0	1	2	1	6	17	1	3	9	12	4	0	3	0	1	1	0	7	2	0	0	5	0	1	5	3	4	0	0	0	0	8	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	74	1	0	1	2	0	1	1	1	0	0	2	1	1	1	1	1	5	3	3	28	1	4	1	0	0	0	0	0	1	1	1	1	2	0	0	1	1	0	2	0	2	0	1	2	0									
14	Число погашенных неиспользованных открепительных удостоверений	353	8	4	5	15	5	7	9	13	4	4	0	6	10	14	13	9	19	8	19	12	6	11	11	10	12	5	4	4	10	8	8	5	5	5	5	14	5	7	6	5	5	5	10	2	1									
