Выборы Президента Российской Федерации																																		
																																		
Наименование Избирательной комиссии:    район Лефортово																																		
																																		
Итоги голосования 																																		
																																		
		Сумма	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №3117	УИК №3118	УИК №3119					
1	"Число избирателей, внесенных в список"	52681	1914	1431	1866	1550	1474	1511	1878	1549	2623	2688	2347	2521	3171	1686	876	2950	2624	2587	1892	2723	2570	2629	2504	2313	641	129	34					
2	Число полученных избирательных бюллетеней	51503	1900	1400	1896	1500	1500	1500	1800	1500	2400	2700	2100	2600	2647	1700	1000	2700	1900	2600	2500	2700	2600	2600	2500	2200	850	150	60					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	31137	945	704	880	850	840	770	1007	871	1562	1490	1258	1495	2483	1444	558	1864	1866	1427	1477	1386	1365	1612	1307	1271	243	128	34					
5	"Число избирательных бюллетеней, выданных вне помещения"	1194	30	64	34	28	36	27	45	35	38	11	36	41	20	22	9	48	28	49	15	54	60	39	55	58	312	0	0					
6	Число погашенных избирательных бюллетеней	19172	925	632	982	622	624	703	748	594	800	1199	806	1064	144	234	433	788	6	1124	1008	1260	1175	949	1138	871	295	22	26					
7	Число избирательных бюллетеней в переносных ящиках	1194	30	64	34	28	36	27	45	35	38	11	36	41	20	22	9	48	28	49	15	54	60	39	55	58	312	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	30912	943	701	880	846	840	770	1002	871	1499	1485	1157	1487	2483	1444	558	1864	1866	1416	1473	1384	1365	1612	1301	1260	243	128	34					
9	Число недействительных избирательных бюллетеней	268	3	3	5	5	3	4	12	17	21	23	5	12	17	6	4	3	8	11	5	9	13	41	20	11	3	4	0					
10	Число действительных избирательных бюллетеней	31838	970	762	909	869	873	793	1035	889	1516	1473	1188	1516	2486	1460	563	1909	1886	1454	1483	1429	1412	1610	1336	1307	552	124	34					
11	Число полученных открепительных  удостоверений	1493	28	23	31	20	27	20	25	16	25	42	30	65	346	45	20	215	158	65	35	40	47	70	45	55	0	0	0					
12	Число выданных открепительных удостоверений	1380	27	21	23	19	23	17	25	12	24	41	29	51	346	30	20	191	158	65	30	39	47	58	39	45	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1138	46	21	34	21	0	20	32	18	98	35	173	32	122	20	18	43	45	157	43	30	23	28	19	14	23	11	12					
14	Число неиспользованных открепительных удостоверений	113	1	2	8	1	4	3	0	4	1	1	1	14	0	15	0	24	0	0	5	1	0	12	6	10	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	7	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	4	0	0	1	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																		
18	. Глазьев Сергей Юрьевич	1923	62	43	56	70	52	65	68	62	112	67	95	119	94	52	36	101	66	98	112	93	94	86	89	99	26	5	1					
		5.99%	6.37%	5.62%	6.13%	8.01%	5.94%	8.16%	6.49%	6.84%	7.29%	4.48%	7.96%	7.79%	3.76%	3.55%	6.35%	5.28%	3.48%	6.69%	7.53%	6.47%	6.60%	5.21%	6.56%	7.51%	4.68%	3.91%	2.94%					
19	. Малышкин Олег Александрович	439	6	16	11	14	8	14	16	17	11	14	17	17	60	8	4	27	43	28	22	22	19	14	12	12	6	0	1					
		1.37%	0.62%	2.09%	1.20%	1.60%	0.91%	1.76%	1.53%	1.88%	0.72%	0.94%	1.42%	1.11%	2.40%	0.55%	0.71%	1.41%	2.27%	1.91%	1.48%	1.53%	1.33%	0.85%	0.88%	0.91%	1.08%	0.00%	2.94%					
20	. Миронов Сергей Михайлович	195	4	8	5	8	3	2	4	5	11	6	10	12	16	13	1	8	5	16	8	8	12	13	7	8	2	0	0					
		0.61%	0.41%	1.05%	0.55%	0.92%	0.34%	0.25%	0.38%	0.55%	0.72%	0.40%	0.84%	0.79%	0.64%	0.89%	0.18%	0.42%	0.26%	1.09%	0.54%	0.56%	0.84%	0.79%	0.52%	0.61%	0.36%	0.00%	0.00%					
21	. Путин Владимир Владимирович	21831	675	529	628	561	616	540	708	589	979	1026	736	996	1808	980	373	1350	1505	963	948	997	953	1080	890	859	429	93	20					
		68.00%	69.37%	69.15%	68.71%	64.19%	70.32%	67.75%	67.62%	65.01%	63.70%	68.58%	61.69%	65.18%	72.23%	66.85%	65.78%	70.61%	79.46%	65.73%	63.71%	69.33%	66.88%	65.41%	65.63%	65.17%	77.30%	72.66%	58.82%					
22	. Хакамада Ирина Муцуовна	2737	96	73	92	93	63	56	96	78	198	137	121	125	94	216	56	165	89	127	161	102	111	119	111	120	20	12	6					
		8.52%	9.87%	9.54%	10.07%	10.64%	7.19%	7.03%	9.17%	8.61%	12.88%	9.16%	10.14%	8.18%	3.76%	14.73%	9.88%	8.63%	4.70%	8.67%	10.82%	7.09%	7.79%	7.21%	8.19%	9.10%	3.60%	9.38%	17.65%					
23	. Харитонов Николай Михайлович	2294	61	45	61	61	70	65	77	79	108	110	127	120	126	120	40	122	71	105	97	103	132	117	119	100	45	9	4					
		7.15%	6.27%	5.88%	6.67%	6.98%	7.99%	8.16%	7.35%	8.72%	7.03%	7.35%	10.65%	7.85%	5.03%	8.19%	7.05%	6.38%	3.75%	7.17%	6.52%	7.16%	9.26%	7.09%	8.78%	7.59%	8.11%	7.03%	11.76%					
																																		
24	Против всех	2419	66	48	56	62	61	51	66	59	97	113	82	127	288	71	53	136	107	117	135	104	91	181	108	109	24	5	2					
		7.53%	6.78%	6.27%	6.13%	7.09%	6.96%	6.40%	6.30%	6.51%	6.31%	7.55%	6.87%	8.31%	11.51%	4.84%	9.35%	7.11%	5.65%	7.99%	9.07%	7.23%	6.39%	10.96%	7.96%	8.27%	4.32%	3.91%	5.88%					
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
