Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																											
Дата голосования: 07.12.2003 0:00:00																											
																											
Наименование Избирательной комиссии:    Тындинская																											
																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																											
																											
		Сумма	УИК  718	УИК  719	УИК  720	УИК  721	УИК  722	УИК  723	УИК  724	УИК  725	УИК  726	УИК  727	УИК  728	УИК  729	УИК  730	УИК  731	УИК  732	УИК  733	УИК  734	УИК  735	УИК  736	УИК  737					
1	"Число избирателей, внесенных в списки"	11528	1388	398	352	1224	268	270	549	183	282	2127	726	357	1512	250	220	259	338	239	393	193					
2	"Число бюллетеней, полученных участковыми комиссиями"	11715	1500	400	350	1150	300	250	580	185	270	2100	760	400	1550	230	220	280	360	230	400	200					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	145	0	91	0	0	4	18	0	0	0	0	0	0	5	0	0	0	0	27	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	6702	840	178	294	575	157	130	350	137	186	1007	376	266	832	174	166	172	294	131	278	159					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	192	4	6	0	15	6	5	3	0	6	80	27	0	27	3	5	4	0	0	1	0					
6	Число погашенных бюллетеней	4676	656	125	56	560	133	97	227	48	78	1013	357	134	686	53	49	104	66	72	121	41					
7	Число бюллетеней в переносных ящиках для голосования	305	4	97	0	15	10	23	3	0	6	80	27	0	27	3	5	4	0	0	1	0					
8	Число бюллетеней в стационарных ящиках для голосования	6729	836	178	294	575	157	130	349	137	186	1007	376	266	837	174	166	172	294	158	278	159					
9	Число недействительных бюллетеней	40	7	1	1	2	0	2	1	0	2	6	6	1	2	1	1	2	0	1	4	0					
10	Число действительных бюллетеней	6994	833	274	293	588	167	151	351	137	190	1081	397	265	862	176	170	174	294	157	275	159					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	154	25	3	3	17	7	3	6	3	3	30	5	13	10	3	3	3	8	3	3	3					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	88	13	0	0	13	5	1	6	0	0	17	3	3	9	3	3	0	8	0	2	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	13	0	2	0	4	0	1	1	0	1	2	1	0	1	0	0	0	0	0	0	0					
14	Число погашенных открепительных удостоверений	66	12	3	3	4	2	2	0	3	3	13	2	10	1	0	0	3	0	3	1	1					
15	Число открепительных удостоверений выданных ТИК	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																											
18	"1. ""ЕДИНЕНИЕ"""	96	7	6	2	13	0	1	8	3	3	17	3	3	12	2	1	3	4	1	5	2					
		1.36%	0.83%	2.18%	0.68%	2.20%	0.0%	0.65%	2.27%	2.18%	1.56%	1.56%	0.74%	1.12%	1.38%	1.12%	0.58%	1.70%	1.36%	0.63%	1.79%	1.25%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	119	4	3	2	24	1	9	3	0	5	31	6	4	14	8	0	2	0	0	2	1					
		1.69%	0.47%	1.09%	0.68%	4.06%	0.59%	5.88%	0.85%	0.0%	2.60%	2.85%	1.48%	1.50%	1.62%	4.51%	0.0%	1.13%	0.0%	0.0%	0.71%	0.62%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	232	14	10	0	22	9	6	10	5	4	53	26	5	26	7	3	5	10	12	1	4					
		3.29%	1.66%	3.63%	0.0%	3.72%	5.38%	3.92%	2.84%	3.64%	2.08%	4.87%	6.45%	1.87%	3.00%	3.95%	1.75%	2.84%	3.40%	7.59%	0.35%	2.51%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	158	24	7	5	23	3	3	7	1	3	32	13	5	22	1	0	3	2	0	2	2					
		2.24%	2.85%	2.54%	1.70%	3.89%	1.79%	1.96%	1.98%	0.72%	1.56%	2.94%	3.22%	1.87%	2.54%	0.56%	0.0%	1.70%	0.68%	0.0%	0.71%	1.25%					
22	"5. ""За Русь Святую"""	38	3	1	1	5	0	0	1	1	1	8	1	1	5	1	0	4	2	3	0	0					
		0.54%	0.35%	0.36%	0.34%	0.84%	0.0%	0.0%	0.28%	0.72%	0.52%	0.73%	0.24%	0.37%	0.57%	0.56%	0.0%	2.27%	0.68%	1.89%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	20	2	0	0	2	1	1	0	0	0	2	1	1	2	2	1	2	2	0	0	1					
		0.28%	0.23%	0.0%	0.0%	0.33%	0.59%	0.65%	0.0%	0.0%	0.0%	0.18%	0.24%	0.37%	0.23%	1.12%	0.58%	1.13%	0.68%	0.0%	0.0%	0.62%					
24	"7. ""Новый курс - Автомобильная Россия"""	48	5	1	1	7	1	0	0	0	0	14	5	3	6	0	0	0	2	2	1	0					
		0.68%	0.59%	0.36%	0.34%	1.18%	0.59%	0.0%	0.0%	0.0%	0.0%	1.28%	1.24%	1.12%	0.69%	0.0%	0.0%	0.0%	0.68%	1.26%	0.35%	0.0%					
25	"8. ""Народно-республиканская партия России"""	10	3	0	3	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0					
		0.14%	0.35%	0.0%	1.02%	0.33%	0.0%	0.0%	0.0%	0.72%	0.0%	0.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	27	6	1	0	2	1	1	3	0	1	2	0	0	4	2	0	1	1	1	0	1					
		0.38%	0.71%	0.36%	0.0%	0.33%	0.59%	0.65%	0.85%	0.0%	0.52%	0.18%	0.0%	0.0%	0.46%	1.12%	0.0%	0.56%	0.34%	0.63%	0.0%	0.62%					
27	"10. ""Аграрная партия России"""	230	26	20	3	14	6	5	10	5	5	46	14	4	14	11	6	9	4	16	7	5					
		3.26%	3.09%	7.27%	1.02%	2.37%	3.59%	3.26%	2.84%	3.64%	2.60%	4.23%	3.47%	1.50%	1.62%	6.21%	3.50%	5.11%	1.36%	10.12%	2.50%	3.14%					
28	"11. ""Истинные патриоты России"""	4	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.05%	0.11%	0.0%	0.0%	0.50%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	64	5	6	0	6	5	0	3	1	1	9	8	3	8	1	1	1	0	0	4	2					
		0.90%	0.59%	2.18%	0.0%	1.01%	2.99%	0.0%	0.85%	0.72%	0.52%	0.82%	1.98%	1.12%	0.92%	0.56%	0.58%	0.56%	0.0%	0.0%	1.43%	1.25%					
30	"13. ""Демократическая партия России"""	22	2	0	1	5	0	0	0	1	3	6	0	1	0	1	0	0	0	0	1	1					
		0.31%	0.23%	0.0%	0.34%	0.84%	0.0%	0.0%	0.0%	0.72%	1.56%	0.55%	0.0%	0.37%	0.0%	0.56%	0.0%	0.0%	0.0%	0.0%	0.35%	0.62%					
31	"14. ""Великая Россия - Евразийский Союз"""	16	2	0	1	1	2	2	0	0	0	3	0	0	4	0	0	0	0	1	0	0					
		0.22%	0.23%	0.0%	0.34%	0.16%	1.19%	1.30%	0.0%	0.0%	0.0%	0.27%	0.0%	0.0%	0.46%	0.0%	0.0%	0.0%	0.0%	0.63%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	7	0	3	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0					
		0.09%	0.0%	1.09%	0.0%	0.16%	0.59%	0.0%	0.0%	0.0%	0.0%	0.0%	0.24%	0.0%	0.0%	0.0%	0.0%	0.0%	0.34%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	418	45	16	10	34	17	7	10	7	10	88	22	12	66	20	10	12	17	2	9	4					
		5.94%	5.35%	5.81%	3.40%	5.76%	10.17%	4.57%	2.84%	5.10%	5.20%	8.09%	5.45%	4.51%	7.63%	11.29%	5.84%	6.81%	5.78%	1.26%	3.22%	2.51%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	25	0	3	0	2	0	1	1	0	1	3	3	2	2	3	1	1	2	0	0	0					
		0.35%	0.0%	1.09%	0.0%	0.33%	0.0%	0.65%	0.28%	0.0%	0.52%	0.27%	0.74%	0.75%	0.23%	1.69%	0.58%	0.56%	0.68%	0.0%	0.0%	0.0%					
35	"18. ""ЛДПР"""	1582	211	22	59	135	51	48	80	25	39	175	61	61	233	55	56	51	65	13	111	31					
		22.49%	25.11%	8.0%	20.06%	22.88%	30.53%	31.37%	22.72%	18.24%	20.31%	16.09%	15.13%	22.93%	26.96%	31.07%	32.74%	28.97%	22.10%	8.22%	39.78%	19.49%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	156	25	6	7	8	6	2	7	2	2	18	5	4	17	10	4	9	8	1	9	6					
		2.21%	2.97%	2.18%	2.38%	1.35%	3.59%	1.30%	1.98%	1.45%	1.04%	1.65%	1.24%	1.50%	1.96%	5.64%	2.33%	5.11%	2.72%	0.63%	3.22%	3.77%					
37	"20. ""Политическая партия ""Единая Россия"""	2621	346	83	164	212	34	46	161	43	73	329	182	101	316	41	63	49	146	88	71	73					
		37.26%	41.19%	30.18%	55.78%	35.93%	20.35%	30.06%	45.73%	31.38%	38.02%	30.26%	45.16%	37.96%	36.57%	23.16%	36.84%	27.84%	49.65%	55.69%	25.44%	45.91%					
38	"21. ""Российская Конституционно-демократическая партия"""	13	2	0	0	1	2	2	0	0	0	1	2	2	1	0	0	0	0	0	0	0					
		0.18%	0.23%	0.0%	0.0%	0.16%	1.19%	1.30%	0.0%	0.0%	0.0%	0.09%	0.49%	0.75%	0.11%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	13	3	0	0	0	0	0	0	0	1	7	1	0	0	0	0	0	0	0	0	1					
		0.18%	0.35%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.52%	0.64%	0.24%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.62%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	635	63	59	20	33	11	9	26	29	21	150	27	37	48	4	12	10	14	7	36	19					
		9.02%	7.5%	21.45%	6.80%	5.59%	6.58%	5.88%	7.38%	21.16%	10.93%	13.79%	6.69%	13.90%	5.55%	2.25%	7.01%	5.68%	4.76%	4.43%	12.90%	11.94%					
																											
41	Против всех	440	34	27	14	33	16	8	21	13	17	86	16	16	62	7	12	12	14	10	16	6					
		6.25%	4.04%	9.81%	4.76%	5.59%	9.58%	5.22%	5.96%	9.48%	8.85%	7.91%	3.97%	6.01%	7.17%	3.95%	7.01%	6.81%	4.76%	6.32%	5.73%	3.77%					
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
