Выборы Президента Российской Федерации																															
																															
Наименование Избирательной комиссии:    Тейковская																															
																															
Итоги голосования 																															
																															
		Сумма	УИК  751	УИК  752	УИК  753	УИК  754	УИК  755	УИК  756	УИК  757	УИК  758	УИК  759	УИК  760	УИК  761	УИК  762	УИК  763	УИК  764	УИК  765	УИК  766	УИК  767	УИК  768	УИК  769	УИК  770	УИК  771	УИК  772	УИК  773	УИК  774					
1	"Число избирателей, внесенных в список"	11639	1375	609	709	647	747	172	441	395	716	536	495	207	294	143	429	334	239	1040	289	204	125	256	445	792					
2	Число полученных избирательных бюллетеней	10659	1244	567	660	576	662	171	354	344	664	484	444	202	270	151	393	307	218	963	274	213	130	243	400	725					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	5237	634	280	339	314	317	47	146	182	345	290	201	79	155	79	143	150	113	480	146	119	79	124	202	273					
5	"Число избирательных бюллетеней, выданных вне помещения"	1843	138	59	63	53	132	54	144	61	115	90	122	49	51	16	110	54	76	69	10	36	9	83	58	191					
6	Число погашенных избирательных бюллетеней	3579	472	228	258	209	213	70	64	101	204	104	121	74	64	56	140	103	29	414	118	58	42	36	140	261					
7	Число избирательных бюллетеней в переносных ящиках	1843	138	59	63	53	132	54	144	61	115	90	122	49	51	16	110	54	76	69	10	36	9	83	58	191					
8	Число бюллетеней в стационарных ящиках для голосования	5237	634	280	339	314	317	47	146	182	345	290	201	79	155	79	143	150	113	480	146	119	79	124	202	273					
9	Число недействительных избирательных бюллетеней	48	14	2	0	4	0	0	1	2	1	3	1	1	0	0	0	2	0	4	4	1	0	3	0	5					
10	Число действительных избирательных бюллетеней	7032	758	337	402	363	449	101	289	241	459	377	322	127	206	95	253	202	189	545	152	154	88	204	260	459					
11	Число полученных открепительных  удостоверений	249	15	5	5	5	40	5	5	5	25	5	5	5	5	5	5	5	5	30	5	34	15	5	5	5					
12	Число выданных открепительных удостоверений	191	6	2	5	2	38	0	1	3	25	5	5	0	5	5	5	0	5	30	2	34	5	5	2	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	92	8	1	1	0	11	4	3	13	4	3	8	4	1	1	1	5	1	10	0	5	0	3	5	0					
14	Число неиспользованных открепительных удостоверений	58	9	3	0	3	2	5	4	2	0	0	0	5	0	0	0	5	0	0	3	0	10	0	3	4					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																															
18	. Глазьев Сергей Юрьевич	230	21	7	25	7	26	4	3	12	8	6	11	3	7	1	12	6	3	13	2	3	3	28	8	11					
		3.25%	2.72%	2.06%	6.22%	1.91%	5.79%	3.96%	1.03%	4.94%	1.74%	1.58%	3.41%	2.34%	3.40%	1.05%	4.74%	2.94%	1.59%	2.37%	1.28%	1.94%	3.41%	13.53%	3.08%	2.37%					
19	. Малышкин Олег Александрович	245	26	10	8	12	17	2	9	5	18	6	26	3	4	0	10	9	1	23	8	2	1	11	10	24					
		3.46%	3.37%	2.95%	1.99%	3.27%	3.79%	1.98%	3.10%	2.06%	3.91%	1.58%	8.05%	2.34%	1.94%	0.00%	3.95%	4.41%	0.53%	4.19%	5.13%	1.29%	1.14%	5.31%	3.85%	5.17%					
20	. Миронов Сергей Михайлович	62	9	3	2	4	5	0	3	2	4	5	4	2	0	0	1	1	1	4	2	0	1	4	2	3					
		0.88%	1.17%	0.88%	0.50%	1.09%	1.11%	0.00%	1.03%	0.82%	0.87%	1.32%	1.24%	1.56%	0.00%	0.00%	0.40%	0.49%	0.53%	0.73%	1.28%	0.00%	1.14%	1.93%	0.77%	0.65%					
21	. Путин Владимир Владимирович	4727	413	240	280	234	312	57	226	178	251	204	200	99	141	66	185	152	162	421	99	125	64	133	182	303					
		66.77%	53.50%	70.80%	69.65%	63.76%	69.49%	56.44%	77.93%	73.25%	54.57%	53.68%	61.92%	77.34%	68.45%	69.47%	73.12%	74.51%	85.71%	76.68%	63.46%	80.65%	72.73%	64.25%	70.00%	65.30%					
22	. Хакамада Ирина Муцуовна	123	18	7	10	3	11	0	7	3	7	5	7	0	6	1	3	3	2	14	1	1	1	2	5	6					
		1.74%	2.33%	2.06%	2.49%	0.82%	2.45%	0.00%	2.41%	1.23%	1.52%	1.32%	2.17%	0.00%	2.91%	1.05%	1.19%	1.47%	1.06%	2.55%	0.64%	0.65%	1.14%	0.97%	1.92%	1.29%					
23	. Харитонов Николай Михайлович	1428	233	64	66	94	68	30	36	33	161	138	66	12	37	26	35	29	19	53	35	15	15	18	49	96					
		20.17%	30.18%	18.88%	16.42%	25.61%	15.14%	29.70%	12.41%	13.58%	35.00%	36.32%	20.43%	9.38%	17.96%	27.37%	13.83%	14.22%	10.05%	9.65%	22.44%	9.68%	17.05%	8.70%	18.85%	20.69%					
																															
24	Против всех	217	38	6	11	9	10	8	5	8	10	13	8	8	11	1	7	2	1	17	5	8	3	8	4	16					
