Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																						
Дата голосования: 02.12.2007																																																						
																																																						
Наименование Избирательной комиссии:    Тоцкая																																																						
																																																						
Сводная таблица результатов выборов																																																						
																																																						
		Сумма	УИК №1672	УИК №1673	УИК №1674	УИК №1675	УИК №1676	УИК №1677	УИК №1678	УИК №1679	УИК №1680	УИК №1681	УИК №1682	УИК №1683	УИК №1684	УИК №1685	УИК №1686	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694	УИК №1695	УИК №1696	УИК №1697	УИК №1698	УИК №1699	УИК №1700	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718					
1	"Число избирателей, внесенных в списки избирателей"	29872	1194	1183	1226	1226	1114	133	1872	1773	1895	2003	1657	1828	1439	1362	1093	301	223	255	165	547	88	156	315	556	123	302	86	69	323	226	224	208	395	257	196	216	240	790	125	57	329	304	351	648	229	233	337					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	28891	1270	1115	1205	1215	1070	110	1790	1455	1868	1910	1500	1630	1293	1300	1100	305	230	260	165	560	90	170	325	550	125	310	90	70	330	235	235	215	420	265	205	225	245	785	123	67	330	310	355	655	233	237	340					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	19588	595	701	735	693	616	83	1192	1257	1137	1283	1053	1055	847	910	795	242	164	216	152	316	54	100	220	428	101	257	54	62	264	192	217	180	307	200	154	165	159	561	113	50	237	245	274	429	146	153	224					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1297	78	74	70	45	61	9	40	27	59	38	31	106	30	44	75	23	20	8	5	89	16	16	19	12	3	0	6	0	27	0	0	5	7	6	8	8	21	36	0	3	16	2	4	59	23	25	43					
6	Число погашенных избирательных бюллетеней	8006	597	340	400	477	393	18	558	171	672	589	416	469	416	346	230	40	46	36	8	155	20	54	86	110	21	53	30	8	39	43	18	30	106	59	43	52	65	188	10	14	77	63	77	167	64	59	73					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1297	78	74	70	45	61	9	40	27	59	38	31	106	30	44	75	23	20	8	5	89	16	16	19	12	3	0	6	0	27	0	0	5	7	6	8	8	21	36	0	3	16	2	4	59	23	25	43					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	19588	595	701	735	693	616	83	1192	1257	1137	1283	1053	1055	847	910	795	242	164	216	152	316	54	100	220	428	101	257	54	62	264	192	217	180	307	200	154	165	159	561	113	50	237	245	274	429	146	153	224					
9	Число недействительных избирательных бюллетеней	170	5	0	7	5	2	1	10	20	13	11	10	11	6	11	15	7	0	0	0	4	0	0	0	3	1	0	0	0	1	3	1	3	0	1	0	0	0	8	0	0	3	2	3	2	0	1	0					
10	Число действительных избирательных бюллетеней	20715	668	775	798	733	675	91	1222	1264	1183	1310	1074	1150	871	943	855	258	184	224	157	401	70	116	239	437	103	257	60	62	290	189	216	182	314	205	162	173	180	589	113	53	250	245	275	486	169	177	267					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	296	7	14	14	11	12	0	15	15	15	15	15	31	8	15	10	4	4	4	0	10	0	0	4	10	0	4	0	0	4	2	2	2	9	0	0	0	1	10	0	0	4	4	5	8	2	2	4					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	178	6	8	5	7	12	0	15	15	9	3	5	30	8	14	4	1	0	0	0	4	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	1	5	0	0	3	1	5	8	2	2	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	83	3	0	2	2	1	1	26	5	2	5	5	2	1	5	2	1	0	1	1	2	1	1	0	0	0	0	0	1	1	0	2	0	0	0	1	0	1	2	0	0	0	0	0	4	0	2	0					
14	Число погашенных неиспользованных открепительных удостоверений	118	1	6	9	4	0	0	0	0	6	12	10	1	0	1	6	3	4	4	0	6	0	0	4	8	0	4	0	0	4	2	1	2	8	0	0	0	0	5	0	0	1	3	0	0	0	0	3					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																						
18	1.Политическая партия «Аграрная партия России»	791	26	23	35	30	20	1	19	9	12	12	11	12	10	34	16	9	9	13	8	24	4	13	30	19	8	31	2	7	21	24	30	22	18	12	5	14	13	25	9	5	34	11	55	20	1	10	15					
		3.79%	3.86%	2.97%	4.35%	4.07%	2.95%	1.09%	1.54%	0.70%	1.00%	0.91%	1.01%	1.03%	1.14%	3.56%	1.84%	3.40%	4.89%	5.80%	5.10%	5.93%	5.71%	11.21%	12.55%	4.32%	7.69%	12.06%	3.33%	11.29%	7.22%	12.50%	13.82%	11.89%	5.73%	5.83%	3.09%	8.09%	7.22%	4.19%	7.96%	9.43%	13.44%	4.45%	19.78%	4.10%	0.59%	5.62%	5.62%					
19	2.Всероссийская политическая партия «Гражданская Сила»	53	2	1	0	3	2	0	2	3	7	1	3	5	6	2	1	1	0	0	0	1	0	0	0	1	8	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1					
		0.25%	0.30%	0.13%	0.00%	0.41%	0.30%	0.00%	0.16%	0.23%	0.59%	0.08%	0.28%	0.43%	0.68%	0.21%	0.11%	0.38%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.23%	7.69%	0.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.49%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.59%	0.00%	0.37%					
20	3.Политическая партия «Демократическая партия России»	22	0	1	0	0	1	2	4	1	1	2	1	0	1	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0					
		0.11%	0.00%	0.13%	0.00%	0.00%	0.15%	2.17%	0.32%	0.08%	0.08%	0.15%	0.09%	0.00%	0.11%	0.00%	0.11%	0.00%	0.00%	0.45%	0.00%	0.25%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.46%	0.00%	0.00%	0.97%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	2061	93	114	122	143	127	8	64	58	47	48	41	46	43	110	66	21	27	22	9	47	31	14	18	51	11	19	24	6	44	14	31	16	52	43	24	5	36	83	18	10	21	48	47	68	32	15	24					
