Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																														
Дата голосования: 02.12.2007																																																														
																																																														
Наименование Избирательной комиссии:    Новошахтинская городская																																																														
																																																														
Сводная таблица результатов выборов																																																														
																																																														
		Сумма	УИК №2351	УИК №2352	УИК №2353	УИК №2354	УИК №2355	УИК №2356	УИК №2357	УИК №2358	УИК №2359	УИК №2360	УИК №2361	УИК №2362	УИК №2363	УИК №2364	УИК №2365	УИК №2366	УИК №2367	УИК №2368	УИК №2369	УИК №2370	УИК №2371	УИК №2372	УИК №2373	УИК №2374	УИК №2375	УИК №2376	УИК №2377	УИК №2378	УИК №2379	УИК №2380	УИК №2381	УИК №2382	УИК №2383	УИК №2384	УИК №2385	УИК №2386	УИК №2387	УИК №2388	УИК №2389	УИК №2390	УИК №2391	УИК №2392	УИК №2393	УИК №2394	УИК №2395	УИК №2396	УИК №2397	УИК №2398	УИК №2399	УИК №2400	УИК №2401	УИК №2402	УИК №2403	УИК №2404	УИК №2405					
1	"Число избирателей, внесенных в списки избирателей"	75367	1592	1424	1570	943	1857	1067	1314	1583	1058	1693	1601	1092	1860	1355	1938	2250	1805	1512	1309	1829	1462	1338	1457	1148	1816	1340	1787	1591	1622	1524	639	1005	1266	1102	2794	707	1443	1064	796	650	925	907	1534	1211	938	1263	815	471	1158	1842	1170	1272	1119	2029	1510					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	66571	1441	1247	1300	836	1586	842	1150	1454	897	1498	1472	923	1599	1205	1714	2032	1571	1406	1216	1660	1320	1227	1283	981	1522	1179	1599	1476	1477	1340	563	834	1139	970	2298	627	1268	955	685	573	813	808	1391	1085	812	1138	720	423	1024	1652	1009	1160	994	1832	1345					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	41556	737	756	791	535	861	397	855	1201	429	1056	981	545	879	699	1390	1235	834	730	725	918	738	631	802	484	782	759	1430	1313	958	1119	351	587	974	671	1021	281	650	764	469	389	374	419	606	558	429	598	430	233	666	1380	773	724	733	1126	780					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	5109	48	86	221	71	39	36	95	125	224	50	247	49	56	60	41	110	70	94	62	54	130	216	91	71	83	42	53	49	110	97	18	69	64	143	130	108	25	51	113	52	87	54	114	128	40	91	130	84	105	44	126	166	81	222	84					
6	Число погашенных избирательных бюллетеней	19897	656	405	288	230	686	409	200	128	244	392	244	329	655	446	283	687	667	582	429	688	452	380	390	426	657	378	116	114	409	124	194	178	101	156	1147	238	593	140	103	132	352	335	671	399	343	449	160	106	253	228	110	270	180	484	481					
7	Число избирательных бюллетеней в переносных ящиках для голосования	5109	48	86	221	71	39	36	95	125	224	50	247	49	56	60	41	110	70	94	62	54	130	216	91	71	83	42	53	49	110	97	18	69	64	143	130	108	25	51	113	52	87	54	114	128	40	91	130	84	105	44	126	166	81	222	84					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	41548	737	756	791	535	860	397	855	1201	429	1056	981	545	879	699	1390	1235	834	730	725	918	738	631	802	483	777	759	1430	1313	958	1119	351	587	974	671	1021	281	649	764	469	389	374	419	606	558	429	598	430	233	666	1380	773	724	733	1126	780					
9	Число недействительных избирательных бюллетеней	231	3	2	5	7	9	3	0	0	6	2	7	0	15	7	6	0	8	8	0	0	2	5	4	8	10	9	0	5	0	0	6	0	9	2	11	2	12	0	2	0	1	1	8	0	3	3	5	0	5	0	7	0	3	12	8					
10	Число действительных избирательных бюллетеней	46426	782	840	1007	599	890	430	950	1326	647	1104	1221	594	920	752	1425	1345	896	816	787	972	866	842	889	546	850	792	1483	1357	1068	1216	363	656	1029	812	1140	387	662	815	580	441	460	472	712	686	466	686	555	317	766	1424	892	890	811	1336	856					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1990	43	37	39	25	45	25	34	38	27	45	44	28	48	36	52	61	45	42	36	50	39	37	40	29	45	34	48	45	42	42	17	25	34	29	71	19	38	32	20	16	25	26	45	32	26	33	20	14	30	48	30	34	30	55	40					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	449	9	11	9	5	10	7	2	3	8	1	9	4	11	14	13	10	9	8	4	11	8	4	12	4	8	9	14	8	11	12	1	7	12	11	10	6	10	7	13	1	6	6	10	14	3	13	6	6	5	15	12	7	3	11	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	200	10	3	5	4	1	2	2	1	2	2	1	0	1	6	9	3	5	1	7	3	5	1	0	6	4	8	8	4	5	4	3	4	3	5	9	2	5	0	0	0	0	0	2	8	11	3	10	0	4	5	3	0	1	5	4					
14	Число погашенных неиспользованных открепительных удостоверений	1541	34	26	30	20	35	18	32	35	19	44	35	24	37	22	39	51	36	34	32	39	31	33	28	25	37	25	34	37	31	30	16	18	22	18	61	13	28	25	7	15	19	20	35	18	23	20	14	8	25	33	18	27	27	44	34					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	9	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																														
18	1.Политическая партия «Аграрная партия России»	454	12	12	16	5	17	2	5	2	12	15	12	14	17	5	25	2	0	20	7	17	11	9	4	8	10	10	16	15	1	1	3	6	8	4	0	2	4	7	4	3	1	0	7	5	8	14	0	6	4	9	0	25	11	13	8					
