Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																															
Дата голосования: 02.12.2007																																																															
																																																															
Наименование Избирательной комиссии:    Коченевская																																																															
																																																															
Сводная таблица результатов выборов																																																															
																																																															
		Сумма	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506					
1	"Число избирателей, внесенных в списки избирателей"	36524	923	103	308	213	58	1127	193	59	518	278	748	99	57	1054	59	122	468	166	900	57	118	2740	869	1072	189	360	464	174	214	259	211	277	98	93	576	47	67	666	188	140	74	157	572	554	672	134	167	2026	1579	2679	2143	1177	2525	1775	1884	2074					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	36530	935	105	300	200	55	1135	185	60	520	280	750	95	55	1045	60	125	475	165	895	60	110	2730	870	1080	190	355	460	170	195	260	205	270	95	90	575	50	60	670	210	160	80	160	575	555	675	175	170	2040	1585	2650	2170	1170	2525	1700	1910	2085					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	20027	488	52	226	177	49	643	145	47	298	193	404	81	40	650	27	98	298	95	570	50	99	1450	381	482	140	236	242	111	133	214	134	165	71	74	413	44	57	448	188	137	60	134	377	353	331	121	143	900	822	1593	949	575	1085	783	981	970					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2108	99	16	8	11	0	93	0	0	59	30	91	0	12	103	14	0	36	11	73	3	0	84	58	41	12	27	20	11	16	8	15	40	0	0	58	2	1	24	0	3	0	9	25	21	45	13	0	71	84	74	155	71	231	148	41	41					
6	Число погашенных избирательных бюллетеней	14395	348	37	66	12	6	399	40	13	163	57	255	14	3	292	19	27	141	59	252	7	11	1196	431	557	38	92	198	48	46	38	56	65	24	16	104	4	2	198	22	20	20	17	173	181	299	41	27	1069	679	983	1066	524	1209	769	888	1074					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2108	99	16	8	11	0	93	0	0	59	30	91	0	12	103	14	0	36	11	73	3	0	84	58	41	12	27	20	11	16	8	15	40	0	0	58	2	1	24	0	3	0	9	25	21	45	13	0	71	84	74	155	71	231	148	41	41					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	20019	488	52	226	177	49	641	145	47	298	193	404	81	40	650	27	98	298	95	570	50	99	1450	381	482	140	236	242	111	133	214	134	165	71	74	413	44	57	448	188	137	60	134	377	353	331	121	143	900	822	1590	947	575	1085	783	981	969					
9	Число недействительных избирательных бюллетеней	239	9	0	1	1	0	18	2	1	8	10	3	4	0	6	1	0	2	0	4	0	3	10	2	3	1	2	2	2	1	5	2	1	2	0	0	0	1	6	0	3	3	0	8	3	6	0	0	14	9	17	8	8	13	5	17	12					
10	Число действительных избирательных бюллетеней	21888	578	68	233	187	49	716	143	46	349	213	492	77	52	747	40	98	332	106	639	53	96	1524	437	520	151	261	260	120	148	217	147	204	69	74	471	46	57	466	188	137	57	143	394	371	370	134	143	957	897	1647	1094	638	1303	926	1005	998					
