Выборы Президента Российской Федерации																																						
																																						
Наименование Избирательной комиссии:    Крапивинская																																						
																																						
Итоги голосования 																																						
																																						
		Сумма	УИК №1246	УИК №1247	УИК №1248	УИК №1249	УИК №1250	УИК №1251	УИК №1252	УИК №1253	УИК №1254	УИК №1255	УИК №1256	УИК №1257	УИК №1258	УИК №1259	УИК №1260	УИК №1261	УИК №1262	УИК №1263	УИК №1264	УИК №1265	УИК №1266	УИК №1267	УИК №1268	УИК №1269	УИК №1270	УИК №1271	УИК №1272	УИК №1273	УИК №1274	УИК №1275	УИК №1276					
1	"Число избирателей, внесенных в список"	18801	2034	2039	275	255	617	723	119	640	264	324	176	719	121	398	253	652	391	147	257	661	185	72	1142	100	676	113	183	1526	1697	1191	851					
2	Число полученных избирательных бюллетеней	18671	1980	2070	295	245	630	700	122	615	260	314	175	690	115	395	250	640	395	155	255	660	185	75	1115	100	660	115	190	1500	1750	1180	840					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	14860	1416	1716	241	195	550	559	119	592	257	304	157	632	105	335	224	572	391	147	231	594	151	71	956	100	585	110	171	1008	1110	753	508					
5	"Число избирательных бюллетеней, выданных вне помещения"	1294	169	60	34	35	63	64	0	21	0	9	15	32	7	6	10	15	0	0	13	44	30	0	29	0	58	3	12	91	205	161	108					
6	Число погашенных избирательных бюллетеней	2517	395	294	20	15	17	77	3	2	3	1	3	26	3	54	16	53	4	8	11	22	4	4	130	0	17	2	7	401	435	266	224					
7	Число избирательных бюллетеней в переносных ящиках	1294	169	60	34	35	63	64	0	21	0	9	15	32	7	6	10	15	0	0	13	44	30	0	29	0	58	3	12	91	205	161	108					
8	Число бюллетеней в стационарных ящиках для голосования	14856	1416	1716	241	195	550	559	119	592	257	304	157	632	105	333	224	572	391	147	231	592	151	71	956	100	585	110	171	1008	1110	753	508					
9	Число недействительных избирательных бюллетеней	169	58	0	5	3	0	6	1	13	0	5	4	3	0	0	0	10	2	3	7	2	1	2	5	0	0	0	1	7	18	7	6					
10	Число действительных избирательных бюллетеней	15981	1527	1776	270	227	613	617	118	600	257	308	168	661	112	339	234	577	389	144	237	634	180	69	980	100	643	113	182	1092	1297	907	610					
11	Число полученных открепительных  удостоверений	500	55	55	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	50	40	30	20					
12	Число выданных открепительных удостоверений	310	52	48	8	4	10	4	1	4	0	2	0	2	0	1	0	7	4	10	0	10	3	1	5	0	3	0	10	41	40	30	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	229	14	6	2	4	3	8	6	12	5	5	7	10	2	5	4	17	2	1	3	5	5	1	11	3	6	3	2	27	40	5	5					
14	Число неиспользованных открепительных удостоверений	190	3	7	2	6	0	6	9	6	10	8	10	8	10	9	10	3	6	0	10	0	7	9	5	10	7	10	0	9	0	0	10					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																						
18	. Глазьев Сергей Юрьевич	310	59	48	6	0	6	11	0	8	0	4	2	7	0	11	6	6	3	0	4	15	2	0	8	0	17	0	1	28	23	26	9					
		1.92%	3.72%	2.70%	2.18%	0.00%	0.98%	1.77%	0.00%	1.31%	0.00%	1.28%	1.16%	1.05%	0.00%	3.24%	2.56%	1.02%	0.77%	0.00%	1.64%	2.36%	1.10%	0.00%	0.81%	0.00%	2.64%	0.00%	0.55%	2.55%	1.75%	2.84%	1.46%					
19	. Малышкин Олег Александрович	655	68	64	9	9	21	31	12	30	4	5	3	31	1	19	8	25	7	5	12	24	5	1	47	5	47	7	1	38	53	39	24					
		4.06%	4.29%	3.60%	3.27%	3.91%	3.43%	4.98%	10.08%	4.89%	1.56%	1.60%	1.74%	4.67%	0.89%	5.60%	3.42%	4.26%	1.79%	3.40%	4.92%	3.77%	2.76%	1.41%	4.77%	5.00%	7.31%	6.19%	0.55%	3.46%	4.03%	4.27%	3.90%					
20	. Миронов Сергей Михайлович	127	19	23	0	0	0	2	0	0	1	0	1	11	0	4	0	4	0	2	0	4	2	0	8	0	2	3	0	9	8	11	13					
		0.79%	1.20%	1.30%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%	0.39%	0.00%	0.58%	1.66%	0.00%	1.18%	0.00%	0.68%	0.00%	1.36%	0.00%	0.63%	1.10%	0.00%	0.81%	0.00%	0.31%	2.65%	0.00%	0.82%	0.61%	1.20%	2.11%					
